ティッカー,銘柄名,元ランキング順位,元ランキングスコア,sector,年間上昇率,四半期上昇率,上昇トレンド滑らかさ,最大下落率,月間高安騰落率平均,20日移動平均維持率,画像有無,OCR好材料語数,OCR悪材料語数,OCRテーマ語数,OCR株主還元語数,OCR予想PER,OCRPBR,OCRROE,OCRROA,OCR総利回り,OCR予想PER信頼度,OCRPBR信頼度,OCRROE信頼度,OCRROA信頼度,OCR総利回り信頼度,OCR配当金ヒント,OCR業績表数値数,OCR業績表数値平均,売上系列点数,営業利益系列点数,純利益系列点数,EPS系列点数,配当系列点数,売上トレンド,営業利益トレンド,純利益トレンド,EPSトレンド,配当トレンド,theme_text_compact,特色事業スコア生値,記事スコア生値,財務スコア生値,チャートスコア生値,業績スコア生値,配当還元スコア生値,業績急伸型スコア生値,安定進捗型スコア生値,sector_adjusted_per_score_raw,theme_peer_count,theme_peer_median_quarter_return_pct,theme_peer_positive_ratio_pct,theme_peer_signal_raw,特色事業スコア,特色事業順位,記事スコア,記事順位,財務スコア,財務順位,チャートスコア,チャート順位,業績スコア,業績順位,配当還元スコア,配当還元順位,業績急伸型スコア,業績急伸型順位,安定進捗型スコア,安定進捗型順位,sector_adjusted_per_score,sector_adjusted_per_score_rank,theme_peer_signal,theme_peer_signal_rank,四季報総合スコア,四季報総合順位,OCR型分類,型内順位
3542.T,ベガコーポレーション,94,0.8451108620072946,小売業,143.90625,121.35678391959802,0.4636111518765353,34.88888888888889,49.52709891734282,100.0,True,3.0,0.0,0.0,0.0,14.1,1.3,33.0,5.5,,medium,medium,medium,medium,missing,,2.0,611.0,1.0,0.0,0.0,1.0,1.0,,,,,,".4.4東→ー(IGO%龕748【株式】&【株ド47ーアルタイ務く輒わ一7,社(自己己・本5,叨47Bー7日本カス~デ4ー【指等】く4①ーテ",9.4546367886446,3.0,11.056666666666665,76.74831746862054,2.0,0.0,30.966270694642173,27.815444852098683,0.8333333333333334,4,55.05151987382888,100.0,55.03091192429733,0.9896907216494846,2,0.6958762886597938,22,0.9587628865979382,5,0.845360824742268,16,0.7628865979381443,13,0.0876288659793814,83,0.9896907216494846,2,0.4639175257731959,53,0.7628865979381443,24,0.9896907216494846,2,0.7932989690721651,1,業績急伸型,1
7419.T,ノジマ,12,0.915226869174814,小売業,62.7906976744186,26.50602409638553,0.9092345291440052,12.704915849152007,19.128191308359867,90.0,True,2.0,0.0,0.0,0.0,8.6,1.18,12.1,3.7,,medium,medium,medium,medium,missing,,3.0,1018.6666666666666,0.0,1.0,0.0,0.0,0.0,,,,,,-ターエデ1株島本イス耡Ⅲ【野日物テリー公“本余負′188S<→→異50ーー,6.984256970701011,5.0,10.4545084150848,74.4494962967152,4.0,0.0,23.8275768788792,34.70843888637808,1.0,4,32.04729967445569,100.0,41.22837980467341,0.7422680412371134,26,0.9484536082474226,4,0.9072164948453608,10,0.711340206185567,29,0.9896907216494846,1,0.0876288659793814,83,0.9278350515463918,8,0.9690721649484536,4,0.9690721649484536,1,0.6649484536082474,33,0.7830412371134022,2,中間型,1
6745.T,ホーチキ,65,0.864324887203079,電気機器,74.11764705882354,23.36633663366337,0.586187670994515,22.942430703624737,18.778380032184668,100.0,True,5.0,0.0,0.0,0.0,9.1,1.11,11.4,6.61,2.84,medium,medium,medium,medium,low,,3.0,181018.3333333333,0.0,4.0,0.0,0.0,0.0,,62.57142857142857,,,,"72.78.50746【株式】&2【株ドALSOー物社(自務くーわ:ホールア3日マスターい一本,東京海日安き比貌トーア再去。自社従ー【指等】<04①リティー",9.140184049079757,6.0,10.152,66.24030167678458,3.4,1.136,31.16961367915933,29.953839183292697,1.0,17,37.66871165644172,100.0,47.60122699386503,0.979381443298969,3,0.9896907216494846,1,0.865979381443299,14,0.1958762886597938,79,0.9587628865979382,4,0.4329896907216495,56,1.0,1,0.6907216494845361,31,0.9690721649484536,1,0.9175257731958762,7,0.7564948453608247,3,業績急伸型,2
7273.T,イクヨ,16,0.9126500557704154,輸送用機器,179.64204543773604,112.56684491978608,0.8576891117657046,32.23703794126157,51.52895260523456,100.0,True,2.0,0.0,0.0,0.0,1.3,2.0,7.0,1.0,,medium,medium,medium,medium,missing,,13.0,5592609646.230769,0.0,0.0,1.0,0.0,0.0,,,,,,"東⑤04%)10→ー龕【株式】&【株ド務くーわアジ、,ャイ己・本6,4アンセム・8【指等】@4①割エム-アⅱ0安",7.735978051011076,2.0,7.82,85.94316487967143,2.0,0.0,26.56531101193468,28.124891117657043,1.0,10,35.399756122345295,100.0,46.239853673407175,0.9175257731958762,9,0.5,41,0.6185567010309279,38,1.0,1,0.7628865979381443,13,0.0876288659793814,83,0.9690721649484536,4,0.4742268041237113,52,0.9690721649484536,1,0.8711340206185567,13,0.7465463917525773,4,業績急伸型,3
6507.T,シンフォニアテクノロジー,52,0.8732491948727564,電気機器,49.917355371900825,73.04964539007092,0.7640306157957363,38.13920454545454,36.20661956233525,100.0,True,2.0,0.0,0.0,1.0,16.6,2.14,11.0,5.5,1.62,medium,medium,medium,medium,low,,17.0,794154.2202182353,1.0,3.0,0.0,0.0,0.0,,-0.1442307692307692,,,,"」2.5骼→ー7【株式】&四.789【株ド)7,日本マスター日本マスろ14$1務く輒わ)ー,リ・カストディ本行,社(自己安き比鵯イキン一加【指等】<04①リンアン一",6.998913043478262,5.0,7.192857142857141,77.63688524343434,1.8269230769230769,2.648,24.02741644725919,29.019182348433556,0.5714285714285714,3,33.04347826086958,100.0,41.32608695652175,0.7577319587628866,24,0.9484536082474226,4,0.4639175257731959,53,0.9278350515463918,8,0.6391752577319587,36,0.845360824742268,16,0.9381443298969072,7,0.5979381443298969,40,0.5257731958762887,47,0.6855670103092784,31,0.7441237113402063,5,業績急伸型,4
3626.T,ＴＩＳ,72,0.8612137788951577,情報・通信業,43.98794850725829,17.42718446601941,0.805566371321813,15.38849646821393,12.507933860909818,85.0,True,4.0,0.0,0.0,1.0,21.1,3.0,16.0,9.3,,medium,medium,medium,medium,missing,,10.0,5942342782.9737,0.0,1.0,0.0,0.0,0.0,,,,,,2.4加・4東→龕・安35日本マスタイいちごトう務く輒わ乢7日本カスーき比脇日本生命価【指等】<D4①日本マスろ,8.371923076923078,4.0,8.387620941413902,69.67873680516593,4.0,2.0,24.680713218820017,30.89212915711516,0.5882352941176471,1,41.07692307692308,100.0,45.14615384615385,0.9587628865979382,5,0.8556701030927835,9,0.6701030927835051,33,0.3917525773195876,60,0.9896907216494846,1,0.7164948453608248,25,0.9484536082474226,6,0.7731958762886598,23,0.5360824742268041,46,0.845360824742268,16,0.7337113402061856,6,業績急伸型,5
1885.T,東亜建設工業,24,0.9008551271259732,建設業,133.96694214876032,16.29515757109916,0.8419830045002864,23.394055608820707,15.213161866148193,85.0,True,0.0,0.0,0.0,1.0,7.2,1.01,11.4,3.9,5.38,medium,medium,medium,medium,low,,19.0,428119824.7421053,1.0,0.0,1.0,0.0,1.0,,,,,,"・4【株式】&9【株ド日本マスター第4物社(自I,IGOM務くーわ日本カスト,太平洋セ8【指等】@4①物社、",6.6672049324721065,3.0,9.9,70.29207673174895,2.0,3.0,17.815620826474778,32.81890003541514,1.0,19,32.413388138578966,100.0,44.44803288314738,0.6907216494845361,30,0.6958762886597938,22,0.8556701030927835,15,0.4432989690721649,55,0.7628865979381443,13,0.8762886597938144,12,0.8041237113402062,20,0.865979381443299,14,0.9690721649484536,1,0.7938144329896907,17,0.7194845360824742,7,中間型,2
4709.T,ＩＤホールディングス,56,0.8699235548706269,情報・通信業,40.65721649484537,29.546695794647725,0.8488873104435811,27.67086927670869,21.552652622162302,100.0,True,1.0,0.0,0.0,1.0,14.0,2.27,15.9,8.9,3.75,medium,medium,medium,medium,low,,16.0,430272.3125,0.0,0.0,0.0,1.0,0.0,,,,,,一ヶ・レ己アカンート-朱エ・ーまスソ本余負′167分分,0.4,5.0,9.732058823529412,74.798223844719,3.0,2.5,11.563735663571816,32.81963781031816,0.8235294117647058,0,,,0.0,0.2628865979381443,67,0.9484536082474226,4,0.8247422680412371,18,0.7319587628865979,27,0.9175257731958762,7,0.7938144329896907,21,0.4742268041237113,52,0.8762886597938144,13,0.7525773195876289,25,0.268041237113402,47,0.7050000000000001,8,安定進捗型,1
7013.T,ＩＨＩ,8,0.918862029102386,機械,119.08304962724588,53.55915082689005,0.9088338165323088,30.24752847655113,29.04024758051506,90.0,True,0.0,0.0,0.0,0.0,14.0,2.97,16.9,3.31,1.36,medium,medium,medium,medium,low,,24.0,47231.0,0.0,1.0,2.0,0.0,0.0,,,0.0,,,".21428(OA4【株式】&ー62【株ド日マスタイーー日・カストディ務く02輒わステート・ス・..2,3ラスト新己本8,2世モルガこー【指等】く024①メ.ロ",6.6672049324721065,4.0,7.266999999999999,77.19864223173076,3.0,0.544,23.096740286938047,28.50567149865642,0.375,17,32.413388138578966,100.0,44.44803288314738,0.6907216494845361,30,0.8556701030927835,9,0.4742268041237113,52,0.8969072164948454,11,0.9175257731958762,7,0.2474226804123711,74,0.9175257731958762,9,0.5257731958762887,47,0.3402061855670103,65,0.7938144329896907,17,0.7002061855670103,9,業績急伸型,6
9065.T,山九,50,0.8753198519374047,陸運業,53.02207745204488,25.560246833387467,0.7101917862404152,26.93914623069936,14.751128503071268,100.0,True,0.0,0.0,0.0,0.0,10.8,1.1,8.0,4.8,3.48,medium,medium,medium,medium,low,,16.0,26521538933.8125,0.0,0.0,0.0,0.0,3.0,,,,,0.0,".3東(OA骼→ー龕【株式】&【株ド日本マスター物社(自務くーわ日本カスト9,9日本無5本3貶公財」ステート・ス8【指等】<D4①BNYM([A",8.404636788644599,3.0,8.264536082474226,70.94672904396472,2.0,1.392,21.45254772774533,28.540507553125803,0.7422680412371134,6,55.05151987382888,100.0,56.03091192429733,0.9690721649484536,4,0.6958762886597938,22,0.6494845360824743,35,0.4536082474226804,54,0.7628865979381443,13,0.5257731958762887,47,0.9072164948453608,10,0.5360824742268041,46,0.6907216494845361,31,1.0,1,0.6985567010309279,10,業績急伸型,7
