fast,slow,train_sharpe_mean,train_sharpe_med,train_return_mean,test_sharpe_mean,test_sharpe_med,test_return_mean,n_sectors_train,n_sectors_test
5,20,-0.1445918921335892,-0.0774231991329734,-54.01106889201111,0.037103400419852994,0.0,5.463447005434835,33,33
5,30,-0.12351290878528154,-0.06419983741760611,-30.73217474332654,-0.005571403096362536,-0.08819893512770641,3.298629463265196,33,33
5,40,-0.13244025954863892,-0.09040225284980075,-47.88940041580576,-0.0042363419125198715,0.07446902927108012,5.058857963944897,33,33
5,50,-0.12775579314441513,-0.05153031957885485,-32.374731202226236,-0.01884746023128888,0.059795544476148724,4.065005525423923,33,33
5,60,-0.1576602869288118,-0.1475383030564141,-40.31331321358574,0.028560748316131302,0.1676358974655039,8.130869799966055,33,33
5,70,-0.1287576022867648,-0.05808049522263736,-22.573809394364893,0.027236942924592188,0.18031801696881572,9.247673209122233,33,33
5,80,-0.13326907623774076,-0.11470781811862807,-24.421316338182535,0.027389121577618088,0.11323323369672333,7.1363855274597325,33,33
5,90,-0.13696099566568554,-0.1058333104913016,-27.602175673559273,0.07523364003048788,0.16353579221115522,10.70200967136651,33,33
5,100,-0.13551746999516293,-0.06449761186117234,-31.083027957257812,0.07263528430600698,0.16861336578785463,12.480057377730267,33,33
5,110,-0.11070368085781156,-0.08171293878869161,-26.531410285473406,0.10101910631200749,0.2708609189152965,18.30914026995547,33,33
5,120,-0.08314622980010239,-0.03587488975037224,-13.472663398999412,0.1098140245483531,0.2419528980227432,19.32044862142918,33,33
5,130,-0.07662419928111099,-0.015533808324837908,-7.325540035561682,0.05384293109462334,0.2761395827861976,18.788002391523246,33,33
5,140,-0.06800461203482822,0.01633782214270432,-1.5617791173258575,0.07538876370768927,0.28433922968644154,20.374531447399864,33,33
5,150,-0.048018446310955226,0.04528666346666409,8.119725477538651,0.1104073093135012,0.3161044568004335,24.365408339530404,33,33
5,160,-0.04689242090898471,0.014870331699660054,28.026487050303253,0.11887609216429512,0.28991466387716325,25.183565335582806,33,33
5,170,-0.0609525140601451,-0.0009470323014592454,5.055019327786308,0.12445803098181472,0.3647325892222445,27.500011007189336,33,33
5,180,-0.06238954127053903,0.01692165637853872,-1.3199850915189673,0.09505888080391756,0.3053061079229358,26.73844211786962,33,33
5,190,-0.0763691141482037,-0.02711920062111954,2.0923751968512385,0.10237106962734033,0.3400565342583717,26.784118448064838,33,33
