date,cash,market_value,equity,positions,nikkei_regime
2026-01-05,1112304.0,1872600.0,2984904.0,7,up
2026-01-06,543154.0,2450800.0,2993954.0,8,up
2026-01-07,543154.0,2470000.0,3013154.0,8,up
2026-01-08,543154.0,2452000.0,2995154.0,8,up
2026-01-09,338606.0,2670300.0,3008906.0,8,up
2026-01-13,551606.0,2492600.0,3044206.0,7,up
2026-01-14,1983.5,3088600.0,3090583.5,8,up
2026-01-15,1983.5,3103200.0,3105183.5,8,up
2026-01-16,133541.00000000006,3017300.0,3150841.0,7,up
2026-01-19,133541.00000000006,2984800.0,3118341.0,7,up
2026-01-20,133541.00000000006,2953400.0,3086941.0,7,up
2026-01-21,569441.0,2510800.0,3080241.0,6,up
2026-01-22,219764.00000000012,2913800.0,3133564.0,6,up
2026-01-23,46421.5,3100000.0,3146421.5,5,up
2026-01-26,1188921.5,1860700.0,3049621.5,4,up
2026-01-27,99501.50000000023,2904200.0,3003701.5,3,up
2026-01-28,506001.50000000023,2445400.0,2951401.5,2,up
2026-01-29,506001.50000000023,2479100.0,2985101.5,2,up
2026-01-30,1190601.5000000002,1778400.0,2969001.5,1,up
2026-02-02,53881.50000000029,2892200.0,2946081.5000000005,5,up
2026-02-03,475881.5000000003,2576000.0,3051881.5000000005,4,up
2026-02-04,328097.5000000003,2816650.0,3144747.5000000005,5,up
2026-02-05,19697.500000000466,3123500.0,3143197.5000000005,5,up
2026-02-06,272297.50000000047,2938350.0,3210647.5000000005,4,up
2026-02-09,272297.50000000047,2951700.0,3223997.5000000005,4,up
2026-02-10,616297.5000000005,2664150.0,3280447.5000000005,3,up
2026-02-12,118744.50000000052,3155200.0,3273944.5000000005,4,up
2026-02-13,118744.50000000052,3210200.0,3328944.5000000005,4,up
2026-02-16,118744.50000000052,3205900.0,3324644.5000000005,4,up
2026-02-17,317744.5000000005,3069950.0,3387694.5000000005,3,up
2026-02-18,317744.5000000005,3058900.0,3376644.5000000005,3,up
2026-02-19,317744.5000000005,3108200.0,3425944.5000000005,3,up
2026-02-20,317744.5000000005,3005400.0,3323144.5000000005,3,up
2026-02-24,317744.5000000005,3027300.0,3345044.5000000005,3,up
2026-02-25,317744.5000000005,3059250.0,3376994.5000000005,3,up
2026-02-26,317744.5000000005,3062450.0,3380194.5000000005,3,up
2026-02-27,14560.500000000466,3475450.0,3490010.5000000005,4,up
2026-03-02,14560.500000000466,3373900.0,3388460.5000000005,4,up
2026-03-03,2070660.5000000005,1208000.0,3278660.5000000005,1,up
2026-03-04,3240160.5000000005,0.0,3240160.5000000005,0,up
2026-03-05,585160.5000000005,2643000.0,3228160.5000000005,2,up
2026-03-06,3229160.5000000005,0.0,3229160.5000000005,0,up
2026-03-09,3229160.5000000005,0.0,3229160.5000000005,0,up
2026-03-10,378960.50000000047,2928000.0,3306960.5000000005,2,sideways
