variant,dataset,concentrated_mode,dispersed_mode,final_capital,total_return_pct,num_buys,max_drawdown_pct,phase_pnl
alloc50_post_major_state_switch_strict_normal_2516_or_stock_prev_high_break_top2_tp6_sl3,q2_2024,ETF 2516.T prev_high_break tp6/sl3,stock prev_high_break top2 tp6/sl3 with no current downtrend and strong 1w normal filter,3099573.3164062505,3.319110546875015,59,-9.950346753256344,"{'capitulation_end': 61220.15380859375, 'crash': 144651.63659667922, 'downtrend': 184811.41640625056, 'normal': -346572.84133300744, 'overheated_range': -7008.349609375, 'stable': 25171.300537109375, 'surge': 0.0, 'uptrend': 37300.0}"
alloc50_post_major_state_switch_strict_normal_2516_or_stock_prev_high_break_top2_tp6_sl3,q3,ETF 2516.T prev_high_break tp6/sl3,stock prev_high_break top2 tp6/sl3 with no current downtrend and strong 1w normal filter,3039183.8497009287,1.3061283233642973,71,-6.127186126460837,"{'capitulation_end': 17289.0, 'crash': 53163.0, 'downtrend': -1200.0, 'normal': -39379.400152586866, 'settling': 20132.399999999907, 'stable': 78116.0, 'uptrend': -88937.15014648438}"
