condition_name,final_capital,total_return_pct,win_rate_pct,avg_roundtrip_return_pct,num_roundtrips,max_drawdown_pct,promising_score_min,trend_r2_min,sector_per_score_min,entry_limit_pct,entry_mode,take_profit_pct,stop_loss_pct,run_dir
return_refined_0001,3178726.25,5.957541666666666,59.375,2.0138424240562633,32,-12.025950319796019,0.66,0.5,0.45,1.25,breakout_up,8.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0001
return_refined_0037,3178726.25,5.957541666666666,59.375,2.0138424240562633,32,-12.025950319796019,0.66,0.5,0.5,1.25,breakout_up,8.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0037
return_refined_0109,3178726.25,5.957541666666666,59.375,2.0138424240562633,32,-12.025950319796019,0.66,0.55,0.45,1.25,breakout_up,8.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0109
return_refined_0011,3177526.25,5.91754166666667,51.85185185185185,1.7234432324007187,27,-9.557495803612726,0.66,0.5,0.45,1.25,breakout_up,15.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0011
return_refined_0047,3177526.25,5.91754166666667,51.85185185185185,1.7234432324007187,27,-9.557495803612726,0.66,0.5,0.5,1.25,breakout_up,15.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0047
return_refined_0119,3177526.25,5.91754166666667,51.85185185185185,1.7234432324007187,27,-9.557495803612726,0.66,0.55,0.45,1.25,breakout_up,15.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0119
return_refined_0080,3172907.5,5.763583333333333,57.692307692307686,2.9222066829974342,26,-9.793168749445192,0.66,0.5,0.55,1.25,breakout_up,12.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0080
return_refined_0082,3171883.75,5.729458333333337,51.724137931034484,2.404135778906007,29,-10.60329405288737,0.66,0.5,0.55,1.25,breakout_up,15.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0082
return_refined_0030,3171196.75,5.706558333333334,57.14285714285714,3.2061481008814834,21,-7.300485813462643,0.66,0.5,0.45,1.75,breakout_up,12.0,4.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0030
return_refined_0066,3171196.75,5.706558333333334,57.14285714285714,3.2061481008814834,21,-7.300485813462643,0.66,0.5,0.5,1.75,breakout_up,12.0,4.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0066
return_refined_0138,3171196.75,5.706558333333334,57.14285714285714,3.2061481008814834,21,-7.300485813462643,0.66,0.55,0.45,1.75,breakout_up,12.0,4.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0138
return_refined_0007,3170326.25,5.6775416666666745,53.57142857142857,2.5974417273081607,28,-9.96933159839266,0.66,0.5,0.45,1.25,breakout_up,12.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0007
return_refined_0043,3170326.25,5.6775416666666745,53.57142857142857,2.5974417273081607,28,-9.96933159839266,0.66,0.5,0.5,1.25,breakout_up,12.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization_refined\run_0043
