dataset,condition,condition_name,period_start,period_end,initial_capital,final_capital,total_return_pct,num_buys,num_roundtrips,win_rate_pct,avg_roundtrip_return_pct,max_drawdown_pct,up_ret20_threshold,sideways_abs_ret20_threshold,regime_counts
q4_2,up0p01_side0p03,q4_2_up0p01_side0p03,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.01,0.03,"{'up': 43, 'sideways': 1, 'down': 0}"
q4_2,up0p01_side0p05,q4_2_up0p01_side0p05,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.01,0.05,"{'up': 43, 'sideways': 1, 'down': 0}"
q4_2,up0p01_side0p07,q4_2_up0p01_side0p07,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.01,0.07,"{'up': 43, 'sideways': 1, 'down': 0}"
q4_2,up0p01_side0p1,q4_2_up0p01_side0p1,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.01,0.1,"{'up': 43, 'sideways': 1, 'down': 0}"
q4_2,up0p02_side0p03,q4_2_up0p02_side0p03,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.02,0.03,"{'up': 41, 'sideways': 3, 'down': 0}"
q4_2,up0p02_side0p05,q4_2_up0p02_side0p05,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.02,0.05,"{'up': 41, 'sideways': 3, 'down': 0}"
q4_2,up0p02_side0p07,q4_2_up0p02_side0p07,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.02,0.07,"{'up': 41, 'sideways': 3, 'down': 0}"
q4_2,up0p02_side0p1,q4_2_up0p02_side0p1,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.02,0.1,"{'up': 41, 'sideways': 3, 'down': 0}"
q4_2,up0p03_side0p03,q4_2_up0p03_side0p03,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.03,0.03,"{'up': 36, 'sideways': 8, 'down': 0}"
q4_2,up0p03_side0p05,q4_2_up0p03_side0p05,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.03,0.05,"{'up': 36, 'sideways': 8, 'down': 0}"
q4_2,up0p03_side0p07,q4_2_up0p03_side0p07,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.03,0.07,"{'up': 36, 'sideways': 8, 'down': 0}"
q4_2,up0p03_side0p1,q4_2_up0p03_side0p1,2026-01-05,2026-03-10,3000000.0,3306960.5000000005,10.232016666666688,28,28,64.28571428571429,2.556208324404938,-7.502842756490269,0.03,0.1,"{'up': 36, 'sideways': 8, 'down': 0}"
