date,ticker,sector,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2024-09-27,4914.T,化学,BUY,1152.0,100,2884800.0,0.6739521300136013,2024-09-26,buy_breakout_up
2024-09-27,3333.T,小売業,BUY,1704.88,100,2714312.0,0.5261577053884372,2024-09-26,buy_breakout_up
2024-09-27,6785.T,電気機器,BUY,1658.42,200,2382628.0,0.4403924872660676,2024-09-26,buy_breakout_up
2024-09-27,9051.T,陸運業,BUY,1008.99,700,1676335.0,0.4057972417153326,2024-09-26,buy_breakout_up
2024-09-30,4914.T,化学,SELL,1102.0,100,1786535.0,0.66782365311096,2024-09-27,stop_loss
2024-09-30,3333.T,小売業,SELL_END,1723.0,100,1958835.0,,,end_of_backtest
2024-09-30,6785.T,電気機器,SELL_END,1635.0,200,2285835.0,,,end_of_backtest
2024-09-30,9051.T,陸運業,SELL_END,989.0,700,2978135.0,,,end_of_backtest
