quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score
2024Q2_PRE_ALIGNED,134,6517.T,デンヨー,電気機器,0.865330970516607,42.02334630350195,25.3756977243452,10.371697812359326,16.681034482758616,0.7866863102405893,-11.471663619744056,66.66666666666666,98.68198715782358,100.0,2920.0,6276,42.02334630350195,2024-06-30,2024-06-30,11.6,11.6,25.3,11.6,11.6,medium,medium,low,low,low,"2707
株伍指标
予想PER
（倍）
<25.3>
11.6
(26.3>
10.7
实PER
高值平均
12.5
安值平均
88
PBR
0.75
株倡(5/27)
2631A
最低購人额
24
7.3
26万3100m
速货特
6517",6252.png,0.75,0.6274075081610445,0.8906692001065932,0.7810894511928819,電気機器,0.0,3.0,11.6,0.865330970516607
2024Q2_PRE_ALIGNED,14,9823.T,マミーマートホールディングス,小売業,0.9317895227732008,169.75589914451663,34.5717234262126,15.916333671910726,26.079136690647477,0.9303385519471912,-20.077972709551663,83.33333333333334,93.00998573466477,100.0,1304.0,6533,169.75589914451663,2024-06-30,2024-06-30,12.3,12.3,24.9,12.3,12.3,medium,medium,low,low,low,"5810
株伍指标
予想PER
（倍）
<24.9>
12.3
<25.9>
12.3
实PER
高值平均
7.6
安值平均
5.9
PBR
1.51
株福(5/27)
5530m
最低購人额
24
55万3000P
9823
小",7794.png,0.7175925925925926,0.5017138193688793,0.9818615786902356,0.7800652972396793,小売業,0.0,3.0,12.3,0.9317895227732008
2024Q2_PRE_ALIGNED,259,6231.T,木村工機,機械,0.8283572205813774,161.69064748201438,22.526315789473685,24.552569630266117,39.95584988962473,0.8124480189893186,-24.598269468479607,66.66666666666666,77.60000000000001,65.0,5820.0,1463,161.69064748201438,2024-06-30,2024-06-30,9.6,9.6,25.3,9.6,9.6,medium,medium,low,low,low,"5750
株伍指标
予想PER
（倍）
<25.3>
9.6
(26.3>
8.7
实PER
高值平均
9.2
安值平均
4.6
PBR
2.08
2
株幅(5/27)
5610m
最低購人额
24
23.7
56万1000F
6231
概",6070.png,0.8162790697674419,0.6053522850924917,0.927381609335791,0.7786270019542094,機械,0.0,3.0,9.6,0.8283572205813774
2024Q2_PRE_ALIGNED,29,6489.T,前澤工業,機械,0.9190092854552052,81.96517412935323,27.439024390243905,13.864810663581109,21.278538812785385,0.7962908919732052,-17.061611374407583,83.33333333333334,97.79411764705884,100.0,1463.0,6276,81.96517412935323,2024-06-30,2024-06-30,7.7,7.7,24.5,7.7,7.7,medium,medium,low,low,low,"1401
株伍指标
（倍）
予想PER
<24.5>
7.7
<25.5>
7.5
实PER
高值平均
6.0
安值平均
3.8
PBR
0.94
株倡(5/27)
5
1374m
十万件
mn
最低購人额
24
13万74009
可
又连特
6489
概
增
32克半色",6234.png,0.916279069767442,0.418110718171926,0.9407648453287736,0.7720593473755117,機械,0.0,3.0,7.7,0.9190092854552052
2024Q2_PRE_ALIGNED,20,5889.T,Ｊａｐａｎ Ｅｙｅｗｅａｒ Ｈｏｌｄｉｎｇｓ,小売業,0.9292595056738692,168.22682268226822,36.44688644688645,27.173197495620915,52.70336093521675,0.9239372999624266,-17.587273530711446,71.42857142857143,95.05582137161085,100.0,2980.0,563,168.22682268226822,2024-06-30,2024-06-30,18.6,18.6,25.1,18.6,18.6,medium,medium,low,low,low,"2320
株伍指标
予想PER
（倍）
<25.1>
18.6
<26.1>
16.7
实PER
高值平均
14.1
安值平均
9.1
PBR
3-91
株倡(5/27)
2169
最低購人额
24
24.7
21万6900m
更航特
5889",5864.png,0.5262345679012346,0.5605685527747551,0.9826639814794254,0.7685554513557327,小売業,0.0,3.0,18.6,0.9292595056738692
2024Q2_PRE_ALIGNED,171,3583.T,オーベクス,繊維製品,0.8528119488056377,34.047350620067654,21.823770491803284,8.872434095623127,17.988394584139257,0.7870054257132368,-10.821643286573146,83.33333333333334,97.45901639344262,65.0,1189.0,6276,34.047350620067654,2024-06-30,2024-06-30,6.5,6.5,25.3,6.5,6.5,medium,medium,low,low,low,"有正格
株伍指标
予想PER
（倍）
<25.3>
6.5
<26.3>
5.9
实PER
高值平均
6.0
安值平均
4.6
PBR
0.48
株倡(5/27)
1081月
最低購人额
21
7.2
10万8100m
3583
绒",4810.png,0.8723404255319149,0.5693552774755168,0.8429679165463791,0.7679305945533818,繊維製品,0.0,3.0,6.5,0.8528119488056377
2024Q2_PRE_ALIGNED,209,2674.T,ハードオフコーポレーション,小売業,0.8435345976475465,48.642857142857146,23.13609467455622,11.788902769728676,23.843416370106763,0.7669138049424693,-12.306046013911187,66.66666666666666,93.19301388266904,80.0,2081.0,5463,48.642857142857146,2024-06-30,2024-06-30,13.6,13.6,25.3,13.6,13.6,medium,medium,low,low,low,"2059
株伍指标
予想PER
（倍）
<25.3>
13.6
(26.3>
12.2
实PER
高值平均
12.1
安值平均
7.9
PBR
1.69
3
株佰(5/27)
2056m
lm
最低購人额
21
13.0
20万5600F
2674",4375.png,0.6790123456790124,0.6487486398258977,0.8831056216828407,0.7675777656133183,小売業,0.0,3.0,13.6,0.8435345976475465
2024Q2_PRE_ALIGNED,148,2585.T,ライフドリンク カンパニー,食料品,0.8610964609565264,60.57347670250897,33.86454183266932,18.02228409523805,32.50950570342206,0.7511463391526294,-27.842809364548494,66.66666666666666,96.4131994261119,95.0,1680.0,1030,60.57347670250897,2024-06-30,2024-06-30,19.4,19.4,25.3,19.4,19.4,medium,medium,low,low,low,"0-0
株伍指标
予想PER
（倍）
<25.3>
19.4
(26.3>
18.7
实PER
高值平均
22.5
安值平均
9.2
PBR
6-58
株倡(5/27)
2
5720m
最低購人额
24
32.4
57万2000F
2585
食",4349.png,0.4919354838709677,0.6852965179542981,0.913865203970598,0.7629095224771084,食料品,0.0,3.0,19.4,0.8610964609565264
2024Q2_PRE_ALIGNED,269,6403.T,水道機工,機械,0.8250154619410331,40.04441154700223,20.27972027972027,11.16732608814564,24.970896391152507,0.7877383319763563,-9.202453987730063,75.0,88.12296227293899,100.0,1892.0,6535,40.04441154700223,2024-06-30,2024-06-30,10.7,10.7,25.3,10.7,10.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
10.7
(26.3>
8'8
实PER
高值平均
92.5
安值平均
71.7
PBR
0.75
株倡(5/27)
17429
最低購人额
24
3.7
17万42009
6403
概",6184.png,0.7418604651162791,0.6103645266594124,0.8792845983877773,0.7582834412589845,機械,0.0,3.0,10.7,0.8250154619410331
2024Q2_PRE_ALIGNED,66,6351.T,鶴見製作所,機械,0.895934328203534,86.06431852986218,30.12048192771084,16.762409513272754,25.179856115107917,0.7745298387638234,-20.90112640801002,66.66666666666666,98.38056680161942,90.0,2430.0,6276,86.06431852986218,2024-06-30,2024-06-30,15.2,15.2,25.3,15.2,15.2,medium,medium,low,low,low,"4110
株伍指标
予想PER
（倍）
<25.3>
15.2
(26.3>
15.0
实PER
高值平均
10.7
安值平均
6.7
PBR
1.14
株佰(5/27)
5
4100m
最低購人额
24
10.0
41万内
6351
概",6150.png,0.4534883720930232,0.6298966267682263,0.9307121260909152,0.7570779819827823,機械,0.0,3.0,15.2,0.895934328203534
2024Q2_PRE_ALIGNED,30,7932.T,ニッピ,その他製品,0.9189757500388622,98.38056680161944,28.947368421052637,13.67926696483922,32.055749128919864,0.7761465644433374,-16.062992125984255,83.33333333333334,96.96569920844328,100.0,7350.0,6535,98.38056680161944,2024-06-30,2024-06-30,8.3,8.0,8.0,8.0,8.0,medium,medium,low,low,low,"株伍指标
8O
海正格
予想PER
（倍）
<25.3>
8.3
(26.3>
8.1
实PER
高宿平均
8.9
安值平均
7.0
PBR
0.44
株倡(5/27)
2
5750
最低購人额
24
7.1
57万5000P
7932",7046.png,0.9166666666666666,0.355930359085963,0.9440555117585664,0.7542352590437699,その他製品,0.0,3.0,8.3,0.9189757500388622
2024Q2_PRE_ALIGNED,288,7500.T,西川計測,卸売業,0.820746784807503,37.16666666666666,18.247126436781613,11.014113700969414,27.817403708987158,0.8345734151501405,-12.936046511627907,66.66666666666666,91.85267857142856,75.0,8230.0,6535,37.16666666666666,2024-06-30,2024-06-30,11.6,11.6,24.6,11.6,11.6,medium,medium,low,low,low,"8600
株伍指标
予想PER
（倍）
<24.6>
11.6
<25.6>
17.1
实PER
高值平均
13.3
安值平均
10.6
PBR
1.63
株倡(5/27)
7
G0098
最低購人额
24
86万門
7500
化单御特
卸",6804.png,0.5310344827586206,0.4223680631120783,0.8607206535497767,0.6655636936406771,卸売業,0.0,3.0,11.6,0.820746784807503
