"condition_name","final_capital","total_return_pct","win_rate_pct","max_drawdown_pct","num_buys","early_dd_threshold","early_nk_threshold","early_ma_window"
"dd4_nkn0p005_ma5","3182246.5","6.074883333333325","58.620689655172406","-8.226463201016198","29","4","-0.005","5"
"dd4_nkn0p005_ma10","3182246.5","6.074883333333325","58.620689655172406","-8.226463201016198","29","4","-0.005","10"
"dd2_nk0_ma5","3176785.500000003","5.892850000000083","70.73170731707317","-8.637078264888597","41","2","0","5"
"dd2_nk0_ma10","3176785.500000003","5.892850000000083","70.73170731707317","-8.637078264888597","41","2","0","10"
"dd3_nk0_ma5","3176785.500000003","5.892850000000083","70.73170731707317","-8.637078264888597","41","3","0","5"
"dd3_nk0_ma10","3176785.500000003","5.892850000000083","70.73170731707317","-8.637078264888597","41","3","0","10"
"dd4_nk0_ma5","3176785.500000003","5.892850000000083","70.73170731707317","-8.637078264888597","41","4","0","5"
"dd4_nk0_ma10","3176785.500000003","5.892850000000083","70.73170731707317","-8.637078264888597","41","4","0","10"
"dd5_nk0_ma5","3176785.500000003","5.892850000000083","70.73170731707317","-8.637078264888597","41","5","0","5"
"dd5_nk0_ma10","3176785.500000003","5.892850000000083","70.73170731707317","-8.637078264888597","41","5","0","10"
"dd3_nkn0p005_ma5","3133919.5000000005","4.4639833333333545","62.06896551724138","-9.053510315324898","29","3","-0.005","5"
"dd3_nkn0p005_ma10","3133919.5000000005","4.4639833333333545","62.06896551724138","-9.053510315324898","29","3","-0.005","10"
"dd5_nkn0p005_ma5","3120442","4.014733333333331","55.172413793103445","-8.97427188054295","29","5","-0.005","5"
"dd5_nkn0p005_ma10","3120442","4.014733333333331","55.172413793103445","-8.97427188054295","29","5","-0.005","10"
"dd2_nkn0p005_ma10","3083468.5000000005","2.7822833333333463","62.06896551724138","-8.840227223736076","29","2","-0.005","10"
"dd2_nkn0p005_ma5","3081468.5000000005","2.715616666666687","62.06896551724138","-8.845594620476671","29","2","-0.005","5"
