dataset,final_capital_v31,total_return_pct_v31,num_buys_v31,max_drawdown_pct_v31,final_capital_pre1_post5,total_return_pct_pre1_post5,num_buys_pre1_post5,max_drawdown_pct_pre1_post5,capital_diff,return_diff_pct_pt
q2_2024,3184483.493652344,6.149449788411476,24,-7.837973894987382,2605360.767272949,-13.154641090901698,56,-16.361916128114895,-579122.726379395,-19.304090879313176
q3,3447369.251342775,14.912308378092495,27,-2.929349606946185,3531868.0751953144,17.728935839843807,50,-7.1249789195651285,84498.82385253953,2.8166274617513114
q4,3354116.0,11.803866666666664,22,-1.6541483600067353,4161338.99975586,38.711299991862006,41,-2.5891472403604565,807222.9997558598,26.907433325195342
4q2,3342272.5000000005,11.409083333333347,46,-6.642602319261004,3385262.500000001,12.842083333333363,43,-11.05578839382494,42990.000000000466,1.4330000000000158
