condition_name,final_capital,total_return_pct,win_rate_pct,avg_roundtrip_return_pct,num_roundtrips,max_drawdown_pct,promising_score_min,trend_r2_min,sector_per_score_min,entry_limit_pct,entry_mode,take_profit_pct,stop_loss_pct,run_dir
return_opt_0081,3306960.5000000005,10.232016666666688,64.28571428571429,2.556208324404938,28,-7.502842756490269,0.68,0.55,0.55,1.5,breakout_up,8.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0081
return_opt_0028,3304060.0,10.13533333333334,59.25925925925925,3.584778306702615,27,-6.0408500223952055,0.68,0.55,0.45,1.5,breakout_up,15.0,4.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0028
return_opt_0085,3302160.500000001,10.072016666666705,64.28571428571429,3.2278911927977467,28,-8.075297984197505,0.68,0.55,0.55,1.5,breakout_up,10.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0085
return_opt_0021,3295297.0000000005,9.843233333333345,58.620689655172406,2.6374612514151985,29,-8.144341372592612,0.68,0.55,0.45,1.5,breakout_up,10.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0021
return_opt_0017,3289976.0000000005,9.66586666666669,64.28571428571429,2.556208324404938,28,-8.197995670795244,0.68,0.55,0.45,1.5,breakout_up,8.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0017
return_opt_0029,3285220.0,9.507333333333335,60.0,2.8511444664472583,25,-7.412597191107794,0.68,0.55,0.45,1.5,breakout_up,15.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0029
return_opt_0024,3279587.5,9.319583333333338,59.25925925925925,3.2611819742595802,27,-7.002328522026213,0.68,0.55,0.45,1.5,breakout_up,12.0,4.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0024
return_opt_0030,3266620.0,8.887333333333336,60.0,2.446085298667357,25,-7.954449451884393,0.68,0.55,0.45,1.5,breakout_up,15.0,6.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0030
return_opt_0031,3266620.0,8.887333333333336,60.0,2.446085298667357,25,-7.954449451884393,0.68,0.55,0.45,1.5,breakout_up,15.0,8.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0031
return_opt_0089,3259606.5,8.65355000000001,60.0,3.5113839487020755,25,-7.777339349334067,0.68,0.55,0.55,1.5,breakout_up,12.0,5.0,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\shikiho_text_parser\output\4q2_return_optimization\run_0089
