date,nikkei_phase,equity
2021-10-01,normal,2979640.650390625
2021-10-04,normal,2993674.0
2021-10-05,normal,3017474.0
2021-10-06,crash,2957372.187805176
2021-10-07,normal,2923499.9404907227
2021-10-08,crash,2868483.0063476562
2021-10-11,normal,3002481.9153442383
2021-10-12,normal,3010728.9153442383
2021-10-13,normal,3010728.9153442383
2021-10-14,normal,3008628.9153442383
2021-10-15,normal,3019530.3066711426
2021-10-18,normal,2982370.3152160645
2021-10-19,normal,2974730.3066711426
2021-10-20,normal,2993410.3237609863
2021-10-21,normal,2978330.3066711426
2021-10-22,normal,2957530.3066711426
2021-10-25,normal,2935810.3237609863
2021-10-26,normal,2960210.3237609863
2021-10-27,normal,2950210.3237609863
2021-10-28,normal,2953410.3237609863
2021-10-29,normal,2955646.8237609863
2021-11-01,normal,2987376.3237609863
2021-11-02,normal,3071476.3237609863
2021-11-04,normal,3066276.3237609863
2021-11-05,overheated_range,3062676.3237609863
2021-11-08,uptrend,3073076.3237609863
2021-11-09,normal,3077076.3237609863
2021-11-10,normal,3073348.8237609863
2021-11-11,uptrend,3062985.8237609863
2021-11-12,uptrend,3056273.3237609863
2021-11-15,uptrend,3045221.8237609863
2021-11-16,normal,3071521.8237609863
2021-11-17,stable,3070121.8237609863
2021-11-18,stable,3074376.8237609863
2021-11-19,stable,3107239.3237609863
2021-11-22,uptrend,3182591.3237609863
2021-11-24,uptrend,3200891.3237609863
2021-11-25,stable,3211091.3237609863
2021-11-26,stable,3227091.3237609863
2021-11-29,normal,3193791.3237609863
2021-11-30,normal,3105065.3237609863
2021-12-01,normal,3129731.9741516113
2021-12-02,normal,3063431.9741516113
2021-12-03,downtrend,3062731.9741516113
2021-12-06,normal,3056314.9741516113
2021-12-07,normal,3087714.9741516113
2021-12-08,normal,3112114.9741516113
2021-12-09,normal,3099512.324005127
2021-12-10,normal,3062212.324005127
2021-12-13,normal,3085012.324005127
2021-12-14,settling,3059069.324005127
2021-12-15,settling,3099069.324005127
2021-12-16,settling,3113769.324005127
2021-12-17,normal,3121669.324005127
2021-12-20,normal,3105869.324005127
2021-12-21,normal,3116069.324005127
2021-12-22,normal,3114669.324005127
2021-12-23,normal,3117069.324005127
2021-12-24,normal,3126669.324005127
2021-12-27,normal,3142069.324005127
2021-12-28,normal,3145759.324005127
2021-12-29,normal,3144759.324005127
2021-12-30,normal,3168989.324005127
