"dataset","base_total_return_pct","candidate_total_return_pct","diff_pct","base_num_buys","candidate_num_buys","base_max_drawdown_pct","candidate_max_drawdown_pct","final_capital"
"q2_2024","3.88992987263996","-5.800791670735661","-9.690721543375624","47","14","-7.17185582156584","-7.269899198936902","2825976.24987793"
"q3","29.061622837321","29.06162283732099","0","80","80","-3.62153171739128","-3.6215317173912798","3871848.68511963"
"q4","7.15023332926434","7.150233329264344","0","43","43","-8.3951319307158","-8.395131930715804","3214506.99987793"
"4q2","4.31615000000001","7.104583333333325","2.788433333333317","82","58","-7.05801292641004","-5.301238811898834","3213137.5"
