ticker,company_name,market,simple_sector,sector,feature_summary,segment_summary,flags,headline_positive_count,headline_negative_count,headline_score_raw,shikiho_score_overall,score_growth,score_profitability,score_safety,score_undervalued,score_momentum,forecast_per,actual_pbr,forecast_yield,ytd_return_text_pct,ma200_gap_pct,equity_ratio_pct,sales_growth_pct,op_growth_pct,np_growth_pct,eps_growth_pct,div_growth_pct,annual_return_pct,trailing_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,persistence_20d_pct,end_to_trailing_high_pct,quarter_end_close,price_rows,sector_33,sector_adjusted_per_score,fundamental_score,price_score,valuation_score,promising_score,selected,selection_reason
2975.T,スター・マイカ・ホールディングス,東証プライム,増額/不動産,増額/不動産,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,4,0,4,4.0,5.0,4.0,2.0,4.0,5.0,11.47,1.92,2.67,,,,,,,,,74.13612565445027,88.12217194570135,21.653255303584483,12.688636086549183,20.780195048762184,0.8904966059602225,16.125654450261784,76.92307692307693,90.0,95.79493087557603,1663.0,1653,不動産業,0.2222222222222222,0.48460847565665294,0.8809626955475331,0.3185908399397645,0.6297643474641714,False,score=0.63 | annual=74.1 | quarter=21.7 | trend_r2=0.89 | per_score=0.222
6146.T,ディスコ,東証プライム,前号並み/225,前号並み/225,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,3,0,3,4.0,5.0,5.0,4.0,2.0,5.0,47.76,13.9,0.62,,,,19.331742243436743,24.927367809413138,24.68354430379747,24.721030042918457,100032.72311212815,108.2040572792363,66.56324582338901,46.15706806282722,24.616696721746862,46.09770930468275,0.8083557245191487,43.675417661097846,61.53846153846154,80.0,86.1604938271605,69790.0,6276,機械,0.04285714285714286,0.743536019626239,0.7885860409145609,0.07263866312276081,0.6296290579052882,False,score=0.63 | annual=108.2 | quarter=46.2 | trend_r2=0.808 | per_score=0.043
4992.T,北興化学工業,東証スタンダード,増額/化学,増額/化学,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,4,1,3,4.0,4.0,5.0,4.0,4.0,4.0,10.72,0.86,3.05,,,,,,,,,28.947368421052634,37.16951788491447,8.420405654578978,9.45775470412477,14.331413947536786,0.8203307464852884,26.73410404624278,76.92307692307693,70.0,93.82978723404256,1764.0,6276,化学,0.7307692307692307,0.5205032376252776,0.6795367027677497,0.7077894445836515,0.6295255383310648,False,score=0.63 | annual=28.9 | quarter=8.4 | trend_r2=0.82 | per_score=0.731
5844.T,京都フィナンシャルグループ,東証プライム,銀行/地方銀行,銀行/地方銀行,,,業績予想更新あり / 優待あり / 貸借,5,0,5,5.0,5.0,5.0,,4.0,5.0,28.33,1.04,1.85,,,,1.3847675568743778,,3.111111111111109,3.0934343434343425,10131.25,64.30028559771522,84.09142857142857,16.118800461361005,11.278651758906989,17.94117647058824,0.9524950757551675,25.356997144022852,84.61538461538461,60.0,95.99523241954708,4027.0,6406,銀行業,0.17233910891089108,0.5821003060623282,0.799789410348977,0.3293785947419956,0.6295160607272536,False,score=0.63 | annual=64.3 | quarter=16.1 | trend_r2=0.952 | per_score=0.172
7224.T,新明和工業,東証プライム,前号並み/輸送用機器,前号並み/輸送用機器,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,1,0,1,3.0,4.0,3.0,3.0,3.0,5.0,15.26,1.37,2.29,,,,13.879003558718871,19.999999999999996,21.739130434782616,21.710999281092747,3.703703703703698,65.04336224149434,83.39510748702743,28.252980819077234,16.03591780089715,25.643382352941167,0.8717933381313504,23.549032688458972,69.23076923076923,75.0,90.1603498542274,2474.0,6273,輸送用機器,0.2903225806451613,0.5355183784137988,0.8171600481347774,0.37172085287244244,0.629497624679968,False,score=0.629 | annual=65.0 | quarter=28.3 | trend_r2=0.872 | per_score=0.29
6294.T,オカダアイヨン,東証プライム,前号並み/機械,前号並み/機械,,,優待あり / 貸借 / 最新の四季報作成後に通期業績予想の変更はありません。 / 【QAあり】オカダアイヨン、AP社との事業提携および資金調達を実施 グローバルメーカーとしての地位確立や高付加価値化を図る / 【QAあり】オカダアイヨン、AP社との事業提携および資金調達を実施 グローバルメーカーとしての地位確立や高付加価値化を図る2025/12/04 17:00 ログミーファイナンス / 【QAあり】オカダアイヨン、堅調な解体・インフラ需要を追い風に圧砕機が好調 26年3月期は国内安定成長と海外回復で増収増益計画 / 【QAあり】オカダアイヨン、堅調な解体・インフラ需要を追い風に圧砕機が好調 26年3月期は国内安定成長と海外回復で増収増益計画2025/06/05 13:00 ログミーファイナンス,11,1,10,3.0,5.0,4.0,3.0,4.0,2.0,10.07,1.02,3.32,,,,7.14285714285714,12.00000000000001,11.764705882352944,11.74798673614401,1.333333333333342,14.614278869190223,14.449760765550245,2.4850042844901443,7.2245706489185215,10.43290043290044,0.650465314394258,20.606347702510664,61.53846153846154,70.0,93.7671501372011,2392.0,6468,機械,0.8857142857142857,0.6498109953019494,0.547268351383875,0.778845138045158,0.6294736340874576,False,score=0.629 | annual=14.6 | quarter=2.5 | trend_r2=0.65 | per_score=0.886
6267.T,ゼネラルパッカー,東証スタンダード,機械/産業機械,機械/産業機械,,,業績予想更新あり / 信用,1,0,1,4.0,3.0,5.0,4.0,5.0,4.0,8.48,0.88,3.06,,,,,,,,,39.153439153439166,40.44143823424706,0.2541296060991183,9.000192225297482,19.51547779273217,0.8931776978196612,11.021411021411021,69.23076923076923,10.0,88.85135135135135,3945.0,5503,機械,0.9090346534653465,0.4840738919961448,0.6668050541516246,0.7990935678866442,0.6293068501442105,False,score=0.629 | annual=39.2 | quarter=0.3 | trend_r2=0.893 | per_score=0.909
8424.T,芙蓉総合リース,東証プライム,前号並み/その他金融,前号並み/その他金融,,,優待あり / 貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,2,0,2,3.0,1.0,4.0,,3.0,3.0,8.16,0.83,3.95,,,,5.555555555555558,105.88235294117645,188.23529411764704,188.22281167108753,110137.34177215189,9.946216536395358,16.145107373753408,2.262756869083349,6.506108783012032,9.716312056737596,0.6240392318950525,13.438144713838195,76.92307692307693,75.0,94.96140651801029,4429.0,5250,その他金融業,1.0,0.5362705894926061,0.583459687123947,0.8949795886689574,0.6292474832619798,False,score=0.629 | annual=9.9 | quarter=2.3 | trend_r2=0.624 | per_score=1.0
5290.T,ベルテクスコーポレーション,東証スタンダード,増額/ガラス土石,増額/ガラス土石,,,優待あり / 貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,5,0,5,4.0,2.0,5.0,4.0,4.0,5.0,23.02,2.34,1.71,,,,13.043478260869556,11.764705882352944,-51.42857142857142,-51.43259746359794,0.10769230769229754,86.87089715536105,85.24945770065075,29.68868640850417,16.5466790611091,38.854489164086694,0.6182059441729708,31.36128661688685,69.23076923076923,100.0,89.56476140534872,1708.0,1816,ガラス・土石製品,0.4,0.6027807072745688,0.7723225030084236,0.35305520342108365,0.6291294145841064,False,score=0.629 | annual=86.9 | quarter=29.7 | trend_r2=0.618 | per_score=0.4
7634.T,星医療酸器,東証スタンダード,前号並み/卸売,前号並み/卸売,,,優待あり / 信用 / 最新の四季報作成後に通期業績予想の変更はありません。,3,0,3,4.0,4.0,5.0,4.0,4.0,4.0,13.24,0.94,1.54,,,,1.3071895424836555,3.864734299516903,1.3513513513513598,1.3513513513513375,10005.555555555557,19.55307262569832,23.271889400921665,6.7864271457085845,4.870368266898173,7.214428857715438,0.8672073641974813,7.707509881422925,61.53846153846154,80.0,100.0,5350.0,6501,卸売業,0.45614035087719296,0.6011918158525232,0.7159807460890495,0.48189974716773876,0.6289884207220032,False,score=0.629 | annual=19.6 | quarter=6.8 | trend_r2=0.867 | per_score=0.456
