date,cash,market_value,equity,positions,nikkei_regime
2025-10-01,2874000.0,122000.0,2996000.0,1,up
2025-10-02,2991200.0,0.0,2991200.0,0,up
2025-10-03,2991200.0,0.0,2991200.0,0,up
2025-10-06,173700.0,2754500.0,2928200.0,1,up
2025-10-07,173700.0,2793000.0,2966700.0,1,up
2025-10-08,173700.0,2758000.0,2931700.0,1,up
2025-10-09,173700.0,2768500.0,2942200.0,1,up
2025-10-10,173700.0,2677500.0,2851200.0,1,up
2025-10-14,2826700.0,0.0,2826700.0,0,up
2025-10-15,2826700.0,0.0,2826700.0,0,up
2025-10-16,192775.0,2676000.0,2868775.0,1,up
2025-10-17,192775.0,2649000.0,2841775.0,1,up
2025-10-20,192775.0,2742000.0,2934775.0,1,up
2025-10-21,192775.0,2727000.0,2919775.0,1,up
2025-10-22,192775.0,2724000.0,2916775.0,1,up
2025-10-23,192775.0,2757000.0,2949775.0,1,up
2025-10-24,192775.0,2751000.0,2943775.0,1,up
2025-10-27,192775.0,2805000.0,2997775.0,1,up
2025-10-28,3042775.0,0.0,3042775.0,0,up
2025-10-29,3042775.0,0.0,3042775.0,0,up
2025-10-30,3042775.0,0.0,3042775.0,0,up
2025-10-31,3042775.0,0.0,3042775.0,0,up
2025-11-04,3042775.0,0.0,3042775.0,0,up
2025-11-05,3042775.0,0.0,3042775.0,0,up
2025-11-06,3042775.0,0.0,3042775.0,0,up
2025-11-07,3042775.0,0.0,3042775.0,0,up
2025-11-10,3042775.0,0.0,3042775.0,0,up
2025-11-11,3042775.0,0.0,3042775.0,0,up
2025-11-12,3042775.0,0.0,3042775.0,0,up
2025-11-13,3042775.0,0.0,3042775.0,0,up
2025-11-14,3042775.0,0.0,3042775.0,0,up
2025-11-17,3042775.0,0.0,3042775.0,0,up
2025-11-18,3042775.0,0.0,3042775.0,0,up
2025-11-19,3042775.0,0.0,3042775.0,0,sideways
2025-11-20,3042775.0,0.0,3042775.0,0,sideways
2025-11-21,1829342.5,1218000.0,3047342.5,1,sideways
2025-11-25,1829342.5,1227000.0,3056342.5,1,sideways
2025-11-26,1829342.5,1251000.0,3080342.5,1,sideways
2025-11-27,935330.5000000001,2150100.0,3085430.5,2,sideways
2025-11-28,646530.5000000001,2461200.0,3107730.5,3,sideways
2025-12-01,646530.5000000001,2426400.0,3072930.5,3,sideways
2025-12-02,646530.5000000001,2420600.0,3067130.5,3,sideways
2025-12-03,456830.5000000001,2598000.0,3054830.5,3,sideways
2025-12-04,456830.5000000001,2662700.0,3119530.5,3,sideways
2025-12-05,1785830.5,1350000.0,3135830.5,2,sideways
2025-12-08,2241330.5,906000.0,3147330.5,1,sideways
2025-12-09,2241330.5,909600.0,3150930.5,1,sideways
2025-12-10,2241330.5,897600.0,3138930.5,1,sideways
2025-12-11,2241330.5,891600.0,3132930.5,1,sideways
2025-12-12,2241330.5,906000.0,3147330.5,1,sideways
2025-12-15,1733.0,3193100.0,3194833.0,3,sideways
2025-12-16,1733.0,3133700.0,3135433.0,3,sideways
2025-12-17,2234733.0,916800.0,3151533.0,1,sideways
2025-12-18,2234733.0,908400.0,3143133.0,1,sideways
2025-12-19,1006583.0000000001,2151600.0,3158183.0,3,sideways
2025-12-22,835583.0000000001,2341200.0,3176783.0,4,sideways
2025-12-23,835583.0000000001,2352500.0,3188083.0,4,up
2025-12-24,53627.00000000023,3117300.0,3170927.0,5,up
2025-12-25,495627.00000000023,2684200.0,3179827.0,4,sideways
2025-12-26,495627.00000000023,2697300.0,3192927.0,4,sideways
2025-12-29,495627.00000000023,2735300.0,3230927.0,4,sideways
2025-12-30,495627.00000000023,2730100.0,3225727.0,4,up
