date,phase_name,post_major_crash_mode,post_major_phase,post_major_active,sector_mode,sector_top_share,sector_hhi,sector_count,price_top3_share,positive_count,chosen_etf,etf_scores_json
2025-07-01,uptrend,False,uptrend,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.24782440805165265,71,,{}
2025-07-02,uptrend,False,uptrend,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.20185014607090923,60,,{}
2025-07-03,settling,False,settling,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.17849328124301908,57,,{}
2025-07-04,settling,False,uptrend,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.2691847427368268,34,,{}
2025-07-07,settling,False,uptrend,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.3079883896228875,38,,{}
2025-07-08,settling,False,uptrend,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.330301342477421,35,,{}
2025-07-09,uptrend,False,uptrend,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.28109581604819406,42,,{}
2025-07-10,uptrend,False,uptrend,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.271835157028273,63,,{}
2025-07-11,uptrend,False,uptrend,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.26126898012204336,70,,{}
2025-07-14,uptrend,False,uptrend,False,dispersed,0.1956521739130435,0.11531190926275994,19,0.28164535492780135,68,,{}
2025-07-15,stable,False,stable,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.14212638196635455,95,,{}
2025-07-16,stable,False,stable,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.19588749214967105,84,,{}
2025-07-17,stable,False,stable,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.2891972013590886,65,,{}
2025-07-18,uptrend,False,uptrend,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.2548108257137459,68,,{}
2025-07-22,uptrend,False,uptrend,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.31066748232136215,59,,{}
2025-07-23,uptrend,False,uptrend,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.2853276619666909,61,,{}
2025-07-24,uptrend,False,uptrend,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.15163350429000513,76,,{}
2025-07-25,normal,False,normal,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.14114436757279575,85,,{}
2025-07-28,normal,False,normal,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.10917937185072395,79,,{}
2025-07-29,normal,False,normal,False,dispersed,0.17543859649122806,0.09110495537088334,22,0.16260071020393146,75,,{}
2025-07-30,normal,False,high_vol,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.12458210626786251,111,,{}
2025-07-31,normal,False,high_vol,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.1377966444799144,114,,{}
2025-08-01,normal,False,high_vol,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.12165056973422199,114,,{}
2025-08-04,normal,False,high_vol,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.13448546495418987,102,,{}
2025-08-05,normal,False,high_vol,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.1648058563196925,106,,{}
2025-08-06,normal,False,high_vol,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.13309508203163387,117,,{}
2025-08-07,settling,False,settling,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.16340931621265575,124,,{}
2025-08-08,settling,False,uptrend,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.15676829611528328,125,,{}
2025-08-12,settling,False,uptrend,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.13609096587747196,127,,{}
2025-08-13,settling,False,uptrend,False,dispersed,0.14838709677419354,0.07904266389177936,23,0.09958474309119028,122,,{}
2025-08-14,uptrend,False,uptrend,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.06458461171232505,209,,{}
2025-08-15,normal,False,normal,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.08354039211043196,169,,{}
2025-08-18,overheated_range,False,overheated_range,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.11094704757399447,146,,{}
2025-08-19,overheated_range,False,overheated_range,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.1437870904528432,157,,{}
2025-08-20,settling,False,settling,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.12145891577957256,165,,{}
2025-08-21,normal,False,normal,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.16097401008763393,153,,{}
2025-08-22,normal,False,normal,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.13150596026814293,181,,{}
2025-08-25,normal,False,normal,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.09961372093750834,189,,{}
2025-08-26,normal,False,normal,False,dispersed,0.14122137404580154,0.07047957578229702,30,0.11151748204944671,158,,{}
