ep,reward,trades,eps
1,-0.8236687245087241,1898,0.9845312499999315
2,0.4421506435831535,1895,0.9690624999998629
3,-0.6587150743159008,1847,0.9535937499997944
4,-0.24026991583244028,1914,0.9381249999997259
5,0.3914052931978359,1873,0.9226562499996573
6,0.36393251877650534,1891,0.9071874999995888
7,1.3422224282131396,1863,0.8917187499995203
8,0.8221074081081888,1939,0.8762499999994517
9,0.9503549607933957,1899,0.8607812499993832
10,1.3046041076544719,1923,0.8453124999993147
11,0.7248838307447724,1915,0.8298437499992461
12,1.7355948914827808,1927,0.8143749999991776
13,1.3843600187446534,1930,0.7989062499991091
14,1.887716976702964,1899,0.7834374999990406
15,2.364157620718772,1920,0.767968749998972
16,1.96656819641689,1956,0.7524999999989035
17,2.2918657026277485,1979,0.737031249998835
18,2.790565558068527,2014,0.7215624999987664
19,2.7209286922044784,1931,0.7060937499986979
20,3.200380814525377,2002,0.6906249999986294
21,3.2187590147306464,2025,0.6751562499985608
22,3.254826812023136,2032,0.6596874999984923
23,3.8194310375834646,2049,0.6442187499984238
24,3.955305295090965,2024,0.6287499999983552
25,3.7061343824237873,2014,0.6132812499982867
26,3.350716926998767,2031,0.5978124999982182
27,4.532491291955614,2044,0.5823437499981496
28,4.721067075331018,2060,0.5668749999980811
29,4.757965194962467,2052,0.5514062499980126
30,4.827641723515023,2043,0.535937499997944
31,5.264070878411624,2055,0.5204687499978755
32,5.3160397013798075,2049,0.504999999997807
33,5.356440274812234,2043,0.48953124999773845
34,5.543565370107486,2106,0.4740624999976699
35,5.383405855478442,2048,0.4585937499976014
36,5.875812616941673,2046,0.44312499999753285
37,6.067727727089897,2119,0.4276562499974643
38,6.354324870384207,2082,0.4121874999973958
39,6.683112138643302,2073,0.39671874999732726
40,6.7976775163045495,2152,0.3812499999972587
41,6.407302221981477,2116,0.3657812499971902
42,6.3233114157646435,2160,0.35031249999712166
43,6.903647418749642,2202,0.33484374999705313
44,6.973282440927468,2136,0.3193749999969846
45,7.70821949960465,2181,0.30390624999691607
46,7.578787557593432,2174,0.28843749999684754
47,8.295309085072859,2205,0.272968749996779
48,8.201605813542484,2160,0.25749999999671047
49,8.75371378275486,2246,0.24203124999668194
50,8.467431317826863,2202,0.226562499996691
51,8.92895161199887,2245,0.21109374999670008
52,8.827272893977058,2153,0.19562499999670915
53,8.654127310423092,2246,0.18015624999671823
54,9.098463635984508,2252,0.1646874999967273
55,9.485013715184945,2240,0.14921874999673637
56,9.415406263102497,2318,0.13374999999674544
57,9.750804999541023,2284,0.11828124999675452
58,9.594452480766222,2279,0.10281249999676359
59,10.000102688797767,2258,0.08734374999677266
60,10.095549651271895,2337,0.07187499999678174
61,10.401337330047555,2283,0.05640624999679081
62,10.445926418831853,2334,0.04093749999679988
63,10.391984451615524,2369,0.025468749996805328
64,10.557604582269985,2335,0.01
65,10.74292927928045,2398,0.01
66,10.580664700613893,2349,0.01
67,10.888325606036803,2466,0.01
68,10.767563896660336,2425,0.01
69,10.807619705546948,2402,0.01
70,10.73120774222313,2412,0.01
71,10.666943116815604,2396,0.01
72,10.948376117081692,2389,0.01
73,11.10837030322768,2463,0.01
74,10.981267496336086,2384,0.01
75,10.694949604661732,2320,0.01
76,10.692651063051366,2399,0.01
77,10.775592137125159,2401,0.01
78,10.876347816498116,2438,0.01
79,10.845576559390244,2457,0.01
80,10.860856385285803,2385,0.01
