label,rl_log_return,rl_return,bnh_log_return,bnh_return,sharpe,max_drawdown,n_trades
訓練期間_,11.241876572162482,76256.92108548277,1.2149202,2.370025,7.991605331463886,-0.02842300543860199,1223
テスト期間_,1.8617162946179828,5.43477126278768,0.73852056,1.0928369,3.086853169621533,-0.1643630185113384,328
