step,cum_log_rl,cum_log_bnh,action
0,0.0,0.0017325435,2
1,0.0,0.0036348444,2
2,0.0,-0.012036664,2
3,0.0,-0.029206822,2
4,0.0025644411109387874,-0.02564238,1
5,0.0015644411109387874,-0.03170949,2
6,0.0015644411109387874,-0.049952585,2
7,0.020595774080604312,-0.029921252,1
8,0.03214223592355847,-0.01837479,1
9,0.03114223592355847,-0.020850461,2
10,0.03114223592355847,-0.03242571,2
11,0.037459037154912944,-0.025108907,1
12,0.04525231605395674,-0.017315628,1
13,0.05717808788642287,-0.005389856,1
14,0.05617808788642287,-0.02085046,2
15,0.05617808788642287,-0.040699184,2
16,0.05617808788642287,-0.036913637,2
17,0.05617808788642287,-0.047767535,2
18,0.07248825089260935,-0.030457372,1
19,0.07148825089260935,-0.03278401,2
20,0.07940738842263817,-0.023864873,1
21,0.07840738842263817,-0.05049955,2
22,0.07840738842263817,-0.056169454,2
23,0.07840738842263817,-0.053787827,2
24,0.07840738842263817,-0.07169655,0
25,0.10279038402810692,-0.046313554,1
26,0.10894647281244396,-0.040157467,0
27,0.1123702516183257,-0.036733687,0
28,0.12025414680689572,-0.028849792,1
29,0.11925414680689572,-0.047040313,2
30,0.13107595805823802,-0.0342185,1
31,0.1403634690567851,-0.024930991,1
32,0.1316141730993986,-0.033680286,1
33,0.12910019563324748,-0.036194265,0
34,0.12676022833958267,-0.03853423,0
35,0.13251045512780546,-0.032784004,1
36,0.15483591313287615,-0.010458546,1
37,0.15079764582961797,-0.014496813,1
38,0.15781031762063502,-0.007484141,1
39,0.1558867995981127,-0.009407659,1
40,0.16789212127961217,0.0025976626,1
41,0.17444282308034598,0.009148365,1
42,0.1754731724858284,0.010178714,1
43,0.1846992804557085,0.019404821,1
44,0.18571912151575087,0.020424662,1
45,0.18471912151575087,0.0057059377,2
46,0.18471912151575087,-0.02457549,2
47,0.18471912151575087,-0.037813548,2
48,0.18471912151575087,-0.04831338,0
49,0.18471912151575087,-0.045768864,2
50,0.16632412433624266,-0.06316386,1
51,0.16532412433624266,-0.07169655,2
52,0.18333008977770804,-0.052690584,1
53,0.18233008977770804,-0.055619374,2
54,0.18133008977770804,-0.055619374,1
55,0.19335653106123207,-0.043592934,1
56,0.2079211374223232,-0.029028326,1
57,0.21361719103902577,-0.023332272,1
58,0.20613449750840662,-0.030814964,1
59,0.20513449750840662,-0.047040313,2
60,0.20513449750840662,-0.06316386,2
61,0.21296138567477463,-0.054336973,1
62,0.22171096568554638,-0.04558739,1
63,0.22071096568554638,-0.056169447,2
64,0.21658793655037878,-0.059292477,1
65,0.23798565384745596,-0.03789476,1
66,0.24475053283199666,-0.03112988,1
67,0.24375053283199666,-0.047850616,2
68,0.2477408888749778,-0.042860262,1
69,0.2539897467009723,-0.036611404,1
70,0.2596534694544971,-0.030947682,1
71,0.26564747737720606,-0.024953675,1
72,0.29156727427616713,0.0009661224,1
73,0.295793273858726,0.005192122,1
74,0.3000016327947378,0.009400481,1
75,0.29262541318312285,0.0020242617,1
76,0.29103767559863625,0.00043652416,1
77,0.29315409939736126,0.002552948,1
78,0.29667154876515267,0.0060703973,1
79,0.29667154876515267,0.0060703973,1
80,0.3029718747362494,0.012370723,1
81,0.2889168359339237,-0.0016843155,1
82,0.294738483056426,0.0041373316,1
83,0.3007013792172074,0.010100228,1
84,0.30957943890243766,0.018978287,1
85,0.31217567357234655,0.021574521,1
86,0.3036694751586765,0.013068323,1
87,0.297548909811303,0.0069477577,1
88,0.3223229061346501,0.031721756,1
89,0.3343988183420151,0.043797668,1
90,0.3333988183420151,0.04329035,2
91,0.3440024578031152,0.05489399,1
92,0.3430024578031152,0.04565571,2
93,0.3430024578031152,0.045149263,2
94,0.3430024578031152,0.040410742,2
95,0.3430024578031152,0.029151697,2
96,0.3430024578031152,0.024853531,2
97,0.3430024578031152,0.030694455,2
98,0.3430024578031152,0.034626458,2
99,0.3430024578031152,0.009400483,2
100,0.3430024578031152,0.021055873,2
101,0.3430024578031152,0.01707004,2
102,0.3430024578031152,0.001847975,2
103,0.3430024578031152,0.00043652824,2
104,0.3430024578031152,0.00025995722,2
105,0.3430024578031152,-9.327833e-05,2
106,0.3430024578031152,-0.0070062834,2
107,0.36434091334603724,0.015332172,1
108,0.37075611376576123,0.021747373,1
109,0.3810726747419685,0.032063935,1
110,0.3841468625273555,0.035138123,1
111,0.3831468625273555,0.007999666,2
112,0.3838976523429155,0.009750456,1
113,0.3828976523429155,-0.0020382348,2
114,0.3828976523429155,0.0025529517,0
115,0.3828976523429155,-0.01092727,0
116,0.3828976523429155,-0.0161192,0
117,0.3828976523429155,-0.043598004,2
118,0.3828976523429155,-0.039547138,2
119,0.3828976523429155,-0.05547643,2
120,0.40259319525957105,-0.03478089,1
121,0.40159319525957105,-0.057345185,2
122,0.40159319525957105,-0.044705562,2
123,0.4302559924870729,-0.015042765,1
124,0.434728569034487,-0.010570189,1
125,0.44184357501566407,-0.003455183,1
126,0.44084357501566407,-0.010570189,2
127,0.44084357501566407,-0.036611404,2
128,0.44084357501566407,-0.03697791,2
129,0.44084357501566407,-0.043229066,2
130,0.4721453697532415,-0.010927271,1
131,0.4711453697532415,-0.022782957,2
132,0.48467607224732634,-0.008252255,1
133,0.48752155840769407,-0.0054067685,1
134,0.4786024693064391,-0.014325857,1
135,0.4741129520013928,-0.018815374,1
136,0.47734741434827443,-0.015580911,1
137,0.48698864631727334,-0.005939679,1
138,0.493541393302381,0.00061306776,1
139,0.49018186830356714,-0.0027464572,1
140,0.48253670508414503,-0.010391621,1
141,0.49917420359700915,0.0062458776,1
142,0.502153744328767,0.009225419,1
143,0.5030285577420145,0.010100232,1
144,0.48538820363022384,-0.0075401217,1
145,0.4977690261919051,0.004840701,1
146,0.5096510193441063,0.016722694,1
147,0.5044263672214001,0.011498041,1
148,0.49495259077660736,0.002024265,1
149,0.5239653099458664,0.031036984,1
150,0.5139842001851648,0.021055873,1
151,0.514502851340454,0.021574525,1
152,0.5188151039662771,0.025886778,1
153,0.5122531806598417,0.019324854,1
154,0.5106926968335174,0.01776437,1
155,0.5125996243921108,0.019671299,1
156,0.5195033421521075,0.026575016,1
157,0.5278958996539004,0.03496757,1
158,0.5246500840191729,0.031721756,1
159,0.5198472833042033,0.026918955,1
160,0.5164025336750783,0.023474205,1
161,0.5139842000105418,0.021055872,1
162,0.5229373745867051,0.030009046,1
163,0.5219373745867051,0.013242576,2
164,0.5228529360876418,0.015158137,1
165,0.5218529360876418,0.017937874,2
166,0.5218529360876418,0.010100228,2
167,0.5218529360876418,0.0064214626,2
168,0.5325427536205388,0.018111281,1
169,0.5315427536205388,0.015853796,2
170,0.5345334289432503,0.019844472,1
171,0.542295439618174,0.027606484,1
172,0.537990683207754,0.023301728,1
173,0.536990683207754,0.0050163902,2
174,0.536990683207754,-0.005584375,0
175,0.536990683207754,-0.030583378,0
176,0.5290461427853442,-0.03752792,1
177,0.5328898751963861,-0.033684187,1
178,0.5235294155632145,-0.043044645,1
179,0.5294128494192846,-0.037161212,1
180,0.531610346710775,-0.034963716,1
181,0.530610346710775,-0.040282443,2
182,0.530610346710775,-0.047665272,2
183,0.530610346710775,-0.04729483,2
184,0.530610346710775,-0.061656717,2
185,0.530610346710775,-0.056597237,2
186,0.530610346710775,-0.051749147,2
187,0.530610346710775,-0.044336297,2
188,0.530610346710775,-0.034597952,2
189,0.530610346710775,-0.033866894,2
190,0.530610346710775,-0.046554357,2
191,0.530610346710775,-0.057719372,2
192,0.530610346710775,-0.04544475,2
193,0.5533558388114906,-0.021699257,1
194,0.5523558388114906,-0.03569573,2
195,0.5568323573456145,-0.030219212,1
196,0.5702140946299769,-0.016837474,1
197,0.5844822097928263,-0.0025693588,1
198,0.5874880925179459,0.00043652393,1
199,0.5860746507891453,-0.0009769178,1
200,0.5881941374749876,0.0011425689,1
201,0.5892520900010131,0.0022005215,1
202,0.585367252736818,-0.0016843157,1
203,0.5869582860390655,-9.328243e-05,1
204,0.5890758302188478,0.0020242617,1
205,0.5924194649918936,0.0053678965,1
206,0.5987242045006714,0.0116726365,1
207,0.5983749780929647,0.01132341,1
208,0.5954016192476265,0.008350051,1
209,0.5950512303747236,0.007999662,1
210,0.5982003193125128,0.011148751,1
211,0.5892520900592207,0.0022005215,1
212,0.5964520498886704,0.009400481,1
213,0.5915406448543071,0.0044890763,1
214,0.599422291830182,0.012370723,1
215,0.592067957367748,0.005016389,1
216,0.5929463869319297,0.0058948183,1
217,0.5910129089965485,0.0039613405,1
218,0.5900129089965485,-0.009321332,2
219,0.6007109910859726,0.00237675,1
220,0.6015916690956801,0.003257428,1
221,0.6010633553522639,0.0027291144,1
222,0.604053449365776,0.005719208,1
223,0.6038778087530517,0.0055435677,1
224,0.61852497592906,0.020190734,1
225,0.6305691449377918,0.032234903,1
226,0.6331312331311637,0.03479699,1
227,0.6370471702829236,0.038712926,1
228,0.643821113830083,0.04548687,1
229,0.6262842389695579,0.027949996,1
230,0.616272115235799,0.017937873,1
231,0.6152721152357989,-0.0045192894,2
232,0.6149815937463426,-0.0038098108,1
233,0.6139815937463426,-0.012356736,2
234,0.6243614103157306,-0.0009769192,1
