rule_name,use_early_exit,dd_threshold,nk_threshold,ma_window,early_take_profit_buffer_pct,early_stop_buffer_pct,initial_capital,final_capital,total_return_pct,num_buys,num_roundtrips,win_rate_pct,avg_roundtrip_return_pct,max_drawdown_pct
early_dd2.0_nk0.0_ma5_tpb1.0_slb2.0,True,2.0,0.0,5.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
early_dd2.0_nk0.0_ma7_tpb1.0_slb2.0,True,2.0,0.0,7.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
early_dd2.0_nk0.0_ma10_tpb1.0_slb2.0,True,2.0,0.0,10.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
early_dd3.0_nk0.0_ma5_tpb1.0_slb2.0,True,3.0,0.0,5.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
early_dd3.0_nk0.0_ma7_tpb1.0_slb2.0,True,3.0,0.0,7.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
early_dd3.0_nk0.0_ma10_tpb1.0_slb2.0,True,3.0,0.0,10.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
early_dd4.0_nk0.0_ma5_tpb1.0_slb2.0,True,4.0,0.0,5.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
early_dd4.0_nk0.0_ma7_tpb1.0_slb2.0,True,4.0,0.0,7.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
early_dd4.0_nk0.0_ma10_tpb1.0_slb2.0,True,4.0,0.0,10.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
early_dd5.0_nk0.0_ma5_tpb1.0_slb2.0,True,5.0,0.0,5.0,1.0,2.0,3000000.0,3198721.7250000043,6.624057500000147,43,43,74.4186046511628,0.8063236920684564,-10.441522102154032
