ticker,buy_date,sell_date,buy_price,sell_price,shares,pnl,return_pct,exit_reason
6743.T,2026-01-05,2026-01-06,827.0,807.52,100,-1948.0000000000018,-2.355501813784766,early_stop_top
8600.T,2026-01-05,2026-01-06,795.7599999999999,810.0,200,2848.0000000000246,1.7894842666130728,early_take_profit_top
8399.T,2026-01-05,2026-01-06,1877.7499999999998,1903.85,100,2610.0000000000136,1.3899613899613916,early_take_profit_top
8344.T,2026-01-05,2026-01-06,1963.0099999999998,1985.66,100,2265.000000000032,1.1538402759028399,early_take_profit_top
6343.T,2026-01-05,2026-01-07,167.475,162.68,1100,-5274.499999999986,-2.8631138975966475,early_stop_top
3388.T,2026-01-05,2026-01-07,2403.52,2436.12,100,3259.999999999991,1.3563440287578166,early_take_profit_top
9405.T,2026-01-06,2026-01-07,860.7199999999999,879.71,300,5697.000000000036,2.2062924063574796,early_take_profit_top
3289.T,2026-01-05,2026-01-08,1450.435,1465.51,200,3015.000000000009,1.0393433694029675,early_take_profit_top
7246.T,2026-01-05,2026-01-09,825.0,847.0,600,13200.0,2.6666666666666616,early_take_profit_top
9531.T,2026-01-05,2026-01-14,6300.0,6460.0,100,16000.0,2.5396825396825307,early_take_profit_top
7241.T,2026-01-06,2026-01-14,1080.975,1093.83,300,3856.5000000000055,1.1892041906612194,early_take_profit_top
5697.T,2026-01-05,2026-01-16,754.0,814.32,700,42224.00000000004,8.000000000000007,take_profit_8pct
7241.T,2026-01-14,2026-01-16,1099.245,1125.14,2200,56969.00000000046,2.3557077812498717,early_take_profit_top
5105.T,2026-01-16,2026-01-19,4562.424999999999,4440.0,600,-73454.99999999956,-2.683331780796383,early_stop_top
5714.T,2026-01-19,2026-01-21,8798.019999999999,9016.27,300,65475.000000000546,2.4806717875158535,early_take_profit_top
5105.T,2026-01-22,2026-01-23,4424.384999999999,4469.25,700,31405.500000000484,1.014039239351927,early_take_profit_top
7184.T,2026-01-23,2026-01-26,2414.685,2293.95075,1300,-156954.52499999997,-5.000000000000004,stop_loss_5pct
7184.T,2026-01-27,2026-01-28,2319.2749999999996,2245.18,1200,-88913.99999999977,-3.1947483588621317,early_stop_top
3352.T,2026-02-02,2026-02-03,1650.0,1674.0,400,9600.0,1.454545454545464,early_take_profit_top
5901.T,2026-02-02,2026-02-04,3933.1249999999995,4008.69,100,7556.500000000051,1.92124582869857,early_take_profit_top
1938.T,2026-02-02,2026-02-04,2328.0,2368.45,200,8089.999999999964,1.7375429553264432,early_take_profit_top
7102.T,2026-02-03,2026-02-04,3950.0,4080.4,100,13040.00000000001,3.3012658227848046,early_take_profit_top
7231.T,2026-02-02,2026-02-05,3176.95,3265.0,200,17610.000000000036,2.7715261492941456,early_take_profit_top
9405.T,2026-02-02,2026-02-05,842.4499999999999,857.0,900,13095.000000000062,1.7271054661997853,early_take_profit_top
7722.T,2026-02-04,2026-02-05,1011.9549999999999,1058.0,500,23022.500000000036,4.550103512507975,early_take_profit_top
8387.T,2026-02-04,2026-02-05,2146.725,2231.0,200,16855.00000000002,3.9257473593497183,early_take_profit_top
3289.T,2026-02-04,2026-02-05,1477.84,1509.5,400,12664.000000000033,2.1423158122665598,early_take_profit_top
7241.T,2026-02-05,2026-02-09,1084.0,1116.0,2800,89600.0,2.9520295202952074,early_take_profit_top
1718.T,2026-02-10,2026-02-12,9581.599999999999,9797.0,300,64620.00000000044,2.2480587793270557,early_take_profit_top
1768.T,2026-02-12,2026-02-17,1658.5099999999998,1703.8700000000001,1900,86184.00000000067,2.7349850166716205,early_take_profit_top
7456.T,2026-02-17,2026-02-19,7104.999999999999,7261.9,200,31380.00000000011,2.2083040112596874,early_take_profit_top
5714.T,2026-02-17,2026-02-19,9623.214999999998,9733.37,100,11015.500000000247,1.144679818543004,early_take_profit_top
5901.T,2026-02-19,2026-02-20,4057.97,3962.14,200,-19165.999999999985,-2.361525590381397,early_stop_top
9063.T,2026-02-19,2026-02-20,4506.599999999999,4762.15,300,76665.00000000006,5.670572049882394,early_take_profit_top
6379.T,2026-02-19,2026-02-27,2576.0699999999997,2610.85,400,13912.00000000008,1.3501185914979175,early_take_profit_top
8387.T,2026-02-26,2026-02-27,2338.0,2376.53,500,19265.000000000102,1.64798973481608,early_take_profit_top
4619.T,2026-02-27,2026-03-03,2487.765,2420.6,400,-26865.999999999985,-2.699812884255548,early_stop_top
1879.T,2026-02-27,2026-03-03,2175.145,2066.38775,600,-65254.350000000064,-5.000000000000004,stop_loss_5pct
8344.T,2026-02-26,2026-03-04,2657.2699999999995,2524.4064999999996,400,-53145.39999999997,-4.999999999999993,stop_loss_5pct
7456.T,2026-03-05,2026-03-06,8110.0,7704.5,200,-81100.0,-5.000000000000004,stop_loss_5pct
8393.T,2026-03-05,2026-03-09,9220.0,8520.0,100,-70000.0,-7.592190889370931,stop_loss_5pct
8393.T,2026-03-10,2026-03-10,8880.0,9170.0,100,29000.0,3.26576576576576,end_of_backtest
5714.T,2026-03-10,2026-03-10,9811.0,10055.0,200,48800.0,2.4870043828356003,end_of_backtest
