trend_r2_min,annual_return_min,quarter_return_min,positive_month_ratio_min,persistence_20d_min,sector_per_score_min,ocr_per_max,selected_count,mean_realized_return_pct,median_realized_return_pct,win_rate_pct,objective_score
0.7,25.0,18.0,45.0,65.0,0.3,20.0,47,-6.546444728495661,-7.550751099092967,21.27659574468085,-7.34971612201619
0.7,25.0,18.0,50.0,65.0,0.3,20.0,47,-6.546444728495661,-7.550751099092967,21.27659574468085,-7.34971612201619
0.7,25.0,18.0,55.0,65.0,0.3,20.0,47,-6.546444728495661,-7.550751099092967,21.27659574468085,-7.34971612201619
0.7,15.0,5.0,55.0,55.0,0.3,22.0,144,-6.894955635290161,-7.567324688689619,20.13888888888889,-7.656943190748491
0.7,15.0,18.0,45.0,65.0,0.3,20.0,51,-6.811686028848154,-8.697944122298363,19.607843137254903,-7.664425648681327
0.7,15.0,18.0,50.0,65.0,0.3,20.0,51,-6.811686028848154,-8.697944122298363,19.607843137254903,-7.664425648681327
0.7,15.0,18.0,55.0,65.0,0.3,20.0,51,-6.811686028848154,-8.697944122298363,19.607843137254903,-7.664425648681327
0.7,15.0,5.0,55.0,55.0,0.35,22.0,130,-6.957622493437346,-7.446838176891313,20.0,-7.702306311126478
0.65,15.0,5.0,45.0,55.0,0.3,22.0,166,-6.812681344313154,-8.423577513086055,21.686746987951807,-7.726081315611642
0.65,15.0,5.0,50.0,55.0,0.3,22.0,166,-6.812681344313154,-8.423577513086055,21.686746987951807,-7.726081315611642
0.7,20.0,18.0,45.0,65.0,0.3,20.0,50,-6.84265659153038,-8.855864956165089,20.0,-7.728243087146889
0.7,20.0,18.0,50.0,65.0,0.3,20.0,50,-6.84265659153038,-8.855864956165089,20.0,-7.728243087146889
0.7,20.0,18.0,55.0,65.0,0.3,20.0,50,-6.84265659153038,-8.855864956165089,20.0,-7.728243087146889
0.7,15.0,5.0,55.0,55.0,0.3,20.0,134,-7.001203951050565,-7.757676434502236,19.402985074626866,-7.753814351412722
0.7,15.0,5.0,55.0,60.0,0.3,22.0,133,-7.010672644340972,-7.583898278286272,20.30075187969925,-7.780466830482812
0.7,15.0,5.0,45.0,55.0,0.3,22.0,146,-7.033724963939846,-7.7742500240988885,19.863013698630137,-7.805825137566105
0.7,15.0,5.0,50.0,55.0,0.3,22.0,146,-7.033724963939846,-7.7742500240988885,19.863013698630137,-7.805825137566105
0.7,25.0,18.0,45.0,60.0,0.3,20.0,52,-6.828167956785214,-9.441052311281695,21.153846153846153,-7.8267407974015475
0.7,25.0,18.0,50.0,60.0,0.3,20.0,52,-6.828167956785214,-9.441052311281695,21.153846153846153,-7.8267407974015475
0.7,25.0,18.0,55.0,60.0,0.3,20.0,52,-6.828167956785214,-9.441052311281695,21.153846153846153,-7.8267407974015475
0.7,15.0,10.0,55.0,55.0,0.35,22.0,105,-7.1276750498478645,-7.459867799811137,19.047619047619047,-7.838138649829878
0.65,15.0,5.0,45.0,55.0,0.3,20.0,154,-6.938661682951954,-8.748496436892346,20.77922077922078,-7.847596377694016
0.65,15.0,5.0,50.0,55.0,0.3,20.0,154,-6.938661682951954,-8.748496436892346,20.77922077922078,-7.847596377694016
0.7,15.0,5.0,45.0,55.0,0.35,22.0,132,-7.110160283335524,-7.505309449452052,19.696969696969695,-7.849319547296711
0.7,15.0,5.0,50.0,55.0,0.35,22.0,132,-7.110160283335524,-7.505309449452052,19.696969696969695,-7.849319547296711
0.7,30.0,18.0,45.0,65.0,0.3,20.0,42,-6.843149694446489,-9.441052311281695,21.428571428571427,-7.854691013512385
0.7,30.0,18.0,50.0,65.0,0.3,20.0,42,-6.843149694446489,-9.441052311281695,21.428571428571427,-7.854691013512385
0.7,30.0,18.0,55.0,65.0,0.3,20.0,42,-6.843149694446489,-9.441052311281695,21.428571428571427,-7.854691013512385
0.65,15.0,5.0,45.0,50.0,0.3,20.0,164,-6.973090412327169,-8.833816232770847,20.121951219512198,-7.861858508916919
0.65,15.0,5.0,50.0,50.0,0.3,20.0,164,-6.973090412327169,-8.833816232770847,20.121951219512198,-7.861858508916919
0.7,15.0,5.0,55.0,55.0,0.35,20.0,123,-7.136015183002377,-7.459867799811137,19.51219512195122,-7.863807163471757
0.7,25.0,18.0,45.0,55.0,0.3,20.0,53,-6.894488431638103,-9.479409479409483,20.754716981132077,-7.878200736105125
0.7,25.0,18.0,50.0,55.0,0.3,20.0,53,-6.894488431638103,-9.479409479409483,20.754716981132077,-7.878200736105125
0.7,25.0,18.0,55.0,55.0,0.3,20.0,53,-6.894488431638103,-9.479409479409483,20.754716981132077,-7.878200736105125
0.7,15.0,5.0,55.0,60.0,0.35,22.0,120,-7.1354916382053615,-7.505309449452052,20.0,-7.886022583150567
0.7,15.0,5.0,55.0,65.0,0.3,22.0,119,-7.208474666371763,-7.459867799811137,18.487394957983195,-7.898042278119011
0.7,15.0,5.0,55.0,50.0,0.3,20.0,141,-7.07355344205368,-8.697944122298363,19.148936170212767,-7.906335326103524
0.7,15.0,5.0,60.0,55.0,0.35,22.0,107,-7.201321304413239,-7.550751099092967,18.69158878504673,-7.9069989772256655
0.7,15.0,5.0,45.0,60.0,0.3,22.0,134,-7.127238372122119,-7.7742500240988885,20.149253731343283,-7.91046505365447
0.7,15.0,5.0,50.0,60.0,0.3,22.0,134,-7.127238372122119,-7.7742500240988885,20.149253731343283,-7.91046505365447
0.7,15.0,5.0,55.0,50.0,0.35,20.0,129,-7.139139376974529,-7.964601769911505,19.379844961240313,-7.910903114369055
0.7,15.0,5.0,55.0,60.0,0.3,20.0,123,-7.135830728913349,-7.964601769911505,19.51219512195122,-7.912865047929105
0.7,15.0,5.0,45.0,55.0,0.3,20.0,136,-7.148614431575074,-8.056906336892627,19.11764705882353,-7.918759890248634
0.7,15.0,5.0,50.0,55.0,0.3,20.0,136,-7.148614431575074,-8.056906336892627,19.11764705882353,-7.918759890248634
0.65,15.0,5.0,45.0,55.0,0.35,22.0,151,-7.089137434673354,-7.964601769911505,21.192052980132452,-7.933068748041461
0.65,15.0,5.0,50.0,55.0,0.35,22.0,151,-7.089137434673354,-7.964601769911505,21.192052980132452,-7.933068748041461
0.7,15.0,18.0,45.0,60.0,0.3,20.0,56,-7.049603910442694,-9.20824046659286,19.642857142857142,-7.953984670554493
0.7,15.0,18.0,50.0,60.0,0.3,20.0,56,-7.049603910442694,-9.20824046659286,19.642857142857142,-7.953984670554493
0.7,15.0,18.0,55.0,60.0,0.3,20.0,56,-7.049603910442694,-9.20824046659286,19.642857142857142,-7.953984670554493
0.7,15.0,10.0,55.0,55.0,0.3,20.0,108,-7.189846007974813,-8.423577513086055,18.51851851851852,-7.969806888816114
0.7,15.0,10.0,60.0,55.0,0.35,22.0,88,-7.278061575179152,-7.849981001483358,18.181818181818183,-7.99169621167764
0.7,15.0,5.0,45.0,50.0,0.3,20.0,145,-7.192077142771958,-8.697944122298363,18.620689655172416,-8.001885733468702
0.7,15.0,5.0,50.0,50.0,0.3,20.0,145,-7.192077142771958,-8.697944122298363,18.620689655172416,-8.001885733468702
0.7,15.0,5.0,45.0,60.0,0.35,22.0,121,-7.263549394641801,-7.550751099092967,19.834710743801654,-8.01238421438656
0.7,15.0,5.0,50.0,60.0,0.35,22.0,121,-7.263549394641801,-7.550751099092967,19.834710743801654,-8.01238421438656
0.7,15.0,18.0,45.0,55.0,0.3,20.0,57,-7.107385475592618,-9.402695143153906,19.298245614035086,-8.014663077125013
0.7,15.0,18.0,50.0,55.0,0.3,20.0,57,-7.107385475592618,-9.402695143153906,19.298245614035086,-8.014663077125013
0.7,15.0,18.0,55.0,55.0,0.3,20.0,57,-7.107385475592618,-9.402695143153906,19.298245614035086,-8.014663077125013
0.7,15.0,5.0,45.0,50.0,0.35,20.0,133,-7.266384436105859,-7.964601769911505,18.796992481203006,-8.014937234029873
0.7,15.0,5.0,50.0,50.0,0.35,20.0,133,-7.266384436105859,-7.964601769911505,18.796992481203006,-8.014937234029873
0.7,15.0,5.0,55.0,65.0,0.3,20.0,109,-7.367855075754423,-7.459867799811137,17.431192660550458,-8.018027039958145
0.7,15.0,10.0,45.0,55.0,0.35,22.0,107,-7.312673957826729,-7.550751099092967,18.69158878504673,-8.018351630639156
0.7,15.0,10.0,50.0,55.0,0.35,22.0,107,-7.312673957826729,-7.550751099092967,18.69158878504673,-8.018351630639156
0.7,15.0,5.0,45.0,55.0,0.35,20.0,125,-7.294240806101814,-7.550751099092967,19.2,-8.019112911614739
0.7,15.0,5.0,50.0,55.0,0.35,20.0,125,-7.294240806101814,-7.550751099092967,19.2,-8.019112911614739
0.7,20.0,18.0,45.0,60.0,0.3,20.0,55,-7.082084747091891,-9.402695143153906,20.0,-8.022354261407282
0.7,20.0,18.0,50.0,60.0,0.3,20.0,55,-7.082084747091891,-9.402695143153906,20.0,-8.022354261407282
0.7,20.0,18.0,55.0,60.0,0.3,20.0,55,-7.082084747091891,-9.402695143153906,20.0,-8.022354261407282
0.7,15.0,5.0,45.0,65.0,0.3,22.0,120,-7.336991378877119,-7.505309449452052,18.333333333333332,-8.024978078410225
0.7,15.0,5.0,50.0,65.0,0.3,22.0,120,-7.336991378877119,-7.505309449452052,18.333333333333332,-8.024978078410225
0.7,15.0,5.0,55.0,55.0,0.4,22.0,122,-7.32676537889347,-7.567324688689619,18.852459016393443,-8.040078771679786
0.7,15.0,5.0,45.0,60.0,0.3,20.0,124,-7.260787579220616,-8.056906336892627,19.35483870967742,-8.04048819246829
0.7,15.0,5.0,50.0,60.0,0.3,20.0,124,-7.260787579220616,-8.056906336892627,19.35483870967742,-8.04048819246829
0.7,15.0,10.0,55.0,55.0,0.3,22.0,117,-7.283438909024651,-8.14921090387375,18.803418803418804,-8.049604036739277
0.7,15.0,10.0,55.0,55.0,0.35,20.0,98,-7.363722689759829,-7.505309449452052,18.367346938775512,-8.05298580246461
