etf_ticker,signal_name,4q2,q2_2024,q3,q4,total_final_capital,avg_return_pct
1306.T,rebound_open,6.218416666666671,-2.1002563680013075,11.537338753255245,4.193677506510407,12595475.296752932,4.962294139607754
1321.T,rebound_open,6.218416666666671,-1.283589701334631,11.537338753255245,4.193677506510407,12619975.296752932,5.166460806274423
1328.T,rebound_open,6.218416666666671,-1.283589701334631,11.537338753255245,5.716410839843755,12665657.29675293,5.54714413960776
1478.T,rebound_open,6.218416666666671,-1.283589701334631,11.537338753255245,4.193677506510407,12619975.296752932,5.166460806274423
1489.T,rebound_open,6.218416666666671,-1.4435897013346355,11.537338753255245,4.193677506510407,12615175.29675293,5.126460806274421
1540.T,rebound_open,6.218416666666671,-1.283589701334631,11.537338753255245,4.193677506510407,12619975.296752932,5.166460806274423
disabled,disabled,6.218416666666671,-1.283589701334631,11.537338753255245,4.193677506510407,12619975.296752932,5.166460806274423
