quarter,count,out_path
Q2,16,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\quarterly_ranker\output\fixed_rule_matches\q2_fixed_rule_matches.csv
Q3,22,c:\Users\mitsu\OneDrive\ドキュメント\stock_ml\projects\quarterly_ranker\output\fixed_rule_matches\q3_fixed_rule_matches.csv
