quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,future_return_2024Q3_pct,selected_rank
2024Q2_PRE,694,2108.T,日本甜菜製糖,食料品,0.7094392484048602,16.691804927099053,13.718765311121995,11.311375518001558,19.0061475409836,0.4804390643950835,11.496350364963504,50.0,99.91390443392166,40.0,2321.0,6276,25.93597395550733,2024-06-30,2024-06-30,4.1,4.1,25.3,4.1,4.1,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.3>
4.1
(26.3>
19.0
实PER
高值平均
15.5
安值平均
14.1
PBR
0-35
株倡(5/27)
5
万群
1969
最低購人额
24
2.6
19万6900P9
2108
食",4167.png,1.0,0.5725510204081633,0.7261086213472869,0.7146989305989135,12.194110327664864,1
2024Q2_PRE,760,8041.T,ＯＵＧホールディングス,卸売業,0.6942576072345106,12.382123821238222,8.339920948616598,7.315639533854871,9.6774193548387,0.5307590178971335,7.881188118811877,58.333333333333336,98.3142037302726,100.0,2741.0,6470,11.740725642070938,2024-06-30,2024-06-30,4.8,4.8,25.3,4.8,4.8,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.3>
4.8
(26.3>
5.1
实PER
高值平均
7.2
安值平均
6.0
PBR
0.47
株倡(5/27)
2680m
最低購人额
24
26万8000F
12.7
他速大特
8041
卸",7119.png,1.0,0.5763265306122449,0.7238522954091817,0.7100667440628947,-7.571896614488538,2
2024Q2_PRE,243,9028.T,ゼロ,陸運業,0.8300437062794633,34.98542274052478,15.245799626633485,9.218309005643391,13.589274832419251,0.7512513451225005,14.944769330734244,58.333333333333336,97.88583509513742,70.0,1852.0,5080,41.37404580152673,2024-06-30,2024-06-30,7.5,4.0,4.0,4.0,4.0,medium,medium,low,low,low,"186-4
株伍指标
予想PER
（倍）
<24.6>
7.5
<25.6>
7.0
实PER
高值平均
7.8
安值平均
5.0
PBR
0-84
株佰(5/27)
17999
最低購人额
24
17万99009
9028",7432.png,1.0,0.3265442176870748,0.8623247679038953,0.7103516793500199,28.155339805825253,3
2024Q2_PRE,534,9312.T,ケイヒン,倉庫・運輸関連業,0.742886101637171,28.2707622298066,15.641025641025651,9.899587053220554,15.5072463768116,0.6026010618036787,13.429855217174236,50.0,94.31200334588038,95.0,2255.0,6276,27.401129943502838,2024-06-30,2024-06-30,6.4,6.4,25.3,6.4,6.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
6.4
(26.3>
6.1
实PER
高值平均
5.1
安值平均
3.9
PBR
0.47
株幅(5/27)
8
万补
2054m
最低購人额
24
7.8
20万5400P
9312
合",7568.png,1.0,0.5941836734693878,0.8373721351360359,0.7551478279063395,-9.579755987347493,4
2024Q2_PRE,393,8043.T,スターゼン,卸売業,0.7835886520095245,12.6075547686062,7.461616329006726,9.40583744460434,12.719943870923522,0.7368472395606225,10.864448739830346,75.0,97.88617687690548,75.0,1003.3333129882812,6276,27.7589141316934,2024-06-30,2024-06-30,4.9,4.9,25.3,4.9,4.9,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
4.9
(26.3>
4.8
实PER
高值平均
7.3
安值平均
5.4
PBR
0-69
株幅(5/27)
27839
1万样
最低購人额
21
10.1
27万83009
8043
卸",7120.png,0.996551724137931,0.5754761904761905,0.7350587841015557,0.7424004380848692,-3.006012024048099,5
2024Q2_PRE,237,1847.T,イチケン,建設業,0.8309319853798898,15.36131544785806,9.26229508196721,11.354080267633137,12.86749041329356,0.893686350268026,10.038759689922482,75.0,96.07207207207207,80.0,2666.0,6276,38.06317969963749,2024-06-30,2024-06-30,6.0,6.0,25.3,6.0,6.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
6.0
(26.3>
5.7
实PER
高值平均
6.5
安值平均
5.4
PBR
0-61
株佰(5/27)
2507F
wa15
最低購人额
24
10.2
25万700P
单首特
1847
建
钟部色",4080.png,0.9826388888888888,0.5872993197278912,0.7967672632471605,0.7731653618181078,-6.754221388367732,6
2024Q2_PRE,928,2425.T,ケアサービス,サービス業,0.660443352256526,7.371007371007376,5.428226779252121,9.427089807294491,13.125000000000009,0.6178444708138531,11.435832274459978,58.333333333333336,96.57458563535911,60.0,874.0,5257,13.359273670557714,2024-06-30,2024-06-30,7.3,7.3,25.3,7.3,7.3,medium,medium,low,low,low,"有正格
株伍指标
予想PER
（倍）
<25.3>
7.3
<26.3>
6.9
实PER
高值平均
13.1
安值平均
8.4
PBR
1.22
株佰（5/27)
3
850F
最低購人额
21
15.2
8万5000P
2425",4302.png,0.9763779527559056,0.5983061224489795,0.6476586937442369,0.686097116120264,-2.7459954233409634,7
2024Q2_PRE,95,8544.T,京葉銀行,銀行業,0.8798281196419776,29.498525073746308,17.066666666666674,11.583470484918829,16.337285902503297,0.8524584336576504,10.42524005486969,66.66666666666666,96.48351648351648,85.0,878.0,6276,67.23809523809523,2024-06-30,2024-06-30,6.0,6.0,25.3,6.0,6.0,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
0'6
<26.3>
8.7
实PER
高值平均
0'8
安值平均
5.3
PBR
0-31
株倡(5/27)
811月
最低購人额
24
3.5
8万1100P
8544
特
銀",7304.png,0.9691358024691358,0.5847687074829931,0.8840374168175709,0.8050758966667777,-20.63492063492064,8
2024Q2_PRE,334,3799.T,キーウェアソリューションズ,情報・通信業,0.8026001977492141,19.770773638968485,5.555555555555558,9.58359243591904,10.457516339869288,0.7826595905487186,10.460251046025103,75.0,98.93491124260356,60.0,836.0,4427,24.03560830860534,2024-06-30,2024-06-30,8.4,8.4,25.3,8.4,8.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
8.4
(26.3>
7.4
实PER
高值平均
10.7
安值平均
7.4
PBR
0.75
株倡(5/27)
8029
最低購人额
21
8.9
8万200P
速Z特
3799
情
神",4919.png,0.9664902998236332,0.6183809523809525,0.7634078892308148,0.7634732797114491,-13.793103448275868,9
2024Q2_PRE,1527,8945.T,サンネクスタグループ,不動産業,0.5380245564529568,5.949895615866385,-1.1684518013631906,4.965677870847304,6.831683168316838,0.4120508157031582,11.014492753623184,58.333333333333336,91.60649819494586,90.0,1015.0,5038,-0.87890625,2024-06-30,2024-06-30,4.8,4.8,24.6,4.8,4.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<24.6>
4.8
<25.6>
15.1
实PER
高值平均
20.2
安值平均
16.6
PBR
1.20
株倡(5/27)
5
1024m
最低購人额
24
10万2400m
8945
宋
底",7411.png,0.96484375,0.4073877551020408,0.5511400131092176,0.5648141484007865,1.1928429423459175,10
