period,signal_date,first_label,starts_with_transition,entry_date,exit_date,entry_price,exit_price,hold_days,return_pct,is_false,ssa_40,price_to_ssa_gap,ssa_slope_3,ssa_slope_5,ssa_slope_20,ssa_curvature,ret_1,ret_5,ret_20,vol_20,volume_z20,range_pos_20,slope_5_to_20_ratio,gap_z_40,days_since_downtrend,vix_close,vix_ret_1,vix_ret_5,vix_z_20,dji_close,dji_ret_1,dji_ret_5,dji_z_20,usdjpy_close,usdjpy_ret_1,usdjpy_ret_5,usdjpy_z_20,sp500_close,sp500_ret_1,sp500_ret_5,sp500_z_20
1994_1997,1997-02-07,transition_to_uptrend,True,1997-02-10,1997-03-05,17881.91,18273.51,19,2.1899,0,17208.259123261454,0.03828277657372281,0.003234213274348363,0.0005345187358174464,-0.09669544958497911,0.013744192616713446,-0.009501416030618604,-0.02525752626674682,-0.011443597190825328,0.023796125236930032,0.0,0.5461042587631696,-0.005527858219922685,1.1685998328782894,1,18.899999618530277,-0.06250001182631837,-0.02927579429513638,-0.490658886589636,6855.7998046875,0.012216006558035675,0.0062688092946081575,1.1953644662010696,123.1500015258789,-0.0052504160731493554,0.01567011567735177,1.4074097158776082,789.5599975585938,0.012061748189521104,0.004324850577755557,1.4412461029025185
1994_1997,1997-04-17,transition_to_uptrend,True,1997-04-18,1997-06-03,18128.71,20563.16,32,13.4287,0,17856.19198067496,0.013284925242278423,-2.1299222679349583e-05,0.00044231826092322457,-0.03225364166370859,0.00531162946480479,0.0034501830269453304,0.03475173534163534,-0.021645238351720053,0.014094412801563923,0.0,0.5295927990004664,-0.013713746358784527,0.9667428264136181,1,18.709999084472656,0.06065758117044595,-0.015781227816788368,-0.7012001733145375,6658.60009765625,-0.0031841965724036525,0.01812681806853833,0.12876847950585127,126.0,0.0032646203843043065,0.0015102332492911152,0.9408167943397013,761.77001953125,-0.0023050956715425786,0.004523027341711172,-0.19028232537593245
1994_1997,1997-06-20,transition_to_uptrend,True,1997-06-23,1997-07-01,20428.54,20175.52,8,-1.2386,1,20617.313393461485,-0.01124173293281705,0.0019788938792602018,0.00010517024530654062,-0.0040438699335934025,0.007281784610328801,-0.00596408444594243,-0.006956747599903501,0.0188184848068369,0.010301318399423434,0.0,0.6264675968441114,-0.02600732640604141,-0.4483462454970447,1,20.200000762939453,0.004975143262281545,0.048261561135619635,0.9044239298441955,7796.5,0.002494490504191482,0.0018632742225648258,1.4027288750695646,114.95999908447266,0.007625583087981003,0.0011320843973270378,0.1973934385228171,898.7000122070312,0.0007906791616585362,0.006078780835643283,1.4977860153379972
1994_1997,1997-07-31,transition_to_uptrend,True,1997-08-01,1997-08-01,20344.63,19804.38,2,-2.6555,1,20037.79404824512,0.014654090093345173,0.001587090349515874,0.0017967255437738583,-0.026599757944858138,0.003750805878773966,0.005868026983184116,0.00222807380699086,0.006684836527822924,0.00920841878136888,0.0,0.7223176194776482,-0.06754668773672709,1.2110810117819744,1,21.479999542236328,0.0042075808862080954,0.024809183228871934,0.6469660963988917,8222.599609375,-0.003912921988336038,0.013022176976794864,1.663748671058719,118.5500030517578,0.0029611346239615255,0.021102537552425638,1.676785075365461,954.3099975585938,0.002121223133561001,0.014899510738598076,1.876766390205897
1994_1997,1997-09-29,transition_to_uptrend,True,1997-09-30,1997-10-01,18022.58,17842.16,3,-1.0011,1,17906.29558315879,0.004518821548847418,-3.152385411686609e-05,0.001035938716413165,-0.03522142532680861,0.017561355321358718,-0.0004167891346545938,-0.003931729463440892,-0.0251599901853915,0.013054024653615461,0.0,0.2889450455184348,-0.029412174743100632,0.43920857148264847,1,22.229999542236328,-0.0013477397276298042,0.006793461007634782,-1.2925417916658224,7991.39990234375,0.008734910167025989,-0.0006752579126195757,1.4053446944945172,121.01000213623048,-0.0012380449104080204,-0.00640445663382383,0.15534992116522442,953.3400268554688,0.008590652339162341,-0.0021874609718492977,1.3275110432795236
1994_1997,1997-12-01,transition_to_uptrend,True,1997-12-02,1997-12-19,17009.59,15314.89,15,-9.9632,1,15719.015557484867,0.08197550804328557,0.012758318830854432,0.004971035294576653,-0.06618935841314255,0.018105321919996475,0.022320526570056787,0.017104230837560408,0.0392698902158346,0.03162673014930866,0.0,1.0,-0.0751032403660466,2.4224983774526687,1,26.01000022888184,-0.051768139281646364,-0.024014986822117335,-1.5726903974913362,8013.10009765625,0.024287047031000153,0.016752836401952242,2.2059572374182,128.75999450683594,0.007511670048156116,0.013538992277340123,1.7732478953904143,974.77001953125,0.02027422505988219,0.012127622911761282,2.03580477438716
1998_2001,1998-03-19,transition_to_uptrend,True,1998-03-20,1998-03-30,16614.89,16263.04,8,-2.1177,1,16786.350843102155,-0.00639396333696074,0.0016901969234361935,0.002496103122876292,-0.0458222797348905,0.014415597825990556,0.003570456522975718,0.006262289352529038,0.003763676827810425,0.015356694448893876,0.0,0.45109402417000327,-0.054473569130950104,-0.20566091921678667,1,17.760000228881836,-0.02897761947051425,-0.026849302527022667,-1.7381644029573697,8803.0498046875,0.0031507866116329275,0.01657015385250382,1.7807011378232418,130.75,0.005769230769230749,0.014745780415081677,2.1114526287299347,1089.739990234375,0.0038875107111771,0.018524698552217833,1.8376260015986519
1998_2001,1998-05-22,transition_to_uptrend,True,1998-05-25,1998-06-12,15784.42,15022.33,16,-4.8281,1,15234.248246987958,0.03724516854641813,0.00712761830048847,0.0030985774332252802,-0.03768306340691796,0.023826331069321416,-0.0027515886069957585,0.036659132615173506,-0.0015177576284969296,0.011590880048762369,0.0,0.7585954398361392,-0.08222732318138538,1.8052239435881325,1,18.989999771118164,-0.02012380838684258,-0.07093937011026141,-1.253849878870974,9114.4404296875,-0.0019633115248204325,0.0020273119709213194,0.34542573887298234,135.6999969482422,0.00555761405676547,0.00809743951376829,1.449445702670538,1110.469970703125,-0.0037411575849695122,0.0015693543649277775,0.1745387100782643
1998_2001,1998-07-01,transition_to_uptrend,True,1998-07-02,1998-07-30,16433.47,16201.6,21,-1.411,1,15136.441429426284,0.08102619263117661,0.010069929546495437,0.004618838364982336,-0.016926843863788288,0.01969513904924991,0.03364567584500522,0.08197416062986917,0.06619467312422622,0.01679437956958851,0.0,1.0,-0.2728706191272579,2.829510852235403,1,18.0,-0.08675794844758655,-0.1008991214573286,-1.703223375882091,9048.669921875,0.010796490142543691,0.013984941852429378,1.2524735673265377,137.9499969482422,-0.0028912839727245343,-0.024398847929002376,-0.9875588589950076,1148.56005859375,0.012982513597311618,0.013840877801139628,1.8866230524405265
1998_2001,1998-10-21,transition_to_uptrend,True,1998-10-22,1998-12-11,14287.75,14405.64,36,0.8251,0,13079.68395725393,0.08690165026813901,0.011361545942829121,0.004910205711372573,-0.048342620261135894,0.03574624216621536,0.02956827931623618,0.08764618106952349,0.030930123120100017,0.029667206957897232,0.0,1.0,-0.10157094681357264,2.6383047954189416,1,33.209999084472656,0.0030201894375632143,-0.14758727246201708,-1.2333401085014117,8519.23046875,0.0015731361344846206,0.0690759060275572,1.7602497478349064,117.1999969482422,0.011565651051540948,-0.012137579642737872,-0.8834213728521688,1069.9200439453125,0.00563006018439105,0.06403589427703382,1.4532892231386572
1998_2001,1999-01-21,transition_to_uptrend,True,1999-01-22,1999-02-19,14235.67,14098.04,21,-0.9668,1,13292.712516237627,0.07167140675566408,0.007864166229976766,0.00900552968745405,-0.10098705409686537,0.04251508088389122,0.015495391035385886,0.0628055400812777,0.0036021444307388073,0.014084340222626052,0.0,1.0,-0.08917509049047091,2.3571762060542474,1,30.920000076293945,0.08111886936642754,0.02690134339166761,1.4821831504880243,9264.080078125,-0.007693955588991219,-0.009142622339015971,-0.3874556289354117,113.9000015258789,0.008857395805887291,0.003524242518756937,0.35356365937665074,1235.1600341796875,-0.017077526237753937,0.0006156916320425587,-0.284582871918112
1998_2001,1999-06-11,transition_to_uptrend,True,1999-06-14,1999-07-22,17193.61,17730.34,29,3.1217,0,16219.48085056569,0.06036382666650919,0.005608822321013118,0.0031779551106310144,-0.051048077964429894,0.020332126381204962,0.005609178327378395,0.055077268300538273,0.023090489977831696,0.011956198872297225,0.0,1.0,-0.0622541579889727,3.0307617876466497,1,25.899999618530277,0.02290679031187426,0.10542037051569575,-0.009986655626810892,10490.509765625,-0.012311123942413627,-0.02864209864223244,-1.5090708642808794,117.95999908447266,-0.00715426724676016,-0.035959476168118565,-2.0146508730789474,1293.6400146484375,-0.007046201331790347,-0.025690066165740877,-1.02324289132268
1998_2001,1999-08-23,transition_to_uptrend,True,1999-08-24,1999-09-14,18266.22,17777.22,17,-2.6771,1,17474.4819812652,0.043438701118500456,0.008900670914495645,0.004928349235551188,-0.04680370133256073,0.026883986989468034,0.007483732330466175,0.022861035264114538,0.042433052249293945,0.010380419782299427,0.0,1.0,-0.1052982797350388,2.2494787346999843,1,22.549999237060547,-0.01742925980747001,-0.0225401155024868,-1.0986358513308465,11299.759765625,0.01794040217207238,0.02289984019502267,2.2880269707995886,111.61000061035156,0.002065032883869611,-0.02515501185391611,-1.814448861216739,1360.219970703125,0.017664079731794402,0.022130007995106782,1.513146720075796
1998_2001,1999-10-05,transition_to_uptrend,True,1999-10-06,1999-10-18,17822.64,17275.33,9,-3.0709,1,17416.57309818935,0.021105029695759336,0.002569432645773251,0.0002978441646301899,-0.014668236364645426,0.018352566687312888,0.0011506296852563658,0.026460760174046083,0.008744199752840354,0.01580775199434347,0.0,0.8662994878822217,-0.02030538349846053,0.9158114725600083,1,24.790000915527344,0.013491489918500132,-0.048733636855011864,-0.06004171937519256,10400.58984375,-6.159127056404312e-05,0.012170619616175049,-0.6725989387013759,106.27999877929688,0.0013190068819812772,0.0007533129317665033,0.10249443765407337,1301.3499755859375,-0.002491185084179004,0.01493528711848735,-0.3374354250648628
1998_2001,2000-01-04,transition_to_uptrend,True,2000-01-05,2000-03-06,19003.51,19796.35,43,4.1721,0,18394.38522495032,0.0330793414734154,0.00569276191014545,0.0034069807068812796,-0.028399650904052165,0.01764462214739404,0.003618796948583247,0.022486483623446185,0.02638211072498642,0.007462493059916374,0.0,1.0,-0.11996558402748392,1.5083426364413306,1,27.01000022888184,0.11565473978910612,0.17588162979084387,2.762373136649945,10997.9296875,-0.0316601161297978,-0.041717554514063004,-1.7700583628658313,103.13999938964844,0.014258992166685136,0.008014070536257911,1.0110399800991123,1399.4200439453125,-0.03834466807849768,-0.039954439902820105,-1.3128330717685637
1998_2001,2000-03-24,transition_to_uptrend,True,2000-03-27,2000-04-18,19976.14,18969.52,18,-5.0391,1,19673.204970289808,0.014480360890124722,0.003887258304069219,0.0017980109426700697,-0.014052282319819032,0.013812472847003043,0.012864025343067631,0.03660942045642912,0.019755349417503565,0.010278042719821886,0.0,0.8767884541992165,-0.12795152429681791,1.3869779727057179,1,23.309999465942383,0.04716977656173582,0.04202050028806337,0.6800580916422869,11112.7197265625,-0.0006421506002992627,0.04884171791626457,1.825181554558093,106.98999786376952,-0.0027032151270244276,0.0030938889023999216,0.03462674367760671,1527.4599609375,7.20105760438905e-05,0.04301214193154945,1.8638130043782688
1998_2001,2000-06-08,transition_to_uptrend,True,2000-06-09,2000-07-19,17004.72,16983.57,30,-0.1244,1,16016.96840110274,0.06164533873833955,0.007700393371791847,0.004174006099201044,-0.10407356384573374,0.02288837223268092,-0.0082018905882969,0.018571551247490214,0.007219261854134018,0.01541418942957364,0.0,0.6455793613877208,-0.04010630504964828,1.549160444709589,1,22.770000457763672,0.012900396860884289,0.018336307523278972,-0.9270531564036643,10668.7197265625,-0.013330480586403848,0.0015508093114200427,0.1885853013904022,105.9000015258789,0.003030874117015969,-0.023963119577152914,-1.3836549792850057,1461.6700439453125,-0.006585704044367313,0.008876239694280308,0.9543314095939984
1998_2001,2000-08-23,transition_to_uptrend,True,2000-08-24,2000-09-12,16433.36,16040.23,15,-2.3923,1,15664.458497525487,0.049295792332782806,0.004541259014468002,0.0021557486858272412,-0.09170249981036327,0.02011747789811591,-0.001099369755604429,0.004929076055724124,-0.003996882121861445,0.014863146707113313,0.0,0.9770252655104883,-0.023508068921624107,1.6197715269556812,1,17.3799991607666,-0.005151697545808798,-0.035516164302944575,-1.1623039403402073,11144.650390625,0.0004937539944365188,0.012377899632834977,1.1650232725001062,106.9800033569336,-0.01218836248964239,-0.013099613920266484,-2.574369542953149,1505.969970703125,0.005233167879129308,0.017650434536004456,1.4149984831786544
1998_2001,2000-11-29,transition_to_uptrend,True,2000-11-30,2000-12-06,14449.74,14889.37,6,3.0425,0,14522.228337970619,-0.001004576514953559,0.005617011019868112,0.0009448087159806828,-0.02691103027805819,0.004298684768045402,-0.010316652480103716,0.006883434299632674,0.0029783193823211818,0.01486933451973013,0.0,0.1878579875343428,-0.035108604398213214,-0.16577562621510714,1,27.489999771118164,-0.005426903829326979,0.03268215268432795,0.8114843289033271,10629.1103515625,0.011565962146746323,0.012826752257134588,-0.27070937237446147,111.31999969482422,0.010438427384879878,0.01053010161721546,1.6954992308557995,1341.9300537109375,0.004371028927711018,-0.004022653336704818,-0.981138938466519
1998_2001,2001-01-24,transition_to_uptrend,True,2001-01-25,2001-02-15,13879.83,13327.39,16,-3.9802,1,13327.530906408387,0.042472171003890447,0.008784282216144579,0.004854067719312294,-0.08147655397453735,0.04452203850358283,-0.0065128560227682986,0.016531775973582574,0.03504155254639607,0.013058339107290947,0.0,0.8329946364509891,-0.05957625209369143,1.2483635271821187,1,22.030000686645508,0.021325961906789814,-0.11632569526796988,-1.6167123577220333,10646.9697265625,-0.00026665676332060517,0.005917221455193689,-0.29002236764830813,117.9000015258789,0.011062523872526597,-0.01065701655265583,0.7970264673953018,1364.300048828125,0.0028668217760010606,0.026198469234005595,1.7553487851700948
1998_2001,2001-03-26,transition_to_uptrend,True,2001-03-27,2001-04-25,13766.9,13827.5,23,0.4402,0,12337.697908236882,0.12357343107402219,0.012808121758888236,0.01153372830448851,-0.0648347586019371,0.04231094527434964,0.04901945352128623,0.13319150682245717,0.04652797601634462,0.027630385759590342,0.0,1.0,-0.17789421219721965,3.5788918058652612,1,29.040000915527344,-0.04630541254791076,-0.024848883615036566,0.2601203899011953,9687.5302734375,0.019227167250853938,-0.02726951188791593,-1.0603504569194897,122.66000366210938,-0.0013840117757152326,-0.0011400601479579775,0.9940030829622807,1152.68994140625,0.011282371798750468,-0.015476564327832953,-0.8760705000886774
1998_2001,2001-08-07,transition_to_uptrend,True,2001-08-08,2001-08-10,12265.24,11735.06,4,-4.3226,1,11730.116429733986,0.05024191658572308,0.004388831913506364,0.0011685271114609819,-0.052890174909887566,0.02833845156621051,0.006171200998201121,0.03867290638090326,0.006518166771878553,0.018063379845920602,0.0,0.8932155193036748,-0.022093462792510662,1.8352013545425867,1,21.01000022888184,-0.040200967807369814,-0.028214643231863512,-0.9605245705066816,10458.740234375,0.005521483970289509,-0.006088614975819362,-0.10764028866538856,123.55999755859376,-0.001938654985846,-0.011599108494187216,-0.8082298896493136,1204.4000244140625,0.0032653971820353345,-0.005638859807651331,-0.00019694267058243358
1998_2001,2001-10-05,transition_to_uptrend,True,2001-10-09,2001-11-07,10143.39,10284.98,23,1.3959,0,9394.624586189575,0.08635209672885535,0.002266095239518817,0.0026387052798604316,-0.12308667271064877,0.03930588780073041,3.8180312891045176e-05,0.04411299842785765,-0.04173203625401134,0.027018143113084377,0.0,0.6928821609816751,-0.021437782188356656,2.3397561012569073,1,33.38999938964844,0.044416643940958345,0.04572499437890687,-0.17769520759009524,9119.76953125,0.006499329998757242,0.030766671732947115,0.15960205015709414,120.47000122070312,0.0,0.008285887478693965,1.082097451184038,1071.3800048828125,0.0016360797584318298,0.02924286240322349,0.491189038689957
1998_2001,2001-11-29,transition_to_uptrend,True,2001-11-30,2001-12-18,10659.87,10432.17,14,-2.1361,1,10497.379120674737,0.015106707916306084,0.004192812996635986,0.003762347596636406,-0.03184607055685351,0.011987072604132787,0.0029318540176042074,-0.000480262520305641,0.02793851268170755,0.01863155246959885,0.0,0.6049879552217656,-0.11814165863633436,-0.044042787344095134,1,25.18000030517578,-0.027799201697260578,0.04092599211497827,-0.5943139952693227,9829.419921875,0.012104742660718593,-0.0005348181935894702,0.5318333506492323,123.94000244140624,0.006414948483466354,-8.06333770233536e-05,1.1837139705895334,1140.199951171875,0.010349777973346352,0.0027878963557015357,0.5333654056980565
2002_2005,2002-02-19,transition_to_uptrend,True,2002-02-20,2002-03-29,9783.16,11024.94,28,12.693,0,9645.169754096663,0.020942130341204512,0.0007666999850184375,0.0012239909849522945,-0.06619317530738755,0.04156258659683454,-0.024381625715205746,-0.0031210881356931175,-0.042128337710658825,0.013952854795668379,0.0,0.53288818359375,-0.018491196097910865,0.0,1,24.43000030517578,0.09208759001606626,0.12167123668435553,0.9417591092087696,9745.1396484375,-0.015944638212322948,-0.014126831465869238,-0.4421423026069154,133.4199981689453,0.005728889536078086,0.005274238560909472,-0.07199574161612482,1083.3399658203125,-0.018873813034917086,-0.025720791673125465,-1.5058941867344946
2002_2005,2002-04-23,transition_to_uptrend,True,2002-04-24,2002-06-06,11749.32,11574.94,30,-1.4842,1,11272.77492150521,0.04116600924360747,0.007981886102939928,0.0048560673597546344,-0.06476286200923931,0.032625085808298704,0.0012959304451509723,0.03438632306794576,0.04719075082056068,0.013445995887765615,0.0,1.0,-0.07498228474000809,0.6892955709982231,1,20.280000686645508,0.025796672588419556,0.1198233022175379,1.380871633171438,10089.240234375,-0.004655431407292521,-0.020587659803923852,-1.6801431251699872,130.22999572753906,0.0009222589856627827,-0.007166291488359566,-1.2723593065807013,1100.9599609375,-0.006201308314187082,-0.02429170777165235,-1.6726051238853497
2002_2005,2002-07-17,transition_to_uptrend,True,2002-07-18,2002-07-25,10366.95,9929.91,7,-4.2157,1,10187.593735824996,0.010642924937585674,0.0024215844804100772,0.0009989375738275186,-0.09922790744224042,0.011290436177403995,0.0044485601294916854,-0.042467688773236034,-0.017197123533969516,0.0193038159726552,0.5913756156341067,0.2500421744600291,-0.01006710309203074,0.4160900698084313,1,35.45000076293945,-0.03274217497895937,0.039589511707541325,1.6062999506208255,8542.48046875,0.008187090018803689,-0.03075049994326884,-1.6877320644199147,116.33000183105467,0.003104256329759192,-0.012143344762523989,-1.4055611569094755,906.0399780273438,0.005660727209489291,-0.015676766363989625,-1.5611963473666401
