feature,rf_importance,lr_importance,lgbm_importance,xgb_importance,feature_set
ssa_curvature,0.13452840495912236,0.08108344793344446,98,0.14186434,ssa
ssa_slope_5,0.11410836244780594,0.024690355967521206,50,0.087731645,ssa
ret_5,0.11274901254226127,0.14946839779512688,68,0.13011605,ssa
ssa_slope_20,0.09327434397509592,0.3645228733297874,87,0.07749684,ssa
ssa_slope_3,0.07599875710867997,0.03905857241495585,39,0.044143412,ssa
volume_z20,0.06173069720466192,0.2994314508470428,62,0.079162106,ssa
gap_z_40,0.061574672404215915,0.2864941571193572,54,0.057595428,ssa
ret_1,0.06046873877979467,0.028315563011772776,56,0.062471904,ssa
range_pos_20,0.05868600796210525,0.09975885043789907,55,0.06551852,ssa
vol_20,0.05268403759897514,0.03397223374254616,83,0.0720203,ssa
slope_5_to_20_ratio,0.05197251299625989,0.4978434282808143,63,0.07143198,ssa
price_to_ssa_gap,0.04307907811561246,0.16166717823312698,37,0.013844445,ssa
ret_20,0.04297127520429262,0.0998724074910689,91,0.060803153,ssa
ssa_40,0.03617409870111681,3.897410788448974e-05,56,0.03579985,ssa
days_since_downtrend,0.0,0.18381118363586557,0,0.0,ssa
ssa_curvature,0.09866519161811216,0.06255351610251161,80,0.08290825,ssa_cross
vix_close,0.08194342555568984,0.052553920488553285,49,0.07271796,ssa_cross
ret_5,0.06475331141193447,0.18774853813855652,68,0.062270768,ssa_cross
ssa_slope_5,0.0625303589158175,0.02932995444993838,38,0.08390272,ssa_cross
ssa_slope_3,0.06135917553407305,0.04015620047533224,30,0.018413112,ssa_cross
ssa_slope_20,0.054515023620048585,0.340730976102794,55,0.03685929,ssa_cross
vol_20,0.05238861189766837,0.0009788339305571308,34,0.091732346,ssa_cross
gap_z_40,0.047744345176687374,0.4926817073563207,41,0.057022434,ssa_cross
slope_5_to_20_ratio,0.04422347100624422,0.2956948402154122,29,0.031512003,ssa_cross
usdjpy_z_20,0.04340540888520381,0.2443040845887941,28,0.026071781,ssa_cross
range_pos_20,0.04301265438971111,0.31798236373818367,86,0.040272404,ssa_cross
volume_z20,0.03873670684687985,0.2862162931264099,20,0.05815131,ssa_cross
vix_z_20,0.03616982277150298,0.31144731052076363,67,0.05304263,ssa_cross
ret_1,0.03601441132673184,0.03285875925923441,45,0.030121611,ssa_cross
usdjpy_ret_5,0.03455281237562231,0.022276896774611272,16,0.042055186,ssa_cross
usdjpy_close,0.0308129414053695,0.0012954855870297127,63,0.047404125,ssa_cross
vix_ret_5,0.02974564490735758,0.2662713860056718,31,0.011997496,ssa_cross
dji_ret_1,0.02907099311985431,0.0002241904145344738,16,0.019541815,ssa_cross
price_to_ssa_gap,0.02650277782061325,0.1380150404137119,4,0.009404263,ssa_cross
ssa_40,0.02483724720774178,1.282843545075878e-05,49,0.014081228,ssa_cross
ret_20,0.02321310611630787,0.15217043348643994,26,0.05650424,ssa_cross
sp500_ret_5,0.01982789241310426,0.10634444426285605,17,0.017467096,ssa_cross
dji_ret_5,0.015974665677723977,0.1290608449667009,2,0.036545888,ssa_cross
days_since_downtrend,0.0,0.22589061271998603,0,0.0,ssa_cross
