feature_set,model,threshold,period,n_trades,n_filtered_out,win_rate,total_return_pct
ssa,rf,baseline_all,2018_2021,19,0,0.421,15.86
ssa,rf,0.30,2018_2021,1,18,0.0,-0.22
ssa,rf,0.40,2018_2021,8,11,0.625,10.69
ssa,rf,0.50,2018_2021,13,6,0.462,1.91
ssa,rf,0.60,2018_2021,18,1,0.389,1.5
ssa,rf,0.70,2018_2021,19,0,0.421,15.86
ssa,rf,baseline_all,2022_2025,21,0,0.429,8.93
ssa,rf,0.30,2022_2025,2,19,0.0,-2.18
ssa,rf,0.40,2022_2025,7,14,0.286,-4.36
ssa,rf,0.50,2022_2025,15,6,0.4,6.9
ssa,rf,0.60,2022_2025,18,3,0.389,4.56
ssa,rf,0.70,2022_2025,20,1,0.45,13.35
ssa,lr,baseline_all,2018_2021,19,0,0.421,15.86
ssa,lr,0.30,2018_2021,6,13,0.667,6.77
ssa,lr,0.40,2018_2021,11,8,0.364,-0.34
ssa,lr,0.50,2018_2021,12,7,0.333,-2.75
ssa,lr,0.60,2018_2021,15,4,0.4,2.51
ssa,lr,0.70,2018_2021,18,1,0.389,1.5
ssa,lr,baseline_all,2022_2025,21,0,0.429,8.93
ssa,lr,0.30,2022_2025,12,9,0.333,8.42
ssa,lr,0.40,2022_2025,15,6,0.4,7.99
ssa,lr,0.50,2022_2025,16,5,0.375,5.56
ssa,lr,0.60,2022_2025,18,3,0.389,4.56
ssa,lr,0.70,2022_2025,19,2,0.421,6.87
ssa_cross,rf,baseline_all,2018_2021,19,0,0.421,15.86
ssa_cross,rf,0.30,2018_2021,1,18,0.0,-0.22
ssa_cross,rf,0.40,2018_2021,8,11,0.625,10.69
ssa_cross,rf,0.50,2018_2021,13,6,0.462,1.91
ssa_cross,rf,0.60,2018_2021,17,2,0.412,2.21
ssa_cross,rf,0.70,2018_2021,19,0,0.421,15.86
ssa_cross,rf,baseline_all,2022_2025,21,0,0.429,8.93
ssa_cross,rf,0.30,2022_2025,0,21,,0.0
ssa_cross,rf,0.40,2022_2025,7,14,0.429,10.17
ssa_cross,rf,0.50,2022_2025,16,5,0.438,8.11
ssa_cross,rf,0.60,2022_2025,19,2,0.421,6.87
ssa_cross,rf,0.70,2022_2025,20,1,0.45,13.35
ssa_cross,lr,baseline_all,2018_2021,19,0,0.421,15.86
ssa_cross,lr,0.30,2018_2021,10,9,0.5,1.53
ssa_cross,lr,0.40,2018_2021,11,8,0.455,0.1
ssa_cross,lr,0.50,2018_2021,13,6,0.462,1.89
ssa_cross,lr,0.60,2018_2021,16,3,0.438,3.02
ssa_cross,lr,0.70,2018_2021,18,1,0.389,1.5
ssa_cross,lr,baseline_all,2022_2025,21,0,0.429,8.93
ssa_cross,lr,0.30,2022_2025,16,5,0.375,5.4
ssa_cross,lr,0.40,2022_2025,17,4,0.353,3.38
ssa_cross,lr,0.50,2022_2025,18,3,0.389,4.56
ssa_cross,lr,0.60,2022_2025,18,3,0.389,4.56
ssa_cross,lr,0.70,2022_2025,19,2,0.421,6.87
