feature_set,model,threshold,period,n_trades,n_filtered_out,win_rate,total_return_pct
ssa_cross,rf,0.60,2018_2021,17,2,0.471,17.59
ssa_cross,rf,0.70,2018_2021,19,0,0.421,15.86
ssa_cross,rf,baseline_all,2022_2025,21,0,0.429,8.93
ssa_cross,rf,0.30,2022_2025,0,21,,0.0
ssa_cross,rf,0.40,2022_2025,2,19,0.0,-2.18
ssa_cross,rf,0.50,2022_2025,9,12,0.444,9.29
ssa_cross,rf,0.60,2022_2025,18,3,0.444,8.02
ssa_cross,rf,0.70,2022_2025,20,1,0.45,13.35
ssa_cross,lr,baseline_all,2018_2021,19,0,0.421,15.86
ssa_cross,lr,0.30,2018_2021,1,18,1.0,0.1
ssa_cross,lr,0.40,2018_2021,3,16,0.667,-0.64
ssa_cross,lr,0.50,2018_2021,10,9,0.4,-2.47
ssa_cross,lr,0.60,2018_2021,17,2,0.353,-0.52
ssa_cross,lr,0.70,2018_2021,19,0,0.421,15.86
ssa_cross,lr,baseline_all,2022_2025,21,0,0.429,8.93
ssa_cross,lr,0.30,2022_2025,2,19,0.0,-4.75
ssa_cross,lr,0.40,2022_2025,6,15,0.5,9.17
ssa_cross,lr,0.50,2022_2025,11,10,0.545,15.01
ssa_cross,lr,0.60,2022_2025,17,4,0.471,14.33
ssa_cross,lr,0.70,2022_2025,20,1,0.45,11.06
ssa_cross,lgbm,baseline_all,2018_2021,19,0,0.421,15.86
ssa_cross,lgbm,0.30,2018_2021,9,10,0.444,10.05
ssa_cross,lgbm,0.40,2018_2021,10,9,0.4,8.44
ssa_cross,lgbm,0.50,2018_2021,12,7,0.5,16.79
ssa_cross,lgbm,0.60,2018_2021,12,7,0.5,16.79
ssa_cross,lgbm,0.70,2018_2021,12,7,0.5,16.79
ssa_cross,lgbm,baseline_all,2022_2025,21,0,0.429,8.93
ssa_cross,lgbm,0.30,2022_2025,6,15,0.0,-9.53
ssa_cross,lgbm,0.40,2022_2025,8,13,0.125,-10.6
ssa_cross,lgbm,0.50,2022_2025,8,13,0.125,-10.6
ssa_cross,lgbm,0.60,2022_2025,8,13,0.125,-10.6
ssa_cross,lgbm,0.70,2022_2025,10,11,0.3,5.21
ssa_cross,xgb,baseline_all,2018_2021,19,0,0.421,15.86
ssa_cross,xgb,0.30,2018_2021,9,10,0.333,-0.97
ssa_cross,xgb,0.40,2018_2021,9,10,0.333,-0.97
ssa_cross,xgb,0.50,2018_2021,10,9,0.4,13.04
ssa_cross,xgb,0.60,2018_2021,11,8,0.364,12.25
ssa_cross,xgb,0.70,2018_2021,13,6,0.462,18.59
ssa_cross,xgb,baseline_all,2022_2025,21,0,0.429,8.93
ssa_cross,xgb,0.30,2022_2025,3,18,0.333,-1.02
ssa_cross,xgb,0.40,2022_2025,5,16,0.4,-0.44
ssa_cross,xgb,0.50,2022_2025,6,15,0.5,0.07
ssa_cross,xgb,0.60,2022_2025,8,13,0.5,-1.43
ssa_cross,xgb,0.70,2022_2025,9,12,0.556,13.5
