feature,rf_importance,lr_importance,feature_set
ret_1,0.12985690636283065,0.16193314571832984,ssa
gap_z_40,0.11847678596194124,1.2042371889253796,ssa
volume_z20,0.10420185872290769,0.5262971895312186,ssa
ssa_slope_20,0.09162880993531075,0.22237975457746054,ssa
ssa_slope_5,0.0896125431327967,0.5277285084022668,ssa
ssa_40,0.06681394224966716,0.22556982838086045,ssa
range_pos_20,0.06516693949692931,0.19650222711168494,ssa
ssa_slope_3,0.06240653116724524,0.4551996371682531,ssa
ssa_curvature,0.05574913110247242,0.25963560527039853,ssa
ret_5,0.053084517398902784,0.44873096670550505,ssa
price_to_ssa_gap,0.043076548921993925,0.9136464688456141,ssa
ret_20,0.04079169707337261,0.10234957970742785,ssa
slope_5_to_20_ratio,0.039955559344547364,0.022542125163008485,ssa
vol_20,0.039178229129082316,0.15443333290767863,ssa
days_since_downtrend,0.0,0.0,ssa
gap_z_40,0.10210805632947181,1.183535334092358,ssa_cross
volume_z20,0.09001108637941221,0.39573494305504253,ssa_cross
ret_1,0.08655201800612927,0.2624743770660503,ssa_cross
ssa_slope_3,0.0690274731421855,0.32499139942556754,ssa_cross
range_pos_20,0.06653637703229856,0.34662294504598135,ssa_cross
ssa_slope_5,0.058596495572480124,0.47503548238599064,ssa_cross
ssa_slope_20,0.05269791240135273,0.10136894154340466,ssa_cross
slope_5_to_20_ratio,0.04029394977330233,0.026866795700816765,ssa_cross
ret_5,0.03884233288069295,0.5662726639718579,ssa_cross
ret_20,0.03574402762679021,0.0761415432636049,ssa_cross
usdjpy_z_20,0.03471709484871955,0.044468707400894356,ssa_cross
price_to_ssa_gap,0.03237846682688764,0.9919551067430054,ssa_cross
vix_close,0.032239705073548314,0.04078345247943423,ssa_cross
vix_z_20,0.030858544956045023,0.2177777405411534,ssa_cross
usdjpy_close,0.030757081947078834,0.10109603004533384,ssa_cross
vix_ret_5,0.030020455228669484,0.6846389189772624,ssa_cross
vol_20,0.028516989868603113,0.013574425130473643,ssa_cross
ssa_40,0.026052525530802485,0.21106064723456996,ssa_cross
ssa_curvature,0.02567014225334148,0.28284339708421563,ssa_cross
usdjpy_ret_5,0.023196255278807993,0.05857836180203258,ssa_cross
dji_ret_5,0.02293072665357295,0.1405781964999575,ssa_cross
dji_ret_1,0.022313908046443568,0.3168057025358206,ssa_cross
sp500_ret_5,0.019938374343363825,0.20453128513126465,ssa_cross
days_since_downtrend,0.0,0.0,ssa_cross
