phase,start,end,days,start_close,end_close,return_pct
normal,2019-01-04,2019-02-26,36,19561.96,21449.39,9.65
stable,2019-02-27,2019-02-27,1,21556.51,21556.51,0.0
normal,2019-02-28,2019-02-28,1,21385.16,21385.16,0.0
stable,2019-03-01,2019-03-01,1,21602.69,21602.69,0.0
normal,2019-03-04,2019-03-06,3,21822.04,21596.81,-1.03
stable,2019-03-07,2019-03-07,1,21456.01,21456.01,0.0
normal,2019-03-08,2019-03-27,13,21025.56,21378.73,1.68
high_vol,2019-03-28,2019-03-28,1,21033.76,21033.76,0.0
normal,2019-03-29,2019-04-08,7,21205.81,21761.65,2.62
uptrend,2019-04-09,2019-04-09,1,21802.59,21802.59,0.0
normal,2019-04-10,2019-04-10,1,21687.57,21687.57,0.0
stable,2019-04-11,2019-04-12,2,21711.38,21870.56,0.73
uptrend,2019-04-15,2019-04-15,1,22169.11,22169.11,0.0
stable,2019-04-16,2019-04-16,1,22221.66,22221.66,0.0
uptrend,2019-04-17,2019-04-17,1,22277.97,22277.97,0.0
stable,2019-04-18,2019-04-19,2,22090.12,22200.56,0.5
uptrend,2019-04-22,2019-04-26,5,22217.9,22258.73,0.18
normal,2019-05-07,2019-05-07,1,21923.72,21923.72,0.0
stable,2019-05-08,2019-05-17,8,21602.59,21250.09,-1.63
normal,2019-05-20,2019-05-20,1,21301.73,21301.73,0.0
stable,2019-05-21,2019-05-22,2,21272.45,21283.37,0.05
normal,2019-05-23,2019-05-24,2,21151.14,21117.22,-0.16
downtrend,2019-05-27,2019-06-04,7,21182.58,20408.54,-3.65
normal,2019-06-05,2019-06-14,8,20776.1,21116.89,1.64
stable,2019-06-17,2019-06-20,4,21124.0,21462.86,1.6
normal,2019-06-21,2019-06-21,1,21258.64,21258.64,0.0
stable,2019-06-24,2019-06-25,2,21285.99,21193.81,-0.43
normal,2019-06-26,2019-07-12,13,21086.59,21685.9,2.84
stable,2019-07-16,2019-07-18,3,21535.25,21046.24,-2.27
normal,2019-07-19,2019-08-08,15,21466.99,20593.35,-4.07
settling,2019-08-09,2019-08-14,3,20684.82,20655.13,-0.14
normal,2019-08-15,2019-08-16,2,20405.65,20418.81,0.06
settling,2019-08-19,2019-08-19,1,20563.16,20563.16,0.0
downtrend,2019-08-20,2019-08-23,4,20677.22,20710.91,0.16
normal,2019-08-26,2019-08-27,2,20261.04,20456.08,0.96
downtrend,2019-08-28,2019-08-29,2,20479.42,20460.93,-0.09
normal,2019-08-30,2019-09-06,6,20704.37,21199.57,2.39
stable,2019-09-09,2019-09-11,3,21318.42,21597.76,1.31
normal,2019-09-12,2019-09-20,6,21759.61,22079.09,1.47
uptrend,2019-09-24,2019-10-04,9,22098.84,21410.2,-3.12
stable,2019-10-07,2019-10-07,1,21375.25,21375.25,0.0
normal,2019-10-08,2019-10-17,7,21587.78,22451.86,4.0
stable,2019-10-18,2019-10-24,4,22492.68,22750.6,1.15
uptrend,2019-10-25,2019-11-19,17,22799.81,23292.65,2.16
stable,2019-11-20,2019-12-12,17,23148.57,23424.81,1.19
uptrend,2019-12-13,2019-12-13,1,24023.1,24023.1,0.0
normal,2019-12-16,2019-12-16,1,23952.35,23952.35,0.0
uptrend,2019-12-17,2019-12-20,4,24066.12,23816.63,-1.04
normal,2019-12-23,2019-12-26,4,23821.11,23924.92,0.44
stable,2019-12-27,2020-01-06,3,23837.72,23204.86,-2.65
normal,2020-01-07,2020-01-23,12,23575.72,23795.44,0.93
stable,2020-01-24,2020-01-24,1,23827.18,23827.18,0.0
normal,2020-01-27,2020-02-07,10,23343.51,23827.98,2.08
reversal_up,2020-02-10,2020-02-12,2,23685.98,23861.21,0.74
normal,2020-02-13,2020-02-20,6,23827.73,23479.15,-1.46
stable,2020-02-21,2020-02-21,1,23386.74,23386.74,0.0
normal,2020-02-25,2020-02-27,3,22605.41,21948.23,-2.91
crash,2020-02-28,2020-03-23,16,21142.96,16887.78,-20.13
capitulation_end,2020-03-24,2020-03-26,3,18092.35,18664.6,3.16
crash,2020-03-27,2020-03-27,1,19389.43,19389.43,0.0
capitulation_end,2020-03-30,2020-03-31,2,19084.97,18917.01,-0.88
crash,2020-04-01,2020-04-03,3,18065.41,17820.19,-1.36
high_vol,2020-04-06,2020-04-07,2,18576.3,18950.18,2.01
surge,2020-04-08,2020-04-10,3,19353.24,19498.5,0.75
high_vol,2020-04-13,2020-04-13,1,19043.4,19043.4,0.0
surge,2020-04-14,2020-04-20,5,19638.81,19669.12,0.15
high_vol,2020-04-21,2020-04-24,4,19280.78,19262.0,-0.1
normal,2020-04-27,2020-04-28,2,19783.22,19771.19,-0.06
surge,2020-04-30,2020-05-07,3,20193.69,19674.77,-2.57
high_vol,2020-05-08,2020-05-18,7,20179.09,20133.73,-0.22
normal,2020-05-19,2020-05-21,3,20433.45,20552.31,0.58
uptrend,2020-05-22,2020-05-22,1,20388.16,20388.16,0.0
normal,2020-05-25,2020-05-25,1,20741.65,20741.65,0.0
surge,2020-05-26,2020-05-26,1,21271.17,21271.17,0.0
normal,2020-05-27,2020-06-04,7,21419.23,22695.74,5.96
uptrend,2020-06-05,2020-06-09,3,22863.73,23091.03,0.99
settling,2020-06-10,2020-06-10,1,23124.95,23124.95,0.0
normal,2020-06-11,2020-06-12,2,22472.91,22305.48,-0.75
crash,2020-06-15,2020-06-15,1,21530.95,21530.95,0.0
surge,2020-06-16,2020-06-16,1,22582.21,22582.21,0.0
high_vol,2020-06-17,2020-06-29,9,22455.76,21995.04,-2.05
normal,2020-06-30,2020-06-30,1,22288.14,22288.14,0.0
