date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,macro_confirm_score,macro_corr_score,signal_basis_date,reason
2025-10-02,1736.T,建設業,建設業,BUY,1811.7749999999999,1600,101160.0,0.4265684438803354,0.0,0.0,2025-10-01,buy_breakout_up
2025-10-06,1736.T,建設業,建設業,SELL,1769.0,1600,2931560.0,0.4015022954352959,,,2025-10-03,sell_signal
2025-10-06,7242.T,輸送用機器,輸送用機器,BUY,4025.0,700,114060.0,0.43222389411195067,0.0,0.0,2025-10-03,buy_breakout_up
2025-10-14,7242.T,輸送用機器,輸送用機器,SELL,3760.0,700,2746060.0,0.36635000945910323,,,2025-10-10,early_stop_top
2025-10-16,8393.T,銀行業,銀行業,BUY,4389.875,200,1868085.0,0.3205342650038539,0.0,0.0,2025-10-15,buy_breakout_up
2025-10-22,6331.T,機械,機械,BUY,3055.1499999999996,300,951540.0000000001,0.6958345145698906,0.0,0.0,2025-10-21,buy_breakout_up
2025-10-22,8345.T,銀行業,銀行業,BUY,4024.4749999999995,200,146645.00000000023,0.33432283461313744,0.0,0.0,2025-10-21,buy_breakout_up
2025-10-24,6331.T,機械,機械,SELL,3315.0,300,1141145.0000000002,0.7334883410195167,,,2025-10-23,take_profit
2025-10-27,8345.T,銀行業,銀行業,SELL,4035.0,200,1948145.0000000002,0.30798951108210687,,,2025-10-24,sell_signal
2025-10-28,8393.T,銀行業,銀行業,SELL,4750.0,200,2898145.0,0.37211231021087254,,,2025-10-27,take_profit
2025-11-21,6745.T,電気機器,電気機器,BUY,4044.7749999999996,300,1684712.5,0.4240609437737545,0.0,0.0,2025-11-20,buy_breakout_up
2025-11-27,8600.T,銀行業,銀行業,BUY,745.0099999999999,1100,865201.5000000001,0.46454912634224915,0.0,0.0,2025-11-26,buy_breakout_up
2025-11-28,2981.T,不動産業,不動産業,BUY,2888.0,100,576401.5000000001,0.5750514361287297,0.0,0.0,2025-11-27,buy_breakout_up
2025-12-02,2981.T,不動産業,不動産業,SELL,2739.285,100,850330.0000000001,0.5871987260548647,,,2025-12-01,early_stop_top
2025-12-05,6745.T,電気機器,電気機器,SELL,4430.0,300,2179330.0,0.52604371221002,,,2025-12-04,take_profit
2025-12-15,7242.T,輸送用機器,輸送用機器,BUY,4597.95,200,1259740.0,0.44903428085083535,0.0,0.0,2025-12-12,buy_breakout_up
2025-12-15,5105.T,ゴム製品,ゴム製品,BUY,4400.025,200,379735.0000000001,0.4463153306467908,0.0,0.0,2025-12-12,buy_breakout_up
2025-12-17,7242.T,輸送用機器,輸送用機器,SELL,4535.0,200,1286735.0,0.4347057143725018,,,2025-12-16,sell_signal
2025-12-17,5105.T,ゴム製品,ゴム製品,SELL,4420.0,200,2170735.0,0.4496892344290943,,,2025-12-16,sell_signal
2025-12-19,6745.T,電気機器,電気機器,BUY,4415.25,100,1729210.0,0.48365113675519816,0.0,0.0,2025-12-18,buy_breakout_up
2025-12-19,8343.T,銀行業,銀行業,BUY,3933.1249999999995,100,1335897.5,0.4672617960554368,0.0,0.0,2025-12-18,buy_breakout_up
2025-12-22,8515.T,その他金融業,その他金融業,BUY,570.0,400,1107897.5,0.48889024396531333,0.0,0.0,2025-12-19,buy_breakout_up
2025-12-24,2975.T,不動産業,不動産業,BUY,1303.2599999999998,800,65289.50000000023,0.4705758004021291,0.0,0.0,2025-12-23,buy_breakout_up
2025-12-25,6745.T,電気機器,電気機器,SELL,4343.85,100,499674.5000000003,0.48571090941203005,,,2025-12-24,early_stop_top
2025-12-30,8600.T,銀行業,銀行業,SELL_END,784.0,1100,1362074.5000000002,,,,,end_of_backtest
2025-12-30,8343.T,銀行業,銀行業,SELL_END,4025.0,100,1764574.5000000002,,,,,end_of_backtest
2025-12-30,8515.T,その他金融業,その他金融業,SELL_END,559.0,400,1988174.5000000002,,,,,end_of_backtest
2025-12-30,2975.T,不動産業,不動産業,SELL_END,1361.0,800,3076974.5,,,,,end_of_backtest
