quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label
2020Q1_PRE,827,3393.T,スターティアホールディングス,卸売業,0.6549498910129415,33.56766256590509,35.71428571428572,23.800768563571797,39.96569468267581,0.02963496364457152,25.960061443932414,66.66666666666666,93.13725490196079,75.0,760.0,4980,20.253164556962023,2019-12-31,2019-12-31,21.4,15.5,20.3,15.5,15.5,medium,medium,low,low,low,"株伍指标
有正格
予想PER
（倍）
<20.3>
21.4
<21.3>
15.5
实镇PER
高值平均
31.2
安值平均
15.9
PBR
1.31
株福（11/25)
6
十万排
6339
最低購人额
6万3300
8
C>速电特
3393
V7精子色",769.png,0.18363636363636363,0.4716707579011967,0.664708365761266,中間型
2020Q1_PRE,828,8052.T,椿本興業,卸売業,0.6546029412609826,42.8571498094152,11.11111426538276,16.645447725958114,26.366116883324796,0.2145882503279397,29.599024374876127,58.333333333333336,92.97297806622092,80.0,1433.3333740234375,6273,31.699845675464,2019-12-31,2019-12-31,7.0,7.0,20.3,7.0,7.0,medium,medium,low,low,low,"4625有正楼
株伍指标
予想PER
（倍）
<20.3>
7.0
<21.3>
7.8
实敏PER
高值平均
7.6
安值平均
4.2
PBR
1.05
2
株福（11/25)
十万样
4120P9
最低購人额
41万2000m
1
17速层特
8052
精商色",3010.png,0.9054545454545454,0.5498849340288432,0.6442493251959596,中間型
2020Q1_PRE,829,4205.T,日本ゼオン,化学,0.6545179090274371,40.67971163748714,2.0926756352765308,12.742095313116298,16.546762589928065,0.7835289613637044,16.982687551525146,50.0,93.68998628257887,50.0,1366.0,6276,28.746465598491987,2019-12-31,2019-12-31,13.7,13.7,20.3,13.7,13.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
13.7
<21.3>
11.6
实镇PER
高值平均
20.9
安值平均
11.7
PBR
1.14
株福（11/25）
3
1379P9
CINA
最低購人额
13万7900用
速殊特
4205
19
速
精品色",1193.png,0.5416666666666666,0.5295412703283215,0.6034251810460779,中間型
2020Q1_PRE,830,1802.T,大林組,建設業,0.6544393829496326,23.302938196555225,11.651376146788994,10.475639045401238,12.749003984063755,0.23357772039515134,17.964601769911503,66.66666666666666,94.85580670303975,95.0,1217.0,6535,15.1371807000946,2019-12-31,2019-12-31,7.4,7.4,20.3,7.4,7.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
7.4
<21.3>
7.7
实敏PER
高值平均
8'6
安值平均
6.9
PBR
1.06
株福（11/25）
7
11889
最低購人额
11万8800月
6
车
外速书特
1802
建
同高
粘大色
（推)",87.png,0.7769784172661871,0.5269331083154342,0.6457942616196258,中間型
2020Q1_PRE,831,2384.T,ＳＢＳホールディングス,陸運業,0.6542622216289075,35.765379113018604,14.960629921259837,12.98929767659375,16.80458306810948,0.0894668583687277,27.719298245614034,66.66666666666666,93.08484551250613,45.0,1898.0,3945,28.76526458616011,2019-12-31,2019-12-31,14.5,19.12,19.12,19.12,19.12,medium,medium,low,low,low,"2009有正蔡
株伍指标
予想PER
（倍）
<19.12>
14.5
<20.12>
13.0
实PER
高值平均
11.0
安值平均
6.9
PBR
1.79
株福（11/25)
8
1969P9
最低購人额
19万6900内
调
速内特
2384
統
精屁色",328.png,0.5277777777777778,0.42226142988646825,0.6030533381355409,中間型
2020Q1_PRE,832,4772.T,ＳＭ ＥＮＴＥＲＴＡＩＮＭＥＮＴ ＪＡＰＡＮ,情報・通信業,0.6542411722460925,59.09090909090908,63.742690058479525,35.928317026582924,84.97109826589595,0.016073125899552787,29.43722943722944,58.333333333333336,87.5,70.0,280.0,5960,39.99999999999999,2019-12-31,2019-12-31,41.9,19.12,19.12,19.12,19.12,medium,medium,low,low,low,"株低指标
布正校
予想PER
（倍）
<19.12>
41.9
<20.12>
32.0
实PER
高值平均
255.0
安值平均
114.9
PBR
0.62
株福（11/25)
176P9
最低購人额
1万7600用
67单特
勿
4772
发小
8独元色",1517.png,0.20681265206812652,0.35718011660018406,0.681411686472632,中間型
2020Q1_PRE,833,7628.T,オーハシテクニカ,卸売業,0.6540480319349935,27.072758037225043,8.135349172066242,9.144238561447311,11.777777777777775,0.33072854343773783,20.983125458547324,66.66666666666666,97.34283862605314,70.0,751.0,5764,10.198092443140139,2019-12-31,2019-12-31,9.0,9.0,20.3,9.0,9.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
9.0
<21.3>
8.3
实敏PER
高值平均
8'8
安值平均
5.8
PBR
0.70
株福（11/25)
8
万体
14699
最低購人额
14万6900用
0
外速意特
7628
卸
粘活色",2753.png,0.7418181818181818,0.5333461184412396,0.6145838057581834,中間型
2020Q1_PRE,834,9876.T,コックス,小売業,0.6536362919509734,40.14084507042253,23.60248447204969,33.102104138893445,71.00591715976333,0.3961642226881823,24.242424242424242,66.66666666666666,68.85813148788927,80.0,199.0,6535,20.606060606060606,2019-12-31,2019-12-31,32.2,0.57,20.2,0.57,0.57,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.2>
<21.2>
32.2
实PER
高值平均
安值平均
PBR
0.57
株福（11/25)
174F
最低購人额
1万7400用
5.3
建出特
既，
9876
存赤
精店色",3776.png,0.2306451612903226,0.26422215403498006,0.7533689893780837,中間型
2020Q1_PRE,835,6247.T,日阪製作所,機械,0.6534606954615089,22.99270072992701,14.755959137343932,11.254671182983312,15.320665083135388,0.20481240911523924,21.298174442190664,66.66666666666666,96.7464114832536,70.0,1011.0,6276,12.83482142857142,2019-12-31,2019-12-31,15.8,15.8,20.3,15.8,15.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
15.8
<21.3>
15.8
实PER
高值平均
21.5
安值平均
13.6
PBR
0.56
株福（11/25)
2
十万样
1013F
最低購人额
10万1300m
速医特
6247
夕精菜色",1993.png,0.47572815533980584,0.531643142068119,0.6221171728878523,中間型
2020Q1_PRE,836,2877.T,日東ベスト,食料品,0.6531272328403912,18.181818181818187,10.705596107055971,9.683411269381947,12.946979038224416,0.48322182676612135,16.443987667009253,66.66666666666666,92.5737538148525,100.0,910.0,6530,11.65644171779141,2019-12-31,2019-12-31,10.9,10.9,20.3,10.9,10.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
10.9
<21.3>
9.6
实敏PER
高值平均
14.8
安值平均
10.0
PBR
0.79
株福（11/25)
7
万体
901P
CIR
最低購人额
9万100月
3
速量持
2877
发
精茶色",513.png,0.9051724137931034,0.5805538508745013,0.6751256528412899,中間型
2020Q1_PRE,837,7292.T,村上開明堂,輸送用機器,0.6527580513677295,27.268643306379147,13.04868316041501,7.716233094565254,10.621970920840074,0.10875896907496008,21.0431654676259,66.66666666666666,96.1642905634759,95.0,2833.0,6269,12.465263993648268,2019-12-31,2019-12-31,6.9,6.9,20.3,6.9,6.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
6.9
<21.3>
6.7
实敏PER
高值平均
0'8
安值平均
4.6
PBR
0.57
株福（11/25)
十万样
2691P9
最低購人额
26万9100月
5
24速需特
7292
微",2598.png,0.9593023255813954,0.5594814360233201,0.6402844822721387,中間型
2020Q1_PRE,838,1992.T,神田通信機,建設業,0.6524171857098593,24.595747916902532,12.832369942196543,16.568640322684043,20.40133779264215,0.34800755866026,23.941491107191826,58.333333333333336,90.37037037037037,90.0,976.0,6535,38.76777652593029,2019-12-31,2019-12-31,15.5,15.5,20.3,15.5,15.5,medium,medium,low,low,low,"株伍指标
布正校
予想PER
（倍）
<20.3>
15.5
<21.3>
14.4
实PER
高值平均
15.6
安值平均
8.1
PBR
0.55
株福（11/25)
十万样
900P
最低購人额
9万門
產速7特
1992
建
子主
色",186.png,0.18705035971223022,0.47249923289352563,0.6515989165074436,中間型
2020Q1_PRE,839,4849.T,エン,サービス業,0.6522146451059738,44.91654021244309,13.017751479289942,17.02771971560555,19.565217391304344,0.5800030035754383,30.296127562642372,66.66666666666666,86.97632058287796,45.0,4775.0,5960,8.769931662870167,2019-12-31,2019-12-31,29.0,16.8,20.3,16.8,16.8,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<20.3>
29.0
<21.3>
26.4
实敏PER
高值平均
37.6
安值平均
16.8
PBR
6.67
株福（11/25)
2
百万排
5210P9
最低購人额
52万1000用
8
速特
4849
增
粘派色",1550.png,0.30687830687830686,0.5051779687020558,0.7070639672118391,中間型
2020Q1_PRE,840,4238.T,ミライアル,化学,0.6517309332470873,59.03890160183067,3.576751117734722,18.335168810432645,24.129930394431565,0.6371149695782804,23.580494321977284,58.333333333333336,86.6043613707165,0.0,1390.0,3945,46.16193480546793,2019-12-31,2019-12-31,15.0,15.0,20.1,15.0,15.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.1>
15.0
<21.1>
10.9
实PER
高值平均
78.2
安值平均
45.9
PBR
0.66
株福（11/25)
十万样
1335F
最低購人额
13万3500m
3
4238
粘祥色",1211.png,0.4583333333333333,0.390050629027309,0.5847164386324712,中間型
2020Q1_PRE,841,4967.T,小林製薬,化学,0.651675960658955,25.780189959294432,11.821471652593484,7.840895923626208,8.679706601466997,0.09383774494619845,23.194303153611393,66.66666666666666,93.9209726443769,100.0,9270.0,6273,22.944297082228115,2019-12-31,2019-12-31,36.6,19.12,19.12,19.12,19.12,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<19.12>
36.6
<20.12>
35.3
实PER
高值平均
38.5
安值平均
25.5
PBR
4.16
株福（11/25)
十万样
60068
最低購人额
89万門
外用速医特
4967
10
X
品精菜色",1580.png,0.07291666666666667,0.3305461798097576,0.6343595563001511,中間型
2020Q1_PRE,842,8119.T,三栄コーポレーション,卸売業,0.6515102326869227,18.372790930310103,11.111111111111116,7.078248860326138,11.801242236024834,0.3286493906678395,14.754601226993868,66.66666666666666,96.46739130434783,95.0,887.5,6535,8.895705521472387,2019-12-31,2019-12-31,16.3,16.3,20.3,16.3,16.3,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<20.3>
16.3
<21.3>
13.6
实镇PER
高值平均
23.9
安值平均
15.5
PBR
0.69
株福（11/25)
3460P9
最低購人额
34万6000m
5
家速计特
8119
卸",3060.png,0.38545454545454544,0.5173596195151887,0.6403352686304655,中間型
2020Q1_PRE,843,4771.T,エフアンドエム,サービス業,0.651380894342989,34.38453713123093,7.660961695191526,15.853581091303134,19.35185185185184,0.5165470081093074,21.3401310997815,66.66666666666666,92.18422889043964,5.0,1321.0,5960,17.526690391459066,2019-12-31,2019-12-31,25.0,14.5,20.3,14.5,14.5,medium,medium,low,low,low,"株伍指标
1433有正蔡
予想PER
（倍）
<20.3>
25.0
<21.3>
21.9
实敏PER
高值平均
21.5
安值平均
14.5
PBR
2.46
株福（11/25)
十万样
1214F
最低購人额
12万1400用
8
4771
13女建服特
精提色",1516.png,0.3835978835978836,0.5041116907026695,0.6010039603137689,中間型
2020Q1_PRE,844,6570.T,共和コーポレーション,サービス業,0.6513582876657287,23.008849557522115,10.317460317460325,8.639380602661413,18.87675507020281,0.2293131903768082,19.50413223140496,75.0,91.20734908136482,100.0,695.0,1956,15.257048092868985,2019-12-31,2019-12-31,11.3,11.3,20.3,11.3,11.3,medium,medium,low,low,low,"株伍指标
有正格
予想PER
（倍）
<20.3>
11.3
<21.3>
10.1
实敏PER
高值平均
18.9
安值平均
13.1
PBR
1.06
株福（11/25)
3
十万样
642P9
最低購人额
6万4200m
1
单体特
子
6570
周营
1独色",2213.png,0.8452380952380952,0.5728751150659711,0.6596322971562748,中間型
2020Q1_PRE,845,7063.T,Ｂｉｒｄｍａｎ,サービス業,0.651344798650684,24.449712157128346,57.05128205128205,32.33764476663425,45.55555555555555,0.04854299029530007,40.694006309148264,62.5,93.51145038167938,100.0,1837.5,1692,24.449712157128346,2019-12-31,2019-12-31,33.1,5.33,20.6,5.33,5.33,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.6>
33.1
<21.6>
22.5
实PER
高值平均
60.4
安值平均
34.6
PBR
5.33
株福（11/25)
$13
9
万标
2315P9
最低購人额
23万1500用
0
迎装特
7063
历案
精老色",2492.png,0.23809523809523808,0.5378643755753298,0.6888463590069606,中間型
2020Q1_PRE,846,4286.T,ＣＬホールディングス,サービス業,0.6512843232453375,86.37387387387388,4.879594423320666,19.53408635205315,29.18175235336713,0.6133607994340325,36.95054945054945,58.333333333333336,75.05668934240363,40.0,1655.0,6125,56.72348484848484,2019-12-31,2019-12-31,18.8,19.12,19.12,19.12,19.12,medium,medium,low,low,low,"205
株伍指标
布正校
予想PER
（倍）
<19.12>
18.8
<20.12>
15.5
实PER
高值平均
17.4
安值平均
11.1
PBR
2.37
株福（11/25)
1420P9
最低購人额
14万2000m
建少特
4286
文增
精活色",1227.png,0.6058201058201058,0.43677508438171214,0.6570138120617872,中間型
2020Q1_PRE,847,6182.T,メタリアル,サービス業,0.6512733590633926,136.93693693693692,3.1372549019607954,21.28243990501492,32.50388802488335,0.5553327439322977,37.310414560161774,58.333333333333336,78.97897897897897,20.0,3945.0,2535,86.96682464454977,2019-12-31,2019-12-31,98.7,11.0,20.2,11.0,11.0,medium,medium,low,low,low,"株伍指标
布正校
予想PER
（倍）
<20.2>
98.7
<21.2>
73.7
实PER
高值平均
143.2
安值平均
48.7
PBR
29.75
株福（11/25)
9
十万样
3930P9
最低購人额
39万3000F
5.
速特
6182
中成
桔色",1956.png,0.021164021164021163,0.2843817121816508,0.6215052282416149,中間型
2020Q1_PRE,848,8207.T,テンアライド,小売業,0.6507304860313139,14.76683937823835,1.839080459770126,2.853728817092523,3.7296037296037365,0.6788986624571097,8.478802992518709,75.0,97.36263736263736,15.0,443.0,6273,10.473815461346625,2019-12-31,2019-12-31,20.3,2.21,20.3,2.21,2.21,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<20.3>
<21.3>
233.7
实敏PER
高值平均
355.4
安值平均
265.5
PBR
2.21
株福（11/25)
十万补
444P9
最低購人额
4万4400m
之特
8207
精色",3115.png,0.4838709677419355,0.44521325559987723,0.5297267584167148,中間型
