quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date
2020Q1_PRE,1,3910.T,エムケイシステム,情報・通信業,0.9456332870227442,283.21513002364065,59.70443349753693,43.24821234594716,82.44803695150115,0.9469812037177815,21.56448202959831,75.0,98.30200121285627,100.0,1621.0,2703,242.7061310782241,2019-12-31,2019-12-31
2020Q1_PRE,2,3110.T,日東紡績,ガラス・土石製品,0.9449758525150777,166.78141135972461,38.187221396731054,20.699614934175745,28.481012658227844,0.9105309121344651,18.336162988115447,83.33333333333334,97.79179810725552,100.0,4650.0,6533,149.1961414790997,2019-12-31,2019-12-31
2020Q1_PRE,3,2413.T,エムスリー,サービス業,0.9439885579839697,126.52501713502397,23.597606581899775,14.175673707395632,22.789389067524123,0.9437492994912535,15.033887861983985,91.66666666666666,99.54819277108435,100.0,3305.0,5306,103.63524337646335,2019-12-31,2019-12-31
2020Q1_PRE,4,7508.T,Ｇ‐７ホールディングス,小売業,0.9431037434136479,121.87784867821333,56.27608346709469,19.733665914135244,28.196721311475414,0.9030176596217098,13.666666666666671,83.33333333333334,97.55511022044088,100.0,1217.0,6178,102.83333333333333,2019-12-31,2019-12-31
2020Q1_PRE,5,9927.T,ワットマン,小売業,0.941908191604308,159.8179453836151,35.00000000000001,17.641005343124448,28.241335044929407,0.9441135169666293,22.836287799791457,75.0,100.0,100.0,249.75,6533,108.34202294056308,2019-12-31,2019-12-31
2020Q1_PRE,6,4686.T,ジャストシステム,情報・通信業,0.9389254178433913,192.5430210325048,48.90510948905109,18.875822367783467,29.977116704805496,0.9321666981791145,19.29625425652668,91.66666666666666,95.92476489028213,100.0,6120.0,6535,154.04732254047323,2019-12-31,2019-12-31
2020Q1_PRE,7,4970.T,東洋合成工業,化学,0.9385066083266923,393.2432432432432,76.11580217129071,35.1273149900688,40.53823152498932,0.8857312786204283,21.715145436308923,83.33333333333334,96.68874172185431,90.0,4380.0,6482,361.0526315789474,2019-12-31,2019-12-31
2020Q1_PRE,8,2471.T,エスプール,サービス業,0.9344919729620522,185.47297297297297,28.810975609756095,23.26589624377071,35.593220338983045,0.8607716576955653,21.50882825040128,75.0,99.64622641509435,100.0,845.0,4942,149.11555707263742,2019-12-31,2019-12-31
2020Q1_PRE,9,3038.T,神戸物産,卸売業,0.9331561968212916,122.55192878338276,41.50943396226414,20.06831891396658,25.5278310940499,0.9084348233734345,24.882260596546313,83.33333333333334,97.40259740259741,100.0,1875.0,4858,126.58610271903324,2019-12-31,2019-12-31
2020Q1_PRE,10,6951.T,日本電子,電気機器,0.9328680813331647,112.86811779769525,26.042456406368466,14.015208062820342,20.48917401764234,0.9187004891128184,19.162640901771333,83.33333333333334,98.66468842729971,100.0,3325.0,6276,78.47557702630166,2019-12-31,2019-12-31
