dataset,final_capital_v31,total_return_pct_v31,num_buys_v31,max_drawdown_pct_v31,final_capital_earn5,total_return_pct_earn5,num_buys_earn5,max_drawdown_pct_earn5,earnings_pre_days,return_diff_pt,capital_diff
q2_2024,3184483.493652344,6.149449788411476,24,-7.837973894987382,2878449.277282715,-4.051690757242843,56,-10.35563783625275,5,-10.201140545654319,-306034.2163696294
q3,3447369.251342775,14.912308378092495,27,-2.929349606946185,3441288.275939943,14.709609197998086,29,-3.4244338913067,5,-0.20269918009440957,-6080.975402832031
q4,3354116.0,11.803866666666664,22,-1.6541483600067353,3354116.0,11.803866666666664,22,-1.6541483600067353,5,0.0,0.0
4q2,3342272.5000000005,11.409083333333347,46,-6.642602319261004,3184756.5000000005,6.158550000000007,38,-10.251082282800873,5,-5.25053333333334,-157516.0
TOTAL,13328241.24499512,11.068677041625996,119,,12858610.053222658,7.155083776855475,145,,5,-3.9135932647705207,-469631.1917724628
