dataset,final_capital_v31,total_return_pct_v31,num_buys_v31,max_drawdown_pct_v31,final_capital_pre1_post5,total_return_pct_pre1_post5,num_buys_pre1_post5,max_drawdown_pct_pre1_post5,final_capital_pre1_post10,total_return_pct_pre1_post10,num_buys_pre1_post10,max_drawdown_pct_pre1_post10
q2_2024,3184483.493652344,6.149449788411476,24,-7.837973894987382,2605360.767272949,-13.154641090901698,56,-16.361916128114895,2593037.267272949,-13.56542442423503,53,-17.040970694817513
q3,3447369.251342775,14.912308378092495,27,-2.929349606946185,3531868.0751953144,17.728935839843807,50,-7.1249789195651285,3351634.762145997,11.7211587381999,49,-5.215487424245136
q4,3354116.0,11.803866666666664,22,-1.6541483600067353,4161338.99975586,38.711299991862006,41,-2.5891472403604565,4516947.499755861,50.56491665852872,37,-2.521385409304022
4q2,3342272.5000000005,11.409083333333347,46,-6.642602319261004,3385262.500000001,12.842083333333363,43,-11.05578839382494,3244120.500000001,8.137350000000021,33,-9.527181345108492
