セクター,シグナル数,平均ラグ(営業日),中央値ラグ(営業日),平均上昇率(%),中央値上昇率(%)
その他製品,40,137.6,141.0,4.47,0.72
その他金融業,38,132.7,138.5,4.6,2.74
ガラス・土石製品,41,137.4,140.0,5.88,0.47
ゴム製品,39,126.6,136.0,-0.28,-3.3
サービス業,48,141.4,142.0,10.83,-1.2
パルプ・紙,39,132.1,133.0,4.59,-0.79
不動産業,35,137.1,141.0,25.27,1.6
保険業,38,100.8,123.0,4.03,0.5
倉庫・運輸関連業,46,129.7,139.0,-1.15,-2.78
化学,48,141.3,142.0,4.84,-1.98
医薬品,45,135.1,139.0,-2.45,-6.08
卸売業,32,141.7,142.0,6.7,0.58
小売業,49,141.9,142.0,11.71,4.01
建設業,38,140.4,142.0,8.55,0.55
情報・通信業,41,140.6,142.0,7.2,-1.67
機械,43,138.9,141.0,10.65,0.0
水産・農林業,38,126.6,132.5,-2.12,-2.74
海運業,49,110.8,119.0,4.01,1.06
石油・石炭製品,39,118.5,130.0,6.85,4.33
空運業,39,103.4,114.0,1.92,0.83
精密機器,43,132.8,139.0,11.47,-2.87
繊維製品,33,133.7,138.0,9.22,0.46
証券、商品先物取引業,34,123.2,133.5,1.25,-1.02
輸送用機器,42,137.4,141.0,7.73,-0.15
金属製品,32,138.9,140.0,1.43,1.78
鉄鋼,41,129.7,138.0,4.47,2.8
鉱業,42,90.2,109.0,0.76,0.06
銀行業,53,132.2,141.0,3.94,3.44
陸運業,44,137.5,140.0,9.08,3.1
電気・ガス業,40,136.7,139.5,3.73,0.69
電気機器,38,140.7,142.0,9.89,-3.92
非鉄金属,43,131.2,137.0,-3.5,-3.92
食料品,41,141.3,142.0,0.09,-3.49
