sector,sector_signal_date,first_stock,stock_signal_date,lag_bdays,stock_entry_price,price_at_sector_signal,pct_change_by_sector_signal
建設業,2002-03-15,1835,2001-08-27,144,213.0,186.0,-12.68
建設業,2003-04-04,1967,2002-09-20,140,407.0,411.0,0.98
建設業,2003-09-11,1814,2003-02-24,143,310.0,880.0,183.87
建設業,2004-03-03,1795,2003-08-19,141,1700.0,1650.0,-2.94
建設業,2004-06-14,1941,2003-11-27,142,1502.0,1824.0,21.44
建設業,2005-01-06,1770,2004-06-21,143,406.0,416.0,2.46
建設業,2005-08-26,1723,2005-02-09,142,350.5,466.5,33.1
建設業,2005-10-03,1811,2005-03-17,142,3000.0,3730.0,24.33
建設業,2006-12-19,1848,2006-06-02,142,370.0,236.0,-36.22
建設業,2007-05-21,1795,2006-11-02,142,2450.0,2405.0,-1.84
建設業,2008-04-18,1417,2007-10-02,143,1326.0,889.0,-32.96
建設業,2009-01-05,1768,2008-06-25,138,267.0,210.0,-21.35
建設業,2009-08-18,1418,2009-02-02,141,24.0,42.0,75.0
建設業,2010-01-08,1941,2009-06-22,144,1521.0,1191.0,-21.7
建設業,2010-04-22,1718,2009-10-30,124,1850.0,2150.0,16.22
建設業,2010-12-16,1870,2010-06-16,131,588.0,504.0,-14.29
建設業,2011-11-14,1773,2011-05-06,136,39.14,29.35,-25.0
建設業,2012-09-07,1766,2012-02-21,143,2896.0,3190.0,10.15
建設業,2013-10-14,1418,2013-03-29,141,246.0,260.0,5.69
建設業,2014-08-08,1979,2014-01-20,144,1135.5,1166.0,2.69
建設業,2014-12-29,1764,2014-06-13,141,1780.0,1870.0,5.06
建設業,2015-04-24,1870,2014-10-06,144,772.0,773.0,0.13
建設業,2015-11-19,1929,2015-05-07,140,529.0,516.0,-2.46
建設業,2016-10-31,1419,2016-04-14,142,425.0,551.0,29.65
建設業,2017-05-15,1888,2016-10-27,142,1560.0,1550.0,-0.64
建設業,2018-11-28,1770,2018-05-14,142,931.0,815.0,-12.46
建設業,2019-02-27,1776,2018-08-13,142,728.0,740.0,1.65
建設業,2019-08-08,1992,2019-01-24,140,771.67,687.0,-10.97
建設業,2020-05-26,1723,2019-11-08,142,1530.0,1630.0,6.54
建設業,2020-10-01,1407,2020-04-14,122,1059.23,2125.38,100.65
建設業,2021-09-21,1929,2021-03-09,140,827.0,735.0,-11.12
建設業,2022-02-14,1828,2021-07-29,142,882.0,925.0,4.88
建設業,2023-03-13,1718,2022-08-26,141,4045.0,3980.0,-1.61
建設業,2024-01-16,1867,2023-07-03,141,1425.0,1564.0,9.75
建設業,2024-09-23,1848,2024-03-08,141,453.0,448.0,-1.1
建設業,2025-04-17,1770,2024-10-02,141,1432.0,1430.0,-0.14
建設業,2025-04-28,1861,2024-10-11,141,906.25,1053.75,16.28
食料品,2001-05-21,2502,2000-11-02,142,366.67,447.0,21.91
食料品,2002-04-02,2831,2001-09-24,136,2024.0,2060.0,1.78
食料品,2003-01-23,2209,2002-07-09,142,860.0,830.0,-3.49
食料品,2004-01-27,2594,2003-07-11,142,1545.0,1478.0,-4.34
食料品,2005-01-10,2224,2004-06-28,140,1570.0,1513.0,-3.63
食料品,2005-07-22,2533,2005-01-03,144,271.0,387.0,42.8
食料品,2005-11-28,2831,2005-05-20,136,2550.0,2320.0,-9.02
食料品,2006-09-18,2579,2006-03-07,139,2835.0,2410.0,-14.99
食料品,2007-01-03,2288,2006-06-19,142,1485.0,1770.0,19.19
食料品,2007-05-24,2916,2006-11-06,143,335.0,321.0,-4.18
食料品,2008-05-06,2266,2007-10-22,141,427.0,298.0,-30.21
食料品,2008-07-24,2801,2008-01-10,140,317.6,246.4,-22.42
食料品,2009-06-10,2908,2008-11-26,140,1204.0,1112.0,-7.64
食料品,2010-01-15,2221,2009-06-29,144,835.0,925.0,10.78
食料品,2010-03-24,2533,2009-09-08,141,200.0,185.0,-7.5
食料品,2011-01-17,2811,2010-07-01,142,1598.0,1523.0,-4.69
食料品,2011-07-12,2217,2010-12-24,142,451.67,453.33,0.37
食料品,2011-09-14,2204,2011-03-02,140,4080.0,4130.0,1.23
食料品,2012-02-13,2540,2011-07-28,142,1466.0,1540.0,5.05
食料品,2012-07-17,2208,2011-12-30,142,1080.0,1080.0,0.0
食料品,2013-07-12,2112,2012-12-25,143,197.0,316.0,60.41
食料品,2013-10-02,2211,2013-03-25,137,2010.0,1930.0,-3.98
食料品,2014-04-24,2540,2013-10-07,143,1620.0,1874.0,15.68
食料品,2015-11-26,2004,2015-05-12,142,2500.0,2465.0,-1.4
食料品,2016-05-18,2003,2015-11-02,142,1765.0,1665.0,-5.67
食料品,2016-10-20,2531,2016-04-04,143,893.0,975.0,9.18
食料品,2016-12-19,2927,2016-06-06,140,871.0,812.0,-6.77
食料品,2017-10-16,2501,2017-04-04,139,610.0,687.0,12.62
食料品,2018-05-11,2206,2017-10-23,144,6290.0,5850.0,-7.0
食料品,2018-10-12,2268,2018-04-04,137,4105.0,4050.0,-1.34
食料品,2019-04-19,2211,2018-10-01,144,2560.0,2137.0,-16.52
食料品,2019-09-23,2533,2019-03-07,142,369.0,402.0,8.94
食料品,2020-05-15,2573,2019-10-28,144,1927.5,1927.5,0.0
食料品,2020-11-27,2109,2020-05-11,144,2203.0,1823.0,-17.25
食料品,2021-03-23,2894,2020-09-04,142,220.0,249.0,13.18
食料品,2021-09-03,2915,2021-02-15,144,1949.0,1542.0,-20.88
食料品,2022-06-29,2876,2021-12-15,140,542.0,429.0,-20.85
食料品,2023-02-27,2222,2022-08-12,141,1598.0,1736.0,8.64
食料品,2024-09-24,2579,2024-03-11,141,2225.0,2021.5,-9.15
食料品,2024-12-10,2209,2024-05-27,141,2539.0,2445.0,-3.7
食料品,2025-05-07,2204,2024-10-21,142,3280.0,3235.0,-1.37
繊維製品,2001-10-25,8107,2001-04-20,134,570.0,730.0,28.07
繊維製品,2002-05-07,8013,2001-10-25,138,1120.0,870.0,-22.32
繊維製品,2003-03-03,3302,2002-08-23,136,346.0,261.0,-24.57
繊維製品,2004-03-24,3106,2003-09-12,138,1680.0,1850.0,10.12
繊維製品,2005-02-11,3597,2004-08-12,131,3445.0,3350.0,-2.76
繊維製品,2006-04-25,8029,2005-10-07,142,1720.0,2020.0,17.44
繊維製品,2006-10-11,3201,2006-03-27,142,1106.0,950.0,-14.1
繊維製品,2008-04-28,3569,2007-12-04,104,947.0,614.0,-35.16
繊維製品,2009-05-21,3593,2008-11-20,130,2870.0,2560.0,-10.8
繊維製品,2009-10-19,3302,2009-04-07,139,357.0,530.0,48.46
繊維製品,2010-01-28,8016,2009-07-14,142,632.0,597.0,-5.54
繊維製品,2010-09-30,3103,2010-03-17,141,750.0,700.0,-6.67
繊維製品,2010-12-07,3597,2010-06-23,119,4230.0,4010.0,-5.2
繊維製品,2011-11-28,8040,2011-05-13,141,950.0,1010.0,6.32
繊維製品,2013-03-19,3001,2012-09-10,136,694.0,1168.0,68.3
繊維製品,2013-11-14,8127,2013-07-08,93,451.0,434.0,-3.77
繊維製品,2014-12-01,3580,2014-05-21,138,524.0,543.0,3.63
繊維製品,2015-11-18,8127,2015-05-13,135,419.0,420.0,0.24
繊維製品,2016-04-04,8111,2015-10-02,131,440.0,371.67,-15.53
繊維製品,2016-10-11,3583,2016-03-25,142,1040.0,995.0,-4.33
繊維製品,2018-04-30,8011,2017-10-16,140,1801.0,2539.0,40.98
繊維製品,2019-03-13,3611,2018-09-06,134,3385.0,3415.0,0.89
繊維製品,2019-10-11,3123,2019-03-29,140,414.0,440.0,6.28
繊維製品,2020-06-19,3109,2019-12-03,143,947.0,997.0,5.28
繊維製品,2020-09-11,3409,2020-03-24,123,255.99,343.31,34.11
繊維製品,2021-11-12,3593,2021-05-17,129,3335.0,3095.0,-7.2
繊維製品,2022-04-13,3302,2021-09-27,142,2082.0,1647.0,-20.89
繊維製品,2022-11-29,8011,2022-05-17,140,849.0,1345.0,58.42
繊維製品,2024-11-11,3202,2024-05-13,130,100.0,101.0,1.0
繊維製品,2025-05-26,3204,2024-12-05,122,417.0,391.0,-6.24
繊維製品,2025-10-22,8029,2025-04-15,136,2351.0,2704.0,15.01
繊維製品,2025-11-06,8111,2025-04-25,139,2726.0,2738.5,0.46
繊維製品,2025-11-28,3103,2025-05-13,143,151.0,369.0,144.37
パルプ・紙,2002-03-20,3953,2001-09-28,123,400.0,435.0,8.75
パルプ・紙,2003-02-26,3708,2002-08-28,130,1230.0,1233.33,0.27
パルプ・紙,2003-11-05,3880,2003-06-03,111,859.0,929.0,8.15
パルプ・紙,2004-03-03,3892,2003-09-12,123,280.0,310.0,10.71
パルプ・紙,2004-09-17,3947,2004-03-03,142,2845.0,2640.0,-7.21
パルプ・紙,2005-02-03,3951,2004-08-27,114,439.0,414.5,-5.58
パルプ・紙,2005-09-01,3861,2005-02-18,139,606.0,575.0,-5.12
パルプ・紙,2007-01-23,3865,2006-07-27,128,802.0,675.0,-15.84
パルプ・紙,2007-06-13,3955,2006-12-20,125,760.0,754.0,-0.79
パルプ・紙,2008-04-29,3880,2007-11-01,128,963.0,719.0,-25.34
パルプ・紙,2009-01-05,3953,2008-07-31,112,666.0,611.0,-8.26
パルプ・紙,2009-04-03,3708,2008-11-06,106,840.0,910.0,8.33
パルプ・紙,2010-03-18,3861,2009-09-02,141,434.0,405.0,-6.68
パルプ・紙,2010-07-14,3891,2009-12-28,142,690.0,1435.0,107.97
パルプ・紙,2010-12-10,3941,2010-06-28,119,568.0,549.0,-3.35
パルプ・紙,2011-06-24,3895,2010-12-09,141,375.0,305.0,-18.67
パルプ・紙,2012-01-26,3861,2011-07-12,142,405.0,386.0,-4.69
パルプ・紙,2012-12-13,3950,2012-06-25,123,455.0,489.33,7.55
パルプ・紙,2013-07-19,3955,2013-01-04,140,296.0,304.0,2.7
パルプ・紙,2013-09-18,3891,2013-03-18,132,858.0,1380.0,60.84
パルプ・紙,2014-07-17,3945,2013-12-30,143,1520.0,1610.0,5.92
パルプ・紙,2014-09-11,3950,2014-03-12,131,632.67,695.0,9.85
パルプ・紙,2014-12-03,3863,2014-06-03,131,2101.0,1694.0,-19.37
パルプ・紙,2015-11-23,3948,2015-05-11,140,479.0,488.0,1.88
パルプ・紙,2016-03-30,3861,2015-10-13,121,584.0,456.0,-21.92
パルプ・紙,2016-09-26,3708,2016-03-15,139,1313.33,1160.0,-11.68
