image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
901.png,901,"株指標
修正後
予想PER
(倍)
<23.3>
18.9
<24.3>
17.4
实續PER
高值平均
35.4
安值平均
15.6
PBR
5.07
株佃(11/28)
2
百万株
1993月
信用残
最低購人
19万9300月
連具特
3676
情
快
之結合色",3676,3676.T,デジタルハーツホールディングス,情報・通信業,True
902.png,902,"株指標
修正後
予想PER
(倍)
<23.9>
17.8
<24.9>
16.5
实續PER
高值平均
30.2
安值平均
14.9
PBR
3.86
株佃(11/28)
2
905月
百万株
信用残
最低購人
9万500月
3
連儿特
3677
情
军踊
結5色",,,,,False
903.png,903,"株指標
修正後
予想PER
(倍)
<23.2>
33.2
<24.2>
22.7
实續PER
高值平均
74.7
安值平均
27.0
PBR
1.80
株佃(11/28)
7
十万株
1938月
信用残
最低購人
19万3800月
9
連の特
3678
情
結配色",3678,3678.T,メディアドゥ,情報・通信業,True
904.png,904,"株指標
修正後
予想PER
(倍)
<23.3>
13.9
<24.3>
11.5
实續PER
高值平均
29.1
安值平均
10.9
PBR
2.53
株佃(11/28)
百万株
355月
信用残
最低購人
3万5500月
7
白
連卜特
3679
情
22
由
結展色",3679,3679.T,じげん,情報・通信業,True
905.png,905,"株指標
修正後
予想PER
(倍)
<22.12>
6.4
<23.12>
37.9
实續PER
高值平均
21.7
安值平均
9.5
PBR
1.46
株佃(11/28)
2
百万株
413月
信用残
最低購人
4万1300月
連力特
3680
情
結柱色",3680,3680.T,ホットリンク,情報・通信業,True
906.png,906,"株指標
修正後
予想PER
(倍)
<22.12>
39.3
<23.12>
21.8
实續PER
高值平均
安值平均
PBR
2.95
株佃(11/28)
3
百万株
810月
信用残
最低購人
8万1000月
D連又特
3681
情
X結提色",3681,3681.T,ブイキューブ,情報・通信業,True
907.png,907,"株指標
修正後
予想PER
(倍)
<23.3>
13.9
<24.3>
10.8
实續PER
高值平均
53.0
安值平均
26.3
PBR
1.08
株佃(11/28)
十万株
520月
信用残
最低購人
5万2000月
里
单特
3682
情
横
亍独保色",3682,3682.T,エンカレッジ・テクノロジ,情報・通信業,True
908.png,908,"株指標
修正後
予想PER
(倍)
<22.12>
18.3
<23.12>
16.7
实續PER
高值平均
43.9
安值平均
12.3
PBR
2.06
株佃(11/28)
1169月
十万株
信用残
最低購人
11万6900月
連供特
3683
情
1310
色",3683,3683.T,サイバーリンクス,情報・通信業,True
909.png,909,"株指標
修正後
予想PER
(倍)
<23.3>
1700
<24.3>
680.0
实續PER
高值平均
安值平均
PBR
4.69
株佃(11/28)
3
百万株
340月
信用残
最低購人
3万4000月
7
連展特
3686
結開色",3686,3686.T,ディー・エル・イー,情報・通信業,True
910.png,910,"株指標
修正後
予想PER
(倍)
<23.9>
33.1
<24.9>
31.9
实續PER
高值平均
65.4
安值平均
32.0
PBR
9.74
株佃(11/28)
2
百万株
1338月
信用残
最低購人
13万3800月
7
130連半特
3687
情
重
色",3687,3687.T,フィックスターズ,情報・通信業,True
