mapping_name,mapping_ja,earnings_post_days,dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct,phase_pnl
practical_phase_adaptive_v31_post_earnings5,実務向け局面切替v3.1_決算後5営業日,5,q2_2024,3211477.6301879887,7.04925433959962,14,-6.148385004307844,"{'capitulation_end': 0.0, 'crash': 189418.32940673828, 'high_vol': 116433.30078125, 'normal': -54773.999999999534, 'overheated_range': -39600.0, 'stable': 0.0, 'surge': 0.0, 'uptrend': 0.0}"
practical_phase_adaptive_v31_post_earnings5,実務向け局面切替v3.1_決算後5営業日,5,q3,3514151.1256713877,17.138370855712925,12,-1.0392592777625165,"{'high_vol': 86975.50000000047, 'normal': -26000.0, 'overheated_range': 37911.0, 'settling': 120100.0, 'stable': -22500.0, 'uptrend': 317664.6256713872}"
practical_phase_adaptive_v31_post_earnings5,実務向け局面切替v3.1_決算後5営業日,5,q4,2790690.5,-6.976983333333331,6,-4.759611416781295,"{'high_vol': 18840.5, 'normal': -25750.0, 'stable': 0.0, 'surge': 0.0, 'uptrend': -202400.0}"
practical_phase_adaptive_v31_post_earnings5,実務向け局面切替v3.1_決算後5営業日,5,4q2,3147524.0000000005,4.917466666666681,11,-0.6870309173727551,"{'crash': 0.0, 'high_vol': 39193.000000000466, 'normal': 32500.0, 'settling': 0.0, 'surge': 61100.0, 'uptrend': 14731.0}"
