date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason,nikkei_regime
2026-01-05,8600.T,銀行/地方銀行,銀行業,BUY,795.7599999999999,100,2920424.0,0.5227983399750034,2025-12-30,buy_breakout_up,sideways
2026-01-05,6343.T,機械/住宅建設,機械,BUY,167.475,800,2786444.0,0.5008117367223045,2025-12-30,buy_breakout_up,sideways
2026-01-05,8344.T,銀行/地方銀行,銀行業,BUY,1963.0099999999998,100,2590143.0,0.4728592278442018,2025-12-30,buy_breakout_up,sideways
2026-01-05,3289.T,225/不動産,不動産業,BUY,1450.435,200,2300056.0,0.4681452944934523,2025-12-30,buy_breakout_up,sideways
2026-01-05,3388.T,卸売/電子部品・産業用電子機器,卸売業,BUY,2403.52,100,2059704.0,0.4565211822362958,2025-12-30,buy_breakout_up,sideways
2026-01-05,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,825.0,600,1564704.0,0.4292508515324612,2025-12-30,buy_breakout_up,sideways
2026-01-05,5697.T,鉄鋼/鉄鋼,鉄鋼,BUY,754.0,600,1112304.0,0.4236233749443153,2025-12-30,buy_breakout_up,sideways
2026-01-06,3289.T,225/不動産,不動産業,SELL,1468.0,200,1405904.0,0.4662371613822116,2026-01-05,sell_signal,up
2026-01-06,9405.T,大幅増額/情報通信,情報・通信業,BUY,860.7199999999999,500,975544.0,0.4166600859644206,2026-01-05,buy_breakout_up,up
2026-01-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1080.975,400,543154.0,0.4118235266703493,2026-01-05,buy_breakout_up,up
2026-01-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1070.0,400,971154.0,0.38763988603524807,2026-01-08,sell_signal,sideways
2026-01-09,9531.T,225/電気ガス,電気・ガス業,BUY,6325.48,100,338606.0,0.44394770769961206,2026-01-08,buy_breakout_up,sideways
2026-01-13,8344.T,銀行/地方銀行,銀行業,SELL,2130.0,100,551606.0,0.552669782721649,2026-01-09,take_profit,sideways
2026-01-14,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1099.245,500,1983.5,0.41262577529416605,2026-01-13,buy_breakout_up,up
2026-01-16,8600.T,銀行/地方銀行,銀行業,SELL,868.0,100,88783.5,0.6096128207673176,2026-01-15,take_profit,up
2026-01-16,5697.T,鉄鋼/鉄鋼,鉄鋼,SELL,835.0,600,589783.5,0.5172545854709957,2026-01-15,take_profit,up
2026-01-16,5105.T,ゴム/タイヤ・ゴム,ゴム製品,BUY,4562.424999999999,100,133541.00000000006,0.4780050939661949,2026-01-15,buy_breakout_up,up
2026-01-21,5105.T,ゴム/タイヤ・ゴム,ゴム製品,SELL,4359.0,100,569441.0,0.4586836214116318,2026-01-20,sell_signal,up
2026-01-22,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,892.0,600,1104641.0,0.49741944705569396,2026-01-21,take_profit,up
2026-01-22,5105.T,ゴム/タイヤ・ゴム,ゴム製品,BUY,4424.384999999999,200,219764.00000000012,0.4609968284870733,2026-01-21,buy_breakout_up,up
2026-01-23,6343.T,機械/住宅建設,機械,SELL,181.0,800,364564.0000000001,0.562610276917546,2026-01-22,take_profit,up
2026-01-23,5105.T,ゴム/タイヤ・ゴム,ゴム製品,SELL,4446.0,200,1253764.0,0.465760190144149,2026-01-22,sell_signal,up
2026-01-23,7184.T,銀行/地方銀行,銀行業,BUY,2414.685,500,46421.5,0.7708377612436234,2026-01-22,buy_breakout_up,up
2026-01-26,7184.T,銀行/地方銀行,銀行業,SELL,2285.0,500,1188921.5,0.7820240784191975,2026-01-23,stop_loss,up
2026-01-27,3388.T,卸売/電子部品・産業用電子機器,卸売業,SELL,2365.0,100,1425421.5,0.4497103781496906,2026-01-26,sell_signal,up
2026-01-27,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1059.0,500,1954921.5,0.4081174651693041,2026-01-26,sell_signal,up
2026-01-27,7184.T,銀行/地方銀行,銀行業,BUY,2319.2749999999996,800,99501.50000000023,0.7283432207958643,2026-01-26,buy_breakout_up,up
2026-01-28,9405.T,大幅増額/情報通信,情報・通信業,SELL,813.0,500,506001.50000000023,0.37027111988795824,2026-01-27,stop_loss,up
2026-01-30,9531.T,225/電気ガス,電気・ガス業,SELL,6846.0,100,1190601.5000000002,0.5152309396158499,2026-01-29,take_profit,up
2026-02-02,1938.T,建設/設備工事,建設業,BUY,2328.0,100,957801.5000000002,0.44208259857431664,2026-01-30,buy_breakout_up,up
2026-02-02,3352.T,小売/他消費財小売り,小売業,BUY,1650.0,100,792801.5000000002,0.4148972146349676,2026-01-30,buy_breakout_up,up
2026-02-02,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3176.95,100,475106.50000000023,0.39953278231423134,2026-01-30,buy_breakout_up,up
2026-02-02,9405.T,大幅増額/情報通信,情報・通信業,BUY,842.4499999999999,500,53881.50000000029,0.36608068921167747,2026-01-30,buy_breakout_up,up
2026-02-03,9405.T,大幅増額/情報通信,情報・通信業,SELL,844.0,500,475881.5000000003,0.3824841034984429,2026-02-02,sell_signal,up
2026-02-04,3289.T,225/不動産,不動産業,BUY,1477.84,100,328097.5000000003,0.4350569528654446,2026-02-03,buy_breakout_up,up
2026-02-05,7184.T,銀行/地方銀行,銀行業,SELL,2460.0,800,2296097.5000000005,0.7837235720815908,2026-02-04,sell_signal,up
2026-02-05,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1084.0,2100,19697.500000000466,0.3651726030277763,2026-02-04,buy_breakout_up,up
2026-02-06,1938.T,建設/設備工事,建設業,SELL,2526.0,100,272297.50000000047,0.4818995578602524,2026-02-05,take_profit,up
2026-02-10,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3440.0,100,616297.5000000005,0.4313113446930446,2026-02-09,take_profit,up
2026-02-12,1768.T,建設/建設・土木,建設業,BUY,1658.5099999999998,300,118744.50000000052,0.7244132145758443,2026-02-10,buy_breakout_up,up
2026-02-17,3352.T,小売/他消費財小売り,小売業,SELL,1990.0,100,317744.5000000005,0.43629114930116547,2026-02-16,take_profit,up
2026-02-27,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1173.0,2100,2781044.5000000005,0.4002736045903167,2026-02-26,take_profit,up
2026-02-27,4619.T,化学/タイヤ・ゴム,化学,BUY,2487.765,500,1537162.0000000005,0.464664583407579,2026-02-26,buy_breakout_up,up
2026-02-27,1879.T,建設/建設・土木,建設業,BUY,2175.145,700,14560.500000000466,0.39548336051232824,2026-02-26,buy_breakout_up,up
2026-03-03,3289.T,225/不動産,不動産業,SELL,1482.0,100,162760.50000000047,0.4536842622804788,2026-03-02,sell_signal,up
2026-03-03,1768.T,建設/建設・土木,建設業,SELL,1567.0,300,632860.5000000005,0.5238719216227902,2026-03-02,stop_loss,up
2026-03-03,1879.T,建設/建設・土木,建設業,SELL,2054.0,700,2070660.5000000005,0.3974589973424733,2026-03-02,stop_loss,up
2026-03-04,4619.T,化学/タイヤ・ゴム,化学,SELL,2339.0,500,3240160.5000000005,0.46068562092307663,2026-03-03,stop_loss,up
2026-03-05,7456.T,卸売/非鉄金属・金属製品,卸売業,BUY,8110.0,100,2429160.5000000005,0.7940609878159284,2026-03-04,buy_breakout_up,up
