dataset,final_capital_v31,total_return_pct_v31,num_buys_v31,max_drawdown_pct_v31,final_capital_pre1_post5,total_return_pct_pre1_post5,num_buys_pre1_post5,max_drawdown_pct_pre1_post5,final_capital_pre1_post5_except_crash,total_return_pct_pre1_post5_except_crash,num_buys_pre1_post5_except_crash,max_drawdown_pct_pre1_post5_except_crash
q2_2024,3184483.493652344,6.149449788411476,24,-7.837973894987382,2605360.767272949,-13.154641090901698,56,-16.361916128114895,2965371.104675293,-1.1542965108235714,53,-10.296626133555154
q3,3447369.251342775,14.912308378092495,27,-2.929349606946185,3531868.0751953144,17.728935839843807,50,-7.1249789195651285,3531868.0751953144,17.728935839843807,50,-7.1249789195651285
q4,3354116.0,11.803866666666664,22,-1.6541483600067353,4161338.99975586,38.711299991862006,41,-2.5891472403604565,4161338.99975586,38.711299991862006,41,-2.5891472403604565
4q2,3342272.5000000005,11.409083333333347,46,-6.642602319261004,3385262.500000001,12.842083333333363,43,-11.05578839382494,3385262.500000001,12.842083333333363,43,-11.05578839382494
