variant,final_capital,total_return_pct,num_buys,max_drawdown_pct
pre1_only,2999157.854675293,-0.028071510823568513,49,-10.317442035665659
pre1_post5_except_crash_highvol,2965371.104675293,-1.1542965108235714,53,-10.296626133555154
pre1_post5_except_crash,2965371.104675293,-1.1542965108235714,53,-10.296626133555154
pre1_post3_except_crash,2965371.104675293,-1.1542965108235714,53,-10.296626133555154
pre1_post1_except_crash,2954819.0294799805,-1.506032350667319,53,-10.115060740913462
v31_equivalent_no_earnings,2878449.277282715,-4.051690757242843,56,-10.35563783625275
pre1_post1,2878379.864868164,-4.054004504394526,64,-12.879837247658621
pre1_post5,2605360.767272949,-13.154641090901698,56,-16.361916128114895
pre1_post10,2593037.267272949,-13.56542442423503,53,-17.040970694817513
pre1_post3,2527906.194946289,-15.736460168457034,55,-17.050613470963583
