theme,source_count,count,avg_return_pct,median_return_pct,win_rate_pct
retail_consumer,5,5,3.1301898251818705,2.308172177167811,60.0
power_energy,1,1,-2.4423337856173677,-2.4423337856173677,0.0
finance,161,161,-3.131618684508252,-4.103942652329751,30.434782608695656
real_estate,4,4,-3.537192225716282,-3.3359475422639506,25.0
ai_datacenter,9,9,-4.5381734498588004,-4.808877928483357,33.33333333333333
healthcare_bio,2,2,-5.512715127817769,-5.512715127817769,0.0
auto_battery,1,1,-5.608247422680412,-5.608247422680412,0.0
construction_infra,6,6,-7.185476408089797,-4.368602718076025,16.666666666666664
cyber_security,6,6,-11.403827662021714,-8.683196863764053,0.0
