ticker,company_name,sector,best_variant,theme_text_regenerated
1826.T,佐田建設,建設業,theme_bodyleft,"ー 7 三 14 劭 東 S ー 丘 1 鬟 5-- 可 & 3 11 Ⅱ SI ℃ ( シ ン ガ ポ ー ル ) PBD G3( 4 ・ 1) ま 比 、 000 銀 行 1 , 四 7 自 ム 株 会 70 45 聞 01 【 株 式 】 & 幻 【 株 け 約 3 , 714 名 く 幻 コ 〉 庸 67 4 幻 0 響 「 10 , 82 四 7 、 - 、 制 ( ) 高 安 日 ・ 2 7 6 7 7 ・ 、 年 7 ・ 9 、 ( 5 年 満 1 住 ) RO ー 齊 太 興 業 引 ROA 住 - な サ ン シ イ ン D 号 投 事 調 整 ー 株 益 最 高 ( .3 ) 13 , 7 く 外 国 > 9. く 浮 動 株 月 ま"
2813.T,和弘食品,食料品,theme_wide,0 引 ) ー 0 → ー → 島 復 5 安 ー 4 師 24 ー 24 3 【 株 式 】 材 7 俐 【 株 ド ー 名 く ① 割 山 龕 店 日 オ イ リ オ G 鴪 務 ) く 2 3 〉 市 自 社 ( 自 己 株 ロ ) 皀 本 号 興 矜 5 き 比 事 脇 北 海 道 銀 行 4 3 ー 【 指 標 等 】 〉 秋 ROE ー 一 7 一 日 果 名 険 2 ROA く 外 〉 く 瀞 1495
3199.T,綿半ホールディングス,小売業,theme_bodyleft,"ー 7 仕 6 仕 5 恠 0 東 P ー → 出 出 高 値 147 鼠 3 ー 1 1 安 2 1 165 3 1 引 1 高 安 師 呂 ・ 1477 15 14 161 1 1 ・ 、 年 1 双 5 年 I.4S) 【 株 式 】 & 9 飛 【 株 第 丿 34 閉 コ 〉 庸 1 85 町 0 八 十 二 銀 行 80 4.0 Ⅱ 己 資 本 , 7 咫 昭 和 商 事 例 よ 0 物 「 謐 野 凛 勇 2 【 指 標 等 】 く 4 ・ 3 〉 ヤ マ ウ ラ ROE & 予 & 飯 田 信 用 全 庫 和 2 ⅸ 益 ( 3 ) 一 【 、 灘 研 凛 勇 第 賀 博"
3048.T,ビックカメラ,小売業,theme_bodyleft,"ー 5 . 第 働 10. 1 → ー 14. 18. 1 1 17 1 1 仕 5 ー 7 仕 1 2 ー 6 40 1 阪 自 社 ( 自 己 椥 D ( 9 ① SMBC 信 ~ 行 管 邸 に 託 A Ⅱ 己 資 本 1 み ず ほ 信 託 , 呂 釁 管 理 信 阜 東 P 高 安 4 1 3 【 指 標 等 】 く 〉 三 ) 日 ド 友 信 託 銀 行 信 - ロ 日 13 物 「 高 安 呂 ・ 2 ー ー 1 1441 ・ 、 年 よ ハ ( 5 年 満 地 ハ ) ROE 2 脇 い } ー 45 ROA 住 予 1 ー 野 村 信 -1 ー 立 7 9 調 整 ー 株 益 17. T テ レ ビ 6 Ⅱ よ 2 最 高 0 & 8 ) 173 日 本 マ ス タ ー 信 託 リ テ ー ル 価 一 例 呂 例 8 る 4 4 例 ( )"
2674.T,ハードオフコーポレーション,小売業,theme_bodyleft,ー 7 43 【 株 式 】 & 9 引 【 株 3 名 く 幻 コ 〉 庸 1 11 東 P 仕 6 - 諏 0 カ OA) 16 0 Ⅱ ー 響 「 1 と 一 ト M.ILMFE 17 ( ) 1 例 4 【 指 標 等 】 く 4 ・ 3 〉 山 本 郎 、 12 ( ) 、 、 年 認 、 ( 0 年 満 、 ) 00 チ ・ ・ 【 員 ~ 本 善 gthl 踟 59 IG 調 株 益 11 ( 0 2 1 1r7 ー ROA 予 脇 G 証 券
1980.T,ダイダン,建設業,theme_wide,"【 株 式 】 45 , 俐 【 株 ド ~ 3 名 く ① 圏 . 5 日 本 マ ス タ ' 託 日 3 . 5 自 社 ( 自 ' ・ 2 5 例 → れ 一 務 ) く 2 3 〉 市 東 京 大 元 ↓ 幻 7 安 き 比 事 ー 有 ビ 147 東 島 24 ー 14 ー 【 指 標 等 】 〉 日 本 生 命 保 険 ROE 一 く 外 4 24 3 一 載 ー ROA & く 投 信 〉"
2814.T,佐藤食品工業,食料品,theme_bodyleft,"ー 7 f.3 67 1 【 株 式 】 & 9L11 07. 9 ト 2 1 を 4 分 1 → 1 09 f) 21 6 コ 仕 0 93 【 株 ) 74 4.3 〉 [ 衄 ] 自 社 ( 自 己 株 ロ ) 510 く 4.3 〉 ラ ル ド ッ ク ソ ー ス 42 幻 通 曾 冐 4.0 91 Ⅱ 己 資 本 , 7 原 22 18 ム 0 143 レ イ ネ ク ス ト 19 ム ー 一 70 響 「 670 名 占 屋 銀 行 22 高 安 呂 ・ 2 幻 1 幻 ) ・ 、 年 0.3 双 5 年 満 仇 幻 ) ( の 調 ー 株 益 1 1 韻 益 ( 11 ① 0 柵 に 書 : - Ⅷ 正 博 嶄 木"
1941.T,中電工,建設業,theme_bodyleft,"ー 5 & 0 → 1.0 ー 7 43 四 23 【 株 式 】 & ー 【 株 ド 1 乢 幻 閉 コ 〉 庸 1 匯 既 中 国 電 ノ 幻 別 訂 17. 東 P 4 加 → 1 ー 新 日 本 マ ス タ ・ 託 3 & 例 → 0 、 0 自 社 ( 自 0 ゝ 1 24 5 ー Ⅱ 己 資 本 2 , 0 日 本 カ ス ト プ れ ロ 1 3 高 安 4 7 い 【 指 標 等 】 く 4 ・ 3 〉 山 口 銀 行 2 31 れ 一 ROA 2 予 & 脇 側 40 調 整 ー 株 益 14 鼠 最 ( 3 ) 15 2 【 役 員 1 迫 谷 章 間 重 藤 降 、 い 4 資 4 , 初 凡 第 / 男 扁 个 ;"
2914.T,日本たばこ産業,食料品,theme_bodyleft,"ー 7 應 5 舸 → 2 仡 0 OG. 4 2 12 ・ 【 株 式 】 & 2 , 网 , 飛 【 株 ド ) 74 い な な ー 幻 庸 4 ( & の 7 , 18 , 83 Ⅱ 己 資 本 3 , , い 1 本 カ ス ト デ ィ 信 託 ロ 1 100 , 网 SM 肬 日 興 誕 券 172 , 側 3 ス テ ー ト ス ト リ ー ト B 工 ス ト リ 1 , 0 , 9 ー テ ィ 1 【 指 標 等 】 く 0 な 肥 〉 日 本 証 券 金 高 統 安 日 ・ ROE な 脇 予 1 凵 ー バ ー ク レ イ 蔓 証 ぐ 惑 ) 4 1 ROA 6 ー 予 鵯 M) 1 0 424 4 例 5 10 認 1 整 ー 2 ) 4 , ー 自 社 グ ル ー プ 社 員 持 く 紗 国 〉 7 ー - 月 儀 4 、 ・ 、 年 IS 年 19 )"
3099.T,三越伊勢丹ホールディングス,小売業,theme_bodyleft,"ー 5 & 5 ー 7 47 iåiillii'llilllli:: △ 79 2 事 11 東 P 23 Ⅱ 己 資 本 3 , 8 公 益 財 団 1 , 跖 303 自 町 自 己 、 高 安 ま 比 00 、 引 , 470 自 社 グ ル ー プ 取 引 先 れ 株 ム 18M0 ー 0 響 「 彳 ' ー 清 水 建 設 6 ー 」 1 1 【 指 標 等 】 く 〉 明 安 日 件 命 保 険 5G9 凵 高 安 日 ・ ROE 予 & 」 PMC 7 制 4 2 2 ー れ 幻 7 ROA ー 秘 自 社 グ ル ー プ 従 業 員 れ 株 ム 調 整 ー 株 益 14 4 0 最 高 023 ) 58,891 B ・ WT 幻 4 引 5 0 427 、"
2217.T,モロゾフ,食料品,theme_bodyleft,"33 四 【 株 式 】 & ー 7 7 0 【 株 1 IO 14 幻 閉 .1> 庸 ffD 17. 8 2 料 第 = 仇 1 阪 日 本 ス タ 4 氈 日 ー 0 → 1 , 00 ・ 菱 00 銀 行 、 0 四 よ 2 → 7 Ⅱ 己 資 本 19 , 7 山 陽 電 18 2 17 ム 5 33 物 「 1 24 37 1 【 指 標 等 】 く 4 ・ 1> 期 岡 迪 子 韻 益 ( 1) 7 【 役 員 叩 旧 信 二 第 ⅱ 岡 41 4 1 調 ー 株 益 高 安 呂 ROE 俺 く 円 > ー : 勳 橆 5 、"
3712.T,情報企画,情報・通信業,theme_wide,"偲 . 5 03 、 ( 浦 【 株 式 】 4 俐 【 株 ド ー 名 く ① 1 社 ( 自 己 株 ロ ) ー 務 ) く 2 〉 市 光 、 ぐ 6 , 7G3 自 参 員 持 株 会 4 本 5 ⅱ ン イ デ リ テ ィ 凵 ー → ー 翦 ・ 安 き 比 事 脇 ス ド ス ト , ク F 貶 第 G,727 、 ′ : イ i 0 み ら い 銀 行 5 24 ー ー 【 指 標 等 】 の 見 龕 安 統 ド 0 ・ 00 ・ 00 、 離 = わ 00 24 3 4 ROA 胼 ー く 外 〉 & 脇 く"
2329.T,東北新社,情報・通信業,theme_bodyleft,"ー 7 4.3 △ 1 ℃ 89. 1 ま . 4 2 料 【 株 式 】 & 55 , 【 株 ) 7 70 名 閉 ① 庸 1 自 社 0 ・ 己 株 ロ ) 臨 行 5 2 1 ー 生 3 〉 日 本 製 7 4 Ⅱ 己 資 本 , 6 行 り そ な 銀 行 1 よ 3 1 よ 3 18 0 2 物 「 1 第 牆 ロ 2 教 5 【 指 標 等 】 く 4 ・ 3 〉 NITTAN 2 ー 8 調 株 益 2 ー 最 純 益 ( 07 ① 1 7"
2798.T,ワイズテーブルコーポレーション,小売業,theme_bodyleft,"5 。 写 恠 3 0 ー 7 【 株 式 】 & 3 , 【 株 ド 1 肥 , 4 名 閉 2 〉 庸 1 阪 金 山 精 三 郎 1 引 ・ 9 ア サ ヒ ビ ー ル Ⅱ 己 資 本 7 B)YOUDEAL 本 比 圏 ー SM 肬 信 託 銀 行 特 定 イ 券 信 託 ロ 8 10&(2 響 「 0 プ ラ 、 , ト フ ォ ー ム ホ ー ル 3 【 指 標 等 】 く 4 ・ 2 〉 デ ィ ン グ ス 2 ( ) 高 師 安 日 ・ ROE 31 ー - 臼 側 ー フ ァ ン ズ ソ リ ュ ー シ ン 制 ROA 2 ー 予 脇 項 ) 幻 調 株 益 一 円 辺 雅 之 2 0 2780 最 純 益 ( は 2 ) 引 2 く 外 国 > 0 一 く 浮 動 株 〉 ・ 、 年 1 ・ い ( 5 年 満 05D 9 ル ス"
1518.T,三井松島ホールディングス,その他製品,theme_bodyleft,"ー 5 45 ー 7 ム 9 $ 1 1 1 17. 2 1 三 な 期 】 1 1 (OA) 第 0 → ー 1 第 2 幻 6 響 「 5 苧 : ス イ ー ト ・ ス ト リ ー ト ・ バ ン ク & 6 幻 1 【 指 標 等 】 く 4 ・ 3 〉 ラ ス ト 引 18 ( 凵 ) 高 安 呂 ・ ROE 予 4 ー バ ン ク ・ オ プ ・ ニ ュ ー ヨ ー ク ・ 2 41 ROA 15 予 2 メ ロ ン 14 儺 17 ー 1 ) 1 調 整 ー 株 益 一 円 西 日 本 シ テ ィ 銀 行 ー 2 6210 313 1 最 高 ( な 3 ) , 0 く 外 国 月 れ く 浮 動 株 〉 .7 、 戸 年 、 、 粤 、 呂 醤 ー : : = 投 信 = 、 聳 定 株 0 、"
1333.T,マルハニチロ,水産・農林業,theme_bodyleft,"ー 5 例 . 4 完 全 餘 社 10. 14. 14. 4 東 P 高 ー 7 【 株 式 】 & 【 株 , 名 閉 ① 庸 1 匯 既 日 本 マ ス タ ヨ 読 日 2 ー 記 資 本 髜 物 響 行 1 よ ー 安 ま 比 、 0 リ q00 47 高 安 呂 ・ ROE 1 ー ⅱ ロ 銀 行 G3 2 2 ー 幻 刻 7 最 ( 幻 .3 ) 加 , 3 【 、 盟 0 池 見 賢 第 澤 直 7 ー"
1802.T,大林組,建設業,theme_bodyleft,"ー 7 住 0 ト 月 な 1 東 P 2 料 ー 5 第 : 仇 高 値 14 9 料 3 【 株 式 】 & 肥 1 , 飛 【 株 2 , 78 閉 ① 4 1 匯 日 本 マ ズ タ ー 信 龜 ー 1 4 07 生 3 〉 用 日 本 カ ス ト デ ィ 信 託 ロ 7 幻 阜 Ⅱ 己 資 本 い 5 い 四 日 本 生 命 保 険 2 , 圏 ー 5 し 1 【 指 標 等 】 = ; 自 ツ ル ー プ 従 ー 1 71 ROA 2 予 2"
2469.T,ヒビノ,サービス業,theme_wide,"5 . 2 公 カ 例 → . 4 52 【 株 式 】 俐 【 株 ド ー く ① ハ イ ビ ー ノ 2 日 晃 久 務 ) く 2 〉 市 日 よ , ス 24 ー 4 【 指 標 等 】 〉 み す ほ 銀 行 龕 統 一 安 統 日 ・ ROE ー 73 く 外 〉 : 24 3 ~ ー ROA 4 材 ー く 投 信 〉"
3002.T,グンゼ,繊維製品,theme_bodyleft,四 ー 7 17.1 東 P 4 2 1 ー 5 28 第 : 0.1 第 0 → ー 高 76 ー 32 加 町 一 1 Ⅱ 己 資 本 118 2 目 社 グ ル ー プ 従 業 員 持 株 ム 071 全 聞 ミ 済 業 協 ト 安 4 和 物 「 8 躡 プ バ 読 乙 1 【 指 標 等 】 く 4 ・ 3 〉 第 ・ 生 命 保 険 高 安 呂 ・ ROE 4 俺 G ク レ オ ス 幻 ー 5 2 ROA 予 4 ー 損 害 保 険 ジ ャ パ ン 19 い
