quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score,best_variant,theme_text_regenerated,section_groups
2024Q2_PRE_ALIGNED,323,1518.T,三井松島ホールディングス,その他製品,0.8108544898699416,94.17847114066898,74.82758620689656,31.524805458805076,98.40255591054311,0.5673906789475034,20.334507042253524,75.0,81.64251207729468,60.0,1014.0,6276,94.17847114066898,2024-06-30,2024-06-30,19.7,19.7,25.3,19.7,19.7,medium,medium,low,low,low,"6210布E楼
株伍指标
予想PER
（倍）
<25.3>
19.7
(26.3>
15.7
实PER
高值平均
3.8
安值平均
1.8
PBR
0-87
株佰(5/27)
2
4620m
最低購人额
24
25.4
46万2000F
1518",4002.png,0.4444444444444444,0.6808215451577802,0.8882037263218672,0.7328924826600934,その他製品,0.0,3.0,19.7,0.8108544898699416,theme_bodyleft,"ー 5 45 ー 7 ム 9 $ 1 1 1 17. 2 1 三 な 期 】 1 1 (OA) 第 0 → ー 1 第 2 幻 6 響 「 5 苧 : ス イ ー ト ・ ス ト リ ー ト ・ バ ン ク & 6 幻 1 【 指 標 等 】 く 4 ・ 3 〉 ラ ス ト 引 18 ( 凵 ) 高 安 呂 ・ ROE 予 4 ー バ ン ク ・ オ プ ・ ニ ュ ー ヨ ー ク ・ 2 41 ROA 15 予 2 メ ロ ン 14 儺 17 ー 1 ) 1 調 整 ー 株 益 一 円 西 日 本 シ テ ィ 銀 行 ー 2 6210 313 1 最 高 ( な 3 ) , 0 く 外 国 月 れ く 浮 動 株 〉 .7 、 戸 年 、 、 粤 、 呂 醤 ー : : = 投 信 = 、 聳 定 株 0 、",finance
2024Q2_PRE_ALIGNED,255,3099.T,三越伊勢丹ホールディングス,小売業,0.8294710192237941,104.67638088783464,20.390671716165045,22.551735557554696,50.24121295658166,0.7808286443082024,16.675993284834924,58.333333333333336,88.7452248016456,50.0,3020.0,6276,104.67638088783464,2024-06-30,2024-06-30,21.7,17.4,25.3,17.4,17.4,medium,medium,low,low,low,"3071
株伍指标
予想PER
（倍）
<25.3>
21.7
(26.3>
20.5
实PER
高值平均
17.4
安值平均
9.5
PBR
1.94
株佰(5/27)
2
3063m
最低購人额
24
9.8
30万6300F
3099
小",4568.png,0.4382716049382716,0.6516118063112079,0.9008089538318048,0.7321462612052438,小売業,0.0,3.0,21.7,0.8294710192237941,theme_bodyleft,"ー 5 & 5 ー 7 47 iåiillii'llilllli:: △ 79 2 事 11 東 P 23 Ⅱ 己 資 本 3 , 8 公 益 財 団 1 , 跖 303 自 町 自 己 、 高 安 ま 比 00 、 引 , 470 自 社 グ ル ー プ 取 引 先 れ 株 ム 18M0 ー 0 響 「 彳 ' ー 清 水 建 設 6 ー 」 1 1 【 指 標 等 】 く 〉 明 安 日 件 命 保 険 5G9 凵 高 安 日 ・ ROE 予 & 」 PMC 7 制 4 2 2 ー れ 幻 7 ROA ー 秘 自 社 グ ル ー プ 従 業 員 れ 株 ム 調 整 ー 株 益 14 4 0 最 高 023 ) 58,891 B ・ WT 幻 4 引 5 0 427 、",construction_infra
2024Q2_PRE_ALIGNED,255,3099.T,三越伊勢丹ホールディングス,小売業,0.8294710192237941,104.67638088783464,20.390671716165045,22.551735557554696,50.24121295658166,0.7808286443082024,16.675993284834924,58.333333333333336,88.7452248016456,50.0,3020.0,6276,104.67638088783464,2024-06-30,2024-06-30,21.7,17.4,25.3,17.4,17.4,medium,medium,low,low,low,"3071
株伍指标
予想PER
（倍）
<25.3>
21.7
(26.3>
20.5
实PER
高值平均
17.4
安值平均
9.5
PBR
1.94
株佰(5/27)
2
3063m
最低購人额
24
9.8
30万6300F
3099
小",4568.png,0.4382716049382716,0.6516118063112079,0.9008089538318048,0.7321462612052438,小売業,0.0,3.0,21.7,0.8294710192237941,theme_bodyleft,"ー 5 & 5 ー 7 47 iåiillii'llilllli:: △ 79 2 事 11 東 P 23 Ⅱ 己 資 本 3 , 8 公 益 財 団 1 , 跖 303 自 町 自 己 、 高 安 ま 比 00 、 引 , 470 自 社 グ ル ー プ 取 引 先 れ 株 ム 18M0 ー 0 響 「 彳 ' ー 清 水 建 設 6 ー 」 1 1 【 指 標 等 】 く 〉 明 安 日 件 命 保 険 5G9 凵 高 安 日 ・ ROE 予 & 」 PMC 7 制 4 2 2 ー れ 幻 7 ROA ー 秘 自 社 グ ル ー プ 従 業 員 れ 株 ム 調 整 ー 株 益 14 4 0 最 高 023 ) 58,891 B ・ WT 幻 4 引 5 0 427 、",finance
2024Q2_PRE_ALIGNED,217,1980.T,ダイダン,建設業,0.8409170734234934,127.49165391181182,24.291498575965758,18.712429049678008,30.952385493687217,0.7541066223665398,15.987056991429004,66.66666666666666,87.21590433238968,15.0,1023.3333129882812,6273,127.49165391181182,2024-06-30,2024-06-30,13.1,13.1,25.3,13.1,13.1,medium,medium,low,low,low,"3425栋E楼
株伍指标
予想PER
（倍）
<25.3>
13.1
(26.3>
13.0
实PER
高值平均
10.3
安值平均
6.4
PBR
1.54
株倡(5/27)
8
3360m
1万体
最低購人额
24
10.3
33万6000F
1980
建",4150.png,0.4895833333333333,0.602319096844396,0.878650463014368,0.7235229126971789,建設業,0.0,3.0,13.1,0.8409170734234934,theme_wide,"【 株 式 】 45 , 俐 【 株 ド ~ 3 名 く ① 圏 . 5 日 本 マ ス タ ' 託 日 3 . 5 自 社 ( 自 ' ・ 2 5 例 → れ 一 務 ) く 2 3 〉 市 東 京 大 元 ↓ 幻 7 安 き 比 事 ー 有 ビ 147 東 島 24 ー 14 ー 【 指 標 等 】 〉 日 本 生 命 保 険 ROE 一 く 外 4 24 3 一 載 ー ROA & く 投 信 〉",finance
2024Q2_PRE_ALIGNED,519,2915.T,ケンコーマヨネーズ,食料品,0.7567926317425774,49.55489614243322,0.348432055749126,16.99868305765193,31.27090301003344,0.8601421984822504,22.117039586919105,75.0,85.60509554140128,0.0,2016.0,3945,49.55489614243322,2024-06-30,2024-06-30,13.3,13.3,25.3,13.3,13.3,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
13.3
(26.3>
13.1
实PER
高值平均
19.5
安值平均
12.0
PBR
0.77
株佰(5/27)
6
18829
E
最低購人额
24
7.2
18万82009
2915
菜未速加特
食",4471.png,0.7661290322580645,0.6612758433079433,0.697344662565788,0.7171469520996646,食料品,0.0,3.0,13.3,0.7567926317425774,theme_wide,"象 6 (OA . 2 24 ー 120 【 株 式 】 ー 476 俐 【 株 ド 名 コ マ ス タ ヨ 日 一 引 ー イ ー ア ン ド エ ー ー - 生 命 保 険 石 資 本 , 9 ル デ ィ ン グ ス ー れ ⅱ 3 有 4 ー キ , 0 ー マ ン 40 龕 安 統 日 ・ ROE 24 3 ROA 4 脇 ー く 外 0 く 瀞",finance
2024Q2_PRE_ALIGNED,305,3712.T,情報企画,情報・通信業,0.8164014404891446,47.22516790385296,-0.4778972520907976,10.498179346509234,16.06425702811245,0.8728036464487126,14.859926918392208,83.33333333333334,96.07843137254902,10.0,4165.0,5647,47.22516790385296,2024-06-30,2024-06-30,11.9,11.9,24.9,11.9,11.9,medium,medium,low,low,low,"株伍指标
1250
（倍）
予想PER
<24.9>
11.9
<25.9>
11.7
实PER
高值平均
13.2
安值平均
10.3
PBR
2.01
株倡(5/27)
6
3860m
最低購人额
21
38万6000P
速特
3712
情",4882.png,0.8527336860670194,0.5214023394994559,0.7237598210121915,0.7143682844781003,情報・通信業,0.0,3.0,11.9,0.8164014404891446,theme_wide,"偲 . 5 03 、 ( 浦 【 株 式 】 4 俐 【 株 ド ー 名 く ① 1 社 ( 自 己 株 ロ ) ー 務 ) く 2 〉 市 光 、 ぐ 6 , 7G3 自 参 員 持 株 会 4 本 5 ⅱ ン イ デ リ テ ィ 凵 ー → ー 翦 ・ 安 き 比 事 脇 ス ド ス ト , ク F 貶 第 G,727 、 ′ : イ i 0 み ら い 銀 行 5 24 ー ー 【 指 標 等 】 の 見 龕 安 統 ド 0 ・ 00 ・ 00 、 離 = わ 00 24 3 4 ROA 胼 ー く 外 〉 & 脇 く",finance
2024Q2_PRE_ALIGNED,637,2916.T,仙波糖化工業,食料品,0.726480429037774,15.98793363499247,5.342465753424652,6.156725347911113,8.755129958960328,0.6959177068167685,8.949416342412453,66.66666666666666,96.72955974842768,100.0,769.0,6534,15.98793363499247,2024-06-30,2024-06-30,13.1,13.1,25.3,13.1,13.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
13.1
(26.3>
12.5
实PER
高值平均
21.9
安值平均
19.0
PBR
0.71
幅(5/27)
747A
最低購人额
24
4.4
7万4700P
2916
品速粉特
食",4472.png,0.7862903225806451,0.6618403155603917,0.7170387233239324,0.7136450188758855,食料品,0.0,3.0,13.1,0.726480429037774,theme_bodyleft,".11 ー 7 【 株 式 】 & 乢 48 飛 【 株 ド 第 船 カ ー 1 阪 東 洋 水 名 く コ 〉 庸 075 ) ( 7 り 1 新 UMTEI) F ド イ ン ー , い 一 生 3 〉 而 ナ シ , ナ ル 側 12 一 Ⅱ 己 資 本 乢 足 利 銀 行 4.9 調 株 益 ROA 2 予 ー 賀 通 運 14 2 ROE ー 琿 研 ビ タ ミ ン 15 ー ・ 、 年 い ( 5 年 満 O.4S)",finance
2024Q2_PRE_ALIGNED,419,2607.T,不二製油,食料品,0.7833037981242552,41.51560926485398,16.909317803660564,9.571048194149224,20.07675217127853,0.5924624732379786,13.484646194926563,58.333333333333336,94.55004205214466,95.0,2810.5,6274,41.51560926485398,2024-06-30,2024-06-30,20.6,18.8,25.3,18.8,18.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
20.6
(26.3>
18.8
实PER
高值平均
30.5
安值平均
21.3
PBR
68-0
株倡(5/27)
2
2400m
最低購人额
24
3.0
24万所
2607
特
食",4359.png,0.4677419354838709,0.6734357997823721,0.835729275388066,0.713517908033725,食料品,0.0,3.0,20.6,0.7833037981242552,theme_bodyleft,"ー 5 : 0.1 80. 4 .11 東 P 6 ト 2 柄 訓 2 ー 7 6.4 5 7 生 3 〉 而 日 マ ス タ ー ぐ 日 0 7 Ⅱ 己 資 本 農 業 睫 幻 7 24 ー 3 響 「 ー : 伊 藤 忠 商 114 ロ 4 【 指 標 等 】 く 4 ・ 3 〉 日 本 斐 角 保 険 Ⅱ 0 6 ROA 1 議 ー 予 脇 く 月 1 ・ 9 、 勳 橆 最 高 ( .3 ) 16 , 5 戸 年 、 ( 0 年 満 、 、 ) 一 当 ト ・ 41 灘 t) 氿 幹 大 、 い ! ,",finance
2024Q2_PRE_ALIGNED,814,3179.T,シュッピン,小売業,0.6895935540701591,26.353149955634425,16.625716625716635,12.533819256470323,24.411508282476024,0.2904506877405067,23.71946414499606,50.0,99.78976874562018,100.0,1424.0,3248,26.353149955634425,2024-06-30,2024-06-30,10.1,10.1,25.3,10.1,10.1,medium,medium,low,low,low,"有正格
株伍指标
予想PER
（倍）
<25.3>
10.1
(26.3>
8.5
实PER
高值平均
14.9
安值平均
88
PBR
3-16
株倡(5/27)
8
12329
CIEH
最低購人额
24
31.5
12万32009
3179",4615.png,0.8256172839506173,0.616322089227421,0.7555696908796162,0.7006612903703373,小売業,0.0,3.0,10.1,0.6895935540701591,theme_bodyleft,"ー 5 躡 出 ー 7 2 ー 幻 .3 行 7 2 れ 2 1 1 匯 晉 ] 日 本 マ ス - 託 Ⅱ 自 。 ( 自 翆 国 司 肥 生 3 〉 日 本 カ ス ト プ イ 日 1 5 Ⅱ 己 資 本 8 : ー ン ト リ ー テ ィ ー 1 幻 ( ) 肥 制 7 ( 4 響 「 4 : 間 3 力 イ ス パ ン ク ・ ク イ ン テ ッ ト ( ル 14 1 【 指 標 等 】 く ド 紹 〉 ク ス C 灯 石 ( よ 2 Ⅱ 礙 44 ROA 145 ー 予 1 ラ ス ト ー 認 ー 1427 47 4 ⅸ 益 ( 幻 3 2 , 友 ↑ 命 保 険 四",finance
2024Q2_PRE_ALIGNED,378,3002.T,グンゼ,繊維製品,0.7942559821752423,27.71618625277161,4.347826086956519,7.485224891281544,10.93439363817097,0.8335927318760122,9.859154929577462,66.66666666666666,98.12606473594548,60.0,2880.0,6276,27.71618625277161,2024-06-30,2024-06-30,11.6,11.6,25.3,11.6,11.6,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
11.6
(26.3>
11.1
实PER
高值平均
22.0
安值平均
16.4
PBR
0.73
株倡(5/27)
5200m
三
最低購人额
24
4.4
52万内
3002
绒",4511.png,0.6063829787234043,0.5988438520130576,0.7559259843219115,0.6992727231610817,繊維製品,0.0,3.0,11.6,0.7942559821752423,theme_bodyleft,四 ー 7 17.1 東 P 4 2 1 ー 5 28 第 : 0.1 第 0 → ー 高 76 ー 32 加 町 一 1 Ⅱ 己 資 本 118 2 目 社 グ ル ー プ 従 業 員 持 株 ム 071 全 聞 ミ 済 業 協 ト 安 4 和 物 「 8 躡 プ バ 読 乙 1 【 指 標 等 】 く 4 ・ 3 〉 第 ・ 生 命 保 険 高 安 呂 ・ ROE 4 俺 G ク レ オ ス 幻 ー 5 2 ROA 予 4 ー 損 害 保 険 ジ ャ パ ン 19 い,finance
