date,ticker,sector,action,price,shares,cash_after,signal_score,signal_basis_date,reason
2025-07-01,6040.T,サービス業,BUY,518.665,100,2948133.5,0.4076460629976288,2025-06-30,buy_breakout_up
2025-07-01,6644.T,電気機器,BUY,973.3849999999999,100,2850795.0,0.38605033643526365,2025-06-30,buy_breakout_up
2025-07-01,1980.T,建設業,BUY,1503.8916253662107,100,2700405.837463379,0.3725857595849503,2025-06-30,buy_breakout_up
2025-07-01,1972.T,建設業,BUY,1295.1399999999999,100,2570891.837463379,0.36876332938490763,2025-06-30,buy_breakout_up
2025-07-01,6540.T,サービス業,BUY,1641.2549999999999,100,2406766.337463379,0.36356919932168597,2025-06-30,buy_breakout_up
2025-07-01,2981.T,不動産業,BUY,1710.2749999999999,100,2235738.837463379,0.3550129607302152,2025-06-30,buy_breakout_up
2025-07-01,1810.T,建設業,BUY,1114.4699999999998,200,2012844.837463379,0.3404933088680928,2025-06-30,buy_breakout_up
2025-07-01,2130.T,サービス業,BUY,1276.87,200,1757470.837463379,0.3291071957107835,2025-06-30,buy_breakout_up
2025-07-01,3683.T,情報・通信業,BUY,1273.8249999999998,200,1502705.837463379,0.3234557361081499,2025-06-30,buy_breakout_up
2025-07-01,9409.T,情報・通信業,BUY,2835.91,100,1219114.837463379,0.32328570559011316,2025-06-30,buy_breakout_up
2025-07-02,2130.T,サービス業,SELL,1219.0,200,1462914.837463379,0.33191066041676137,2025-07-01,sell_signal
2025-07-02,3683.T,情報・通信業,SELL,1233.0,200,1709514.837463379,0.3251628975301803,2025-07-01,sell_signal
2025-07-03,2981.T,不動産業,SELL,1664.0,100,1875914.837463379,0.32336851229992253,2025-07-02,sell_signal
2025-07-03,9409.T,情報・通信業,SELL,2671.0,100,2143014.837463379,0.34162475424347694,2025-07-02,stop_loss
2025-07-03,1975.T,建設業,BUY,2585.205,100,1884494.337463379,0.5209291047443816,2025-07-02,buy_breakout_up
2025-07-03,9768.T,サービス業,BUY,3136.35,600,2684.3374633789062,0.31625610976549307,2025-07-02,buy_breakout_up
2025-07-04,1972.T,建設業,SELL,1272.0,100,129884.3374633789,0.36816433902207657,2025-07-03,sell_signal
2025-07-08,6540.T,サービス業,SELL,1822.0,100,312084.3374633789,0.5009540793469296,2025-07-07,take_profit
2025-07-11,1810.T,建設業,SELL,1223.0,200,556684.3374633789,0.42887400113119817,2025-07-10,take_profit
2025-07-11,9882.T,卸売業,BUY,1551.935,300,91103.8374633789,0.34859214916738274,2025-07-10,buy_breakout_up
2025-07-25,6644.T,電気機器,SELL,1059.0,100,197003.8374633789,0.43809976953105295,2025-07-24,take_profit
2025-07-30,9768.T,サービス業,SELL,3240.0,600,2141003.837463379,0.4016550522099557,2025-07-29,sell_signal
2025-07-31,9449.T,情報・通信業,BUY,3739.2599999999998,500,271373.83746337914,0.4057227136046095,2025-07-30,buy_breakout_up
2025-08-05,6040.T,サービス業,SELL,540.0,100,325373.83746337914,0.3950404511046924,2025-08-04,sell_signal
2025-08-05,1980.T,建設業,SELL,1626.6666259765625,100,488040.5000610354,0.43372972909321506,2025-08-04,take_profit
2025-08-05,9882.T,卸売業,SELL,1533.0,300,947940.5000610354,0.36195929427713136,2025-08-04,sell_signal
2025-08-06,1975.T,建設業,SELL,2852.0,100,1233140.5000610354,0.5635859088205917,2025-08-05,take_profit
2025-08-06,1808.T,建設業,BUY,2324.35,200,768270.5000610354,0.38334244476554347,2025-08-05,buy_breakout_up
2025-08-06,9882.T,卸売業,BUY,1555.995,400,145872.5000610354,0.360859887648311,2025-08-05,buy_breakout_up
2025-08-08,9882.T,卸売業,SELL,1618.0,400,793072.5000610354,0.3732065007589961,2025-08-07,sell_signal
2025-08-08,6554.T,サービス業,BUY,1187.55,600,80542.50006103539,0.4218909654814517,2025-08-07,buy_breakout_up
2025-08-12,6554.T,サービス業,SELL,1119.0,600,751942.5000610354,0.4129720482406435,2025-08-08,stop_loss
2025-08-14,9449.T,情報・通信業,SELL,3786.0,500,2644942.500061035,0.45905703331887876,2025-08-13,sell_signal
2025-08-18,4507.T,医薬品,BUY,2665.8974999999996,400,1578583.5000610354,0.4205880664631589,2025-08-15,buy_breakout_up
2025-08-20,1948.T,建設業,BUY,2392.3549999999996,200,1100112.5000610356,0.4345426520603027,2025-08-19,buy_breakout_up
2025-08-20,2805.T,食料品,BUY,3182.0249999999996,300,145505.00006103574,0.3456288765783244,2025-08-19,buy_breakout_up
2025-08-21,1948.T,建設業,SELL,2481.0,200,641705.0000610357,0.43952325968585254,2025-08-20,sell_signal
2025-08-22,4507.T,医薬品,SELL,2580.5,400,1673905.0000610356,0.3942130568386604,2025-08-21,sell_signal
2025-08-22,2805.T,食料品,SELL,3165.0,300,2623405.0000610356,0.34872127154764204,2025-08-21,sell_signal
2025-08-25,2805.T,食料品,BUY,3212.475,800,53425.00006103562,0.341059041388634,2025-08-22,buy_breakout_up
2025-09-08,1808.T,建設業,SELL,2528.5,200,559125.0000610356,0.4393038203769389,2025-09-05,take_profit
2025-09-08,2805.T,食料品,SELL,3430.0,800,3303125.0000610356,0.3728776538802842,2025-09-05,sell_signal
2025-09-09,2805.T,食料品,BUY,3481.45,900,169820.00006103562,0.3933978490431829,2025-09-08,buy_breakout_up
2025-09-22,2805.T,食料品,SELL,3405.0,900,3234320.0000610356,0.39369058360205433,2025-09-19,sell_signal
