dataset_id,learning_date,training_cutoff_date,image_count_total,image_count_existing,image_count_new,image_no_existing_max,selected_count,output_dir,source_image_dir
q3_pre_analysis_20250630_full,2025-06-30,2025-06-30,3946.0,3946.0,0.0,3951.0,8.0,projects\quarterly_ranker\output\q3_pre_analysis_20250630_full,C:\Users\mitsu\OneDrive\ドキュメント\四季報DB2025\3Q
4q2_selection_20251231,2025-12-31,2025-12-31,,,,,,projects/shikiho_text_parser/output/4q2_selection,C:/Users/mitsu/OneDrive/ドキュメント/四季報DB2025/4Q-2
