ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
3289.T,225/不動産,不動産業,2026-01-05,2026-01-06,100,1436.1449999999998,1468.0,3185.5000000000246,2.2180907916679926,sell_signal
1879.T,建設/建設・土木,建設業,2026-01-05,2026-01-06,500,2045.1749999999997,2040.0,-2587.4999999998636,-0.2530345813927748,sell_signal
3352.T,小売/他消費財小売り,小売業,2026-01-06,2026-01-09,100,1620.0,1624.0,400.0,0.24691358024691024,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-09,200,1070.3249999999998,1070.0,-64.99999999996362,-0.030364608880462107,sell_signal
8344.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-13,100,1943.6699999999998,2130.0,18633.000000000015,9.5865038818318,take_profit
7184.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-13,100,1807.0,1975.0,16800.0,9.297177642501374,take_profit
8600.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-15,100,787.0,852.0,6500.0,8.2592121982211,take_profit
5697.T,鉄鋼/鉄鋼,鉄鋼,2026-01-05,2026-01-16,600,743.6999999999999,835.0,54780.000000000044,12.276455560037668,take_profit
6343.T,機械/住宅建設,機械,2026-01-05,2026-01-20,800,165.0,179.0,11200.0,8.484848484848495,take_profit
9791.T,大幅強気/増額,サービス業,2026-01-06,2026-01-20,100,1411.0,1388.0,-2300.0,-1.6300496102055306,sell_signal
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-16,2026-01-21,100,4495.0,4359.0,-13600.0,-3.025583982202451,sell_signal
7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-01-05,2026-01-22,500,816.06,892.0,37970.00000000003,9.30568830723233,take_profit
3352.T,小売/他消費財小売り,小売業,2026-01-13,2026-01-23,500,1630.0,1639.0,4500.0,0.5521472392638005,sell_signal
3388.T,卸売/電子部品・産業用電子機器,卸売業,2026-01-05,2026-01-27,100,2368.0,2365.0,-300.0,-0.1266891891891886,sell_signal
8154.T,卸売/電子部品・産業用電子機器,卸売業,2026-01-06,2026-01-27,100,3934.5749999999994,3870.0,-6457.499999999936,-1.6412191913993124,sell_signal
