condition_name,initial_capital,final_capital,total_return_pct,num_buys,num_roundtrips,win_rate_pct,avg_roundtrip_return_pct,max_drawdown_pct,dd_threshold,nk_threshold,ma_window,early_tp_buffer_pct,early_sl_buffer_pct,early_exit_enabled
dd2_nkm0p005_ma5_tp1p5_sl2p0,3000000.0,3281295.25,9.376508333333344,28,28,64.28571428571429,2.669581839762562,-6.695783760589635,2.0,-0.005,5,1.5,2.0,True
dd2_nkm0p01_ma5_tp1p5_sl2p0,3000000.0,3281295.25,9.376508333333344,28,28,64.28571428571429,2.669581839762562,-6.695783760589635,2.0,-0.01,5,1.5,2.0,True
dd3_nkm0p005_ma5_tp0p5_sl1p0,3000000.0,3272295.5,9.076516666666667,28,28,64.28571428571429,2.815616951366325,-6.981806594412287,3.0,-0.005,5,0.5,1.0,True
dd2_nkm0p005_ma5_tp1p0_sl2p0,3000000.0,3265574.5,8.852483333333328,28,28,64.28571428571429,2.6151383780225927,-6.816132581745638,2.0,-0.005,5,1.0,2.0,True
dd2_nkm0p01_ma5_tp1p0_sl2p0,3000000.0,3265574.5,8.852483333333328,28,28,64.28571428571429,2.6151383780225927,-6.816132581745638,2.0,-0.01,5,1.0,2.0,True
dd2_nkm0p01_ma5_tp0p5_sl2p0,3000000.0,3261870.5,8.729016666666656,28,28,67.85714285714286,2.6797400324911504,-6.829811868003333,2.0,-0.01,5,0.5,2.0,True
dd2_nkm0p005_ma5_tp0p5_sl2p0,3000000.0,3261870.5,8.729016666666656,28,28,67.85714285714286,2.6797400324911504,-6.829811868003333,2.0,-0.005,5,0.5,2.0,True
dd2_nkm0p005_ma10_tp1p5_sl2p0,3000000.0,3256499.25,8.54997500000001,28,28,64.28571428571429,2.6770593230520032,-7.086155265161754,2.0,-0.005,10,1.5,2.0,True
dd2_nkm0p01_ma10_tp1p5_sl2p0,3000000.0,3256499.25,8.54997500000001,28,28,64.28571428571429,2.6770593230520032,-7.086155265161754,2.0,-0.01,10,1.5,2.0,True
dd2_nkm0p005_ma5_tp1p5_sl3p0,3000000.0,3247360.25,8.245341666666661,28,28,64.28571428571429,2.547623565116506,-7.225607236528553,2.0,-0.005,5,1.5,3.0,True
dd2_nkm0p01_ma5_tp1p5_sl3p0,3000000.0,3247360.25,8.245341666666661,28,28,64.28571428571429,2.547623565116506,-7.225607236528553,2.0,-0.01,5,1.5,3.0,True
dd3_nkm0p005_ma5_tp0p5_sl2p0,3000000.0,3243374.5,8.112483333333342,28,28,64.28571428571429,2.658232912275952,-7.614575154554737,3.0,-0.005,5,0.5,2.0,True
dd2_nkm0p01_ma10_tp1p0_sl2p0,3000000.0,3241278.5,8.042616666666657,28,28,64.28571428571429,2.6359440766106923,-7.437536009970181,2.0,-0.01,10,1.0,2.0,True
dd2_nkm0p005_ma10_tp1p0_sl2p0,3000000.0,3241278.5,8.042616666666657,28,28,64.28571428571429,2.6359440766106923,-7.437536009970181,2.0,-0.005,10,1.0,2.0,True
dd2_nkm0p01_ma10_tp0p5_sl2p0,3000000.0,3237574.5,7.919150000000008,28,28,67.85714285714286,2.70054573107925,-7.6274902550865225,2.0,-0.01,10,0.5,2.0,True
dd2_nkm0p005_ma10_tp0p5_sl2p0,3000000.0,3237574.5,7.919150000000008,28,28,67.85714285714286,2.70054573107925,-7.6274902550865225,2.0,-0.005,10,0.5,2.0,True
dd2_nkm0p01_ma10_tp1p5_sl3p0,3000000.0,3237516.25,7.9172083333333365,28,28,64.28571428571429,2.590172601927994,-7.586893567708442,2.0,-0.01,10,1.5,3.0,True
dd2_nkm0p005_ma10_tp1p5_sl3p0,3000000.0,3237516.25,7.9172083333333365,28,28,64.28571428571429,2.590172601927994,-7.586893567708442,2.0,-0.005,10,1.5,3.0,True
dd2_nkm0p005_ma5_tp1p0_sl3p0,3000000.0,3231639.5,7.721316666666667,28,28,64.28571428571429,2.493180103376536,-7.578725139998388,2.0,-0.005,5,1.0,3.0,True
dd2_nkm0p01_ma5_tp1p0_sl3p0,3000000.0,3231639.5,7.721316666666667,28,28,64.28571428571429,2.493180103376536,-7.578725139998388,2.0,-0.01,5,1.0,3.0,True
dd2_nkm0p01_ma5_tp0p5_sl3p0,3000000.0,3227935.5,7.597849999999995,28,28,67.85714285714286,2.557781757845094,-7.7688445198702105,2.0,-0.01,5,0.5,3.0,True
dd2_nkm0p005_ma5_tp0p5_sl3p0,3000000.0,3227935.5,7.597849999999995,28,28,67.85714285714286,2.557781757845094,-7.7688445198702105,2.0,-0.005,5,0.5,3.0,True
dd3_nkm0p005_ma5_tp0p5_sl3p0,3000000.0,3224391.5,7.479716666666669,28,28,64.28571428571429,2.571346191151942,-8.114840401829237,3.0,-0.005,5,0.5,3.0,True
dd2_nkm0p01_ma10_tp1p0_sl3p0,3000000.0,3222295.5,7.409850000000007,28,28,64.28571428571429,2.549057355486682,-7.938988662875957,2.0,-0.01,10,1.0,3.0,True
dd2_nkm0p005_ma10_tp1p0_sl3p0,3000000.0,3222295.5,7.409850000000007,28,28,64.28571428571429,2.549057355486682,-7.938988662875957,2.0,-0.005,10,1.0,3.0,True
dd2_nkm0p005_ma10_tp0p5_sl3p0,3000000.0,3218591.5,7.286383333333335,28,28,67.85714285714286,2.61365900995524,-8.128612098363341,2.0,-0.005,10,0.5,3.0,True
dd2_nkm0p01_ma10_tp0p5_sl3p0,3000000.0,3218591.5,7.286383333333335,28,28,67.85714285714286,2.61365900995524,-8.128612098363341,2.0,-0.01,10,0.5,3.0,True
dd2_nkm0p01_ma5_tp1p5_sl1p0,3000000.0,3117784.25,3.9261416666666715,28,28,60.71428571428571,2.4628517262506855,-6.774429430110884,2.0,-0.01,5,1.5,1.0,True
dd2_nkm0p005_ma5_tp1p5_sl1p0,3000000.0,3117784.25,3.9261416666666715,28,28,60.71428571428571,2.4628517262506855,-6.774429430110884,2.0,-0.005,5,1.5,1.0,True
dd2_nkm0p01_ma5_tp1p0_sl1p0,3000000.0,3102063.5,3.402116666666677,28,28,60.71428571428571,2.4084082645107165,-6.894778251266887,2.0,-0.01,5,1.0,1.0,True
dd2_nkm0p005_ma5_tp1p0_sl1p0,3000000.0,3102063.5,3.402116666666677,28,28,60.71428571428571,2.4084082645107165,-6.894778251266887,2.0,-0.005,5,1.0,1.0,True
dd2_nkm0p01_ma5_tp0p5_sl1p0,3000000.0,3098359.5,3.278650000000005,28,28,64.28571428571429,2.4730099189792747,-6.799057775368544,2.0,-0.01,5,0.5,1.0,True
dd2_nkm0p005_ma5_tp0p5_sl1p0,3000000.0,3098359.5,3.278650000000005,28,28,64.28571428571429,2.4730099189792747,-6.799057775368544,2.0,-0.005,5,0.5,1.0,True
dd2_nkm0p01_ma10_tp1p5_sl1p0,3000000.0,3078036.25,2.601208333333327,28,28,60.71428571428571,2.4352576560180785,-6.869184100601922,2.0,-0.01,10,1.5,1.0,True
dd2_nkm0p005_ma10_tp1p5_sl1p0,3000000.0,3078036.25,2.601208333333327,28,28,60.71428571428571,2.4352576560180785,-6.869184100601922,2.0,-0.005,10,1.5,1.0,True
dd2_nkm0p01_ma10_tp1p0_sl1p0,3000000.0,3062815.5,2.093849999999997,28,28,60.71428571428571,2.394142409576768,-7.242132369203613,2.0,-0.01,10,1.0,1.0,True
dd2_nkm0p005_ma10_tp1p0_sl1p0,3000000.0,3062815.5,2.093849999999997,28,28,60.71428571428571,2.394142409576768,-7.242132369203613,2.0,-0.005,10,1.0,1.0,True
dd2_nkm0p01_ma10_tp0p5_sl1p0,3000000.0,3059111.5,1.9703833333333254,28,28,64.28571428571429,2.4587440640453258,-7.444044048924681,2.0,-0.01,10,0.5,1.0,True
dd2_nkm0p005_ma10_tp0p5_sl1p0,3000000.0,3059111.5,1.9703833333333254,28,28,64.28571428571429,2.4587440640453258,-7.444044048924681,2.0,-0.005,10,0.5,1.0,True
dd3_nk0p0_ma10_tp1p0_sl3p0,3000000.0,3037030.5,1.2343500000000063,28,28,78.57142857142857,0.6958303089974832,-6.947601807635517,3.0,0.0,10,1.0,3.0,True
dd3_nk0p0_ma5_tp1p0_sl3p0,3000000.0,3037030.5,1.2343500000000063,28,28,78.57142857142857,0.6958303089974832,-6.947601807635517,3.0,0.0,5,1.0,3.0,True
dd2_nk0p0_ma10_tp1p0_sl3p0,3000000.0,3037030.5,1.2343500000000063,28,28,78.57142857142857,0.6958303089974832,-6.947601807635517,2.0,0.0,10,1.0,3.0,True
dd2_nk0p0_ma5_tp1p0_sl3p0,3000000.0,3037030.5,1.2343500000000063,28,28,78.57142857142857,0.6958303089974832,-6.947601807635517,2.0,0.0,5,1.0,3.0,True
dd2_nk0p0_ma5_tp1p5_sl3p0,3000000.0,3028871.0,0.9623666666666697,28,28,75.0,0.7343197883865112,-6.965473388068222,2.0,0.0,5,1.5,3.0,True
dd2_nk0p0_ma10_tp1p5_sl3p0,3000000.0,3028871.0,0.9623666666666697,28,28,75.0,0.7343197883865112,-6.965473388068222,2.0,0.0,10,1.5,3.0,True
dd3_nk0p0_ma5_tp1p5_sl3p0,3000000.0,3028871.0,0.9623666666666697,28,28,75.0,0.7343197883865112,-6.965473388068222,3.0,0.0,5,1.5,3.0,True
