start,end,days,start_close,end_close,period_return_pct,ret20_start_pct,ret5_min_pct,min_dd20_pct,avg_vol10_pct,max_vol10_pct
2021-05-13,2021-05-17,3,27448.01,27824.83,1.37,-7.79,-6.42,-7.74,1.65,1.74
2021-10-05,2021-10-05,1,27822.12,27822.12,0.0,-4.48,-7.82,-9.29,1.38,1.38
2021-10-07,2021-10-07,1,27678.21,27678.21,0.0,-7.48,-6.02,-9.76,1.38,1.38
2021-12-20,2021-12-20,1,27937.81,27937.81,0.0,-6.08,-2.45,-6.17,1.5,1.5
2022-01-19,2022-01-20,2,27467.23,27772.93,1.11,-3.78,-4.51,-6.36,1.53,1.57
2022-01-25,2022-01-25,1,27131.34,27131.34,0.0,-5.79,-3.98,-7.5,1.42,1.42
2022-01-27,2022-01-31,3,26170.3,27001.98,3.18,-8.74,-5.77,-10.78,1.59,1.7
2022-02-24,2022-02-24,1,25970.82,25970.82,0.0,-4.28,-5.42,-6.23,1.38,1.38
2022-03-04,2022-03-11,6,25985.47,25162.78,-3.17,-5.62,-7.65,-10.75,1.76,2.12
2022-09-21,2022-09-22,2,27313.13,27153.83,-0.58,-4.01,-4.55,-5.19,1.43,1.43
2022-10-12,2022-10-13,2,26396.83,26237.42,-0.6,-6.44,-3.26,-8.31,1.62,1.65
2023-10-23,2023-10-23,1,30999.55,30999.55,0.0,-4.33,-2.08,-5.14,1.48,1.48
2024-07-18,2024-07-18,1,40126.35,40126.35,0.0,4.03,-4.08,-4.97,1.4,1.4
2024-07-22,2024-07-23,2,39599.0,39594.39,-0.01,2.6,-4.07,-6.23,1.39,1.39
2024-07-29,2024-07-30,2,38468.63,38525.95,0.15,-2.82,-2.85,-8.89,1.47,1.47
2024-08-02,2024-08-09,6,35909.7,35025.0,-2.46,-12.23,-18.22,-25.5,4.98,5.86
2024-09-05,2024-09-11,5,36657.09,35619.77,-2.83,4.47,-6.53,-7.96,1.41,1.45
2025-03-10,2025-03-10,1,37028.27,37028.27,0.0,-5.22,-2.0,-6.17,1.42,1.42
2025-03-12,2025-03-12,1,36819.09,36819.09,0.0,-5.11,-1.6,-6.7,1.39,1.39
2025-03-31,2025-04-09,8,35617.56,31714.03,-10.96,-4.14,-12.58,-18.12,2.19,3.62
2025-11-18,2025-11-25,5,48702.98,48659.52,-0.09,-0.98,-4.95,-7.39,1.6,1.74
2026-03-04,2026-03-10,5,54245.54,54248.39,0.01,3.02,-9.18,-10.4,2.19,2.71
2026-03-13,2026-03-13,1,53819.61,53819.61,0.0,-6.63,-3.24,-8.55,2.6,2.6
