variant,dataset,total_return_pct,final_capital,num_buys
pre1_post5_except_crash,q2_2024,-1.1542965108235714,2965371.104675293,53.0
pre1_post5_except_crash,q3,17.728935839843807,3531868.0751953144,50.0
pre1_post5_except_crash,q4,38.711299991862006,4161338.9997558603,41.0
pre1_post5_except_crash,4q2,12.842083333333365,3385262.500000001,43.0
pre1_post5_except_crash,TOTAL,17.032005663553896,14043840.679626469,
gold_1328_crash,q2_2024,-10.711834965006506,2678644.9510498047,18.0
gold_1328_crash,q3,17.728935839843807,3531868.0751953144,50.0
gold_1328_crash,q4,38.711299991862006,4161338.9997558603,41.0
gold_1328_crash,4q2,18.178750000000022,3545362.500000001,50.0
gold_1328_crash,TOTAL,15.976787716674835,13917214.52600098,
gold_1328_crash_highvol,q2_2024,-7.030818298339847,2789075.4510498047,14.0
gold_1328_crash_highvol,q3,11.537338753255245,3346120.162597657,46.0
gold_1328_crash_highvol,q4,4.343677506510413,3130310.3251953125,19.0
gold_1328_crash_highvol,4q2,13.499716666666671,3404991.5,43.0
gold_1328_crash_highvol,TOTAL,5.587478657023115,12670497.438842773,
gold_1540_crash,q2_2024,-10.711834965006506,2678644.9510498047,18.0
gold_1540_crash,q3,17.728935839843807,3531868.0751953144,50.0
gold_1540_crash,q4,38.711299991862006,4161338.9997558603,41.0
gold_1540_crash,4q2,18.178750000000022,3545362.500000001,50.0
gold_1540_crash,TOTAL,15.976787716674835,13917214.52600098,
