method,total_final_capital,total_return_pct,total_buys
pre1,13540842.95581055,12.840357965087911,156
pre3,13499213.60626221,12.493446718851754,154
v31,13328241.244995119,11.068677041625996,119
pre5,13191401.218078613,9.928343483988433,144
