ticker,trades_cond1,pnl_cond1,avg_ret_cond1,trades_cond2,pnl_cond2,avg_ret_cond2,present_cond1,present_cond2,status,pnl_diff_cond2_minus_cond1
1768.T,2.0,-304500.0,-2.9207943637706073,1.0,-27452.999999999927,-5.517603149815187,True,True,common,277047.00000000006
7241.T,1.0,3500.0,0.4694835680751241,3.0,162387.5000000001,1.1779652449758686,True,True,common,158887.5000000001
3352.T,3.0,-14600.0,-0.4911830424498869,1.0,34000.0,20.60606060606061,True,True,common,48600.0
7231.T,2.0,24500.0,3.9240055970238323,1.0,26305.00000000002,8.279954043972992,True,True,common,1805.0000000000182
6343.T,1.0,11200.0,8.484848484848495,1.0,10820.000000000004,8.075832213763245,True,True,common,-379.99999999999636
3289.T,2.0,4650.0,0.27159964432599293,2.0,3929.000000000019,0.7462539563254156,True,True,common,-720.9999999999809
3388.T,1.0,-300.0,-0.1266891891891886,1.0,-3851.999999999998,-1.6026494474770336,True,True,common,-3551.999999999998
9405.T,1.0,26600.0,2.3427866831072786,2.0,-23084.999999999927,-2.6801041884799037,True,True,common,-49684.99999999993
9531.T,1.0,104000.0,8.34403080872914,1.0,52052.00000000005,8.228940728608736,True,True,common,-51947.99999999995
7184.T,2.0,121800.0,8.477910484270378,2.0,47737.500000000306,0.3484745365643471,True,True,common,-74062.4999999997
1879.T,2.0,900.0,-0.7660387660387623,1.0,-84801.49999999999,-5.569513756554157,True,True,common,-85701.49999999999
