post_table_name,other_table_name,post_rule_name,other_rule_name,total_final_capital,total_return_pct,avg_max_drawdown_pct,q2_2024_return_pct,q2_2024_final_capital,q3_return_pct,q3_final_capital,q4_return_pct,q4_final_capital,4q2_return_pct,4q2_final_capital
defensive_top5,momentum_top20,defensive,defensive,12969601.674804688,8.080013956705724,-6.292757541397109,15.573955826822928,3467218.6748046875,25.187699999999992,3755631.0,-6.703599999999998,2798892.0,-1.737999999999995,2947860.0
defensive_top10,momentum_top20,defensive,normal,12936903.174804688,7.807526456705727,-6.138141573123337,15.46553916015625,3463966.1748046875,20.59891666666669,3617967.500000001,-1.3909999999999978,2958270.0,-3.4433499999999895,2896699.5000000005
defensive_top10,momentum_top20,defensive,defensive,12916624.674804688,7.6385389567057205,-5.868973338695973,15.573955826822928,3467218.6748046875,21.571833333333323,3647155.0,-5.505099999999996,2834847.0,-1.0865333333333282,2967404.0
none,regular_top30,defensive,defensive,12907816.557495117,7.565137979125969,-6.747047994603511,16.154118583170572,3484623.557495117,14.35293333333334,3430588.0,-6.8272333333333375,2795183.0,6.580733333333333,3197422.0
none,regular_top30,normal,defensive,12907816.557495117,7.565137979125969,-6.747047994603511,16.154118583170572,3484623.557495117,14.35293333333334,3430588.0,-6.8272333333333375,2795183.0,6.580733333333333,3197422.0
defensive_top5,momentum_top20,defensive,normal,12905965.174804688,7.549709790039061,-6.310875997314513,15.46553916015625,3463966.1748046875,21.488116666666702,3644643.500000001,-2.6599999999999957,2920200.0,-4.094816666666656,2877155.5000000005
post_high_vol_top20,momentum_top20,defensive,normal,12842244.650146484,7.018705417887361,-6.798550181206339,13.326772493489592,3399803.1748046875,20.58534917805992,3617560.475341798,-2.1096000000000004,2936712.0,-3.7276999999999894,2888169.0000000005
post_high_vol_top20,momentum_top20,defensive,defensive,12814933.650146484,6.791113751220701,-6.6759920930200085,13.375689160156256,3401270.6748046875,21.43013251139323,3642903.975341797,-6.199066666666663,2814028.0,-1.4422999999999964,2956731.0
post_high_vol_top20,regular_top20,defensive,defensive,12750844.252319336,6.2570354359944735,-5.881275475083247,2.8464092325846346,3085392.276977539,16.720899178059902,3501626.975341797,-5.347000000000001,2839590.0,10.807833333333328,3324235.0
defensive_top5,regular_top30,defensive,defensive,12708852.557495117,5.907104645792649,-8.473044809625966,18.48748524983723,3554624.557495117,6.918099999999994,3207543.0,-6.8272333333333375,2795183.0,5.050066666666675,3151502.0
none,regular_top30,defensive,normal,12646909.689880373,5.390914082336451,-8.505766009859862,14.208506329345717,3426255.1898803716,17.32495000000005,3519748.5000000014,-10.676416666666654,2679707.5000000005,0.7066166666666929,3021198.5000000005
none,regular_top30,normal,normal,12646909.689880373,5.390914082336451,-8.505766009859862,14.208506329345717,3426255.1898803716,17.32495000000005,3519748.5000000014,-10.676416666666654,2679707.5000000005,0.7066166666666929,3021198.5000000005
none,momentum_top20,defensive,normal,12639527.174804688,5.329393123372395,-4.729244522324972,7.249505826822911,3217485.1748046875,18.77118333333336,3563135.500000001,-2.6599999999999957,2920200.0,-2.0431166666666334,2938706.500000001
none,momentum_top20,normal,normal,12639527.174804688,5.329393123372395,-4.729244522324972,7.249505826822911,3217485.1748046875,18.77118333333336,3563135.500000001,-2.6599999999999957,2920200.0,-2.0431166666666334,2938706.500000001
defensive_top10,regular_top20,defensive,defensive,12620752.000610352,5.172933338419594,-6.643809667922096,2.2819333536783892,3068458.0006103516,14.66253333333334,3439876.0,-4.628399999999999,2861148.0,8.375666666666671,3251270.0
defensive_top5,regular_top20,defensive,defensive,12615130.878540039,5.126090654500315,-6.707752258448895,3.0082292846679737,3090246.878540039,15.436133333333334,3463084.0,-5.747033333333329,2827589.0,7.807033333333324,3234211.0
none,momentum_top20,defensive,defensive,12602394.674804688,5.019955623372385,-4.8051221622984,7.298422493489576,3218952.6748046875,19.626033333333325,3588781.0,-6.703599999999998,2798892.0,-0.14103333333332913,2995769.0
none,momentum_top20,normal,defensive,12602394.674804688,5.019955623372385,-4.8051221622984,7.298422493489576,3218952.6748046875,19.626033333333325,3588781.0,-6.703599999999998,2798892.0,-0.14103333333332913,2995769.0
post_high_vol_top20,regular_top30,defensive,defensive,12590350.829711914,4.9195902475992925,-9.471342241493678,17.115561812337244,3513466.854370117,7.549565844726569,3226486.975341797,-11.073166666666667,2667805.0,6.086400000000003,3182592.0
defensive_top10,regular_top30,defensive,defensive,12561122.029174805,4.676016909790048,-9.669047368431405,16.36406763916016,3490922.0291748047,7.696766666666677,3230903.0,-11.073166666666667,2667805.0,5.716399999999999,3171492.0
none,regular_top20,defensive,defensive,12526883.878540039,4.390698987833663,-5.047739635135434,1.024762618001307,3030742.878540039,12.268400000000002,3368052.0,-5.747033333333329,2827589.0,10.016666666666673,3300500.0
none,regular_top20,normal,defensive,12526883.878540039,4.390698987833663,-5.047739635135434,1.024762618001307,3030742.878540039,12.268400000000002,3368052.0,-5.747033333333329,2827589.0,10.016666666666673,3300500.0
defensive_top10,momentum_top20,normal,normal,12482481.67480469,4.020680623372419,-6.664703235378891,2.8962058268229285,3086886.174804688,18.70811666666672,3561243.500000002,-1.6264999999999974,2951205.0,-3.8950999999999847,2883147.0000000005
post_high_vol_top20,regular_top20,normal,defensive,12472488.776611328,3.9374064717610624,-5.686437503821936,-3.878090767415354,2883657.2769775395,15.377399987792995,3461321.9996337895,-5.68143333333333,2829557.0,9.931749999999994,3297952.5
defensive_top10,momentum_top20,normal,defensive,12462352.174804688,3.852934790039053,-6.415833109551405,3.004622493489606,3090138.674804688,19.72736666666668,3591821.0000000005,-5.7275166666666655,2828174.5,-1.5927333333333293,2952218.0
defensive_top5,momentum_top20,normal,normal,12438675.174804691,3.655626456705763,-6.961792089433258,2.8962058268229285,3086886.174804688,18.897183333333388,3566915.500000002,-2.6599999999999957,2920200.0,-4.510883333333304,2864673.500000001
defensive_top5,regular_top30,normal,defensive,12436444.057495117,3.6370338124593005,-8.325299674186171,11.324685249837273,3339740.557495118,5.49440000000001,3164832.0,-6.8272333333333375,2795183.0,4.556283333333333,3136688.5
defensive_top5,momentum_top20,normal,defensive,12408293.674804688,3.402447290039068,-7.014654455152385,3.004622493489606,3090138.674804688,19.75203333333335,3592561.0000000005,-6.703599999999998,2798892.0,-2.4432666666666547,2926702.0000000005
defensive_top5,regular_top30,defensive,normal,12407870.689880373,3.3989224156697695,-10.146155274107945,15.71128966267905,3471338.6898803716,9.329283333333361,3279878.500000001,-10.676416666666654,2679707.5000000005,-0.7684666666666562,2976946.0000000005
