ticker,start_price,end_price,return_pct
9532.T,3580.0,3224.0,-9.944134078212286
9508.T,1679.0,1562.5,-6.938653960690888
9533.T,3932.0,3969.0,0.9409969481180003
9506.T,1470.0,1371.0,-6.734693877551024
9503.T,2722.0,2370.0,-12.931667891256426
9507.T,1399.5,1272.5,-9.074669524830291
9509.T,1211.0,965.2999877929688,-20.289018349052956
9534.T,689.0,596.0,-13.497822931785198
9501.T,872.7000122070312,636.9000244140625,-27.01959258561689
9539.T,936.6666870117188,868.0,-7.330962866928525
9513.T,2525.0,2395.0,-5.148514851485153
9505.T,1026.5,924.7999877929688,-9.90745369771371
9537.T,3625.0,3575.0,-1.379310344827589
9535.T,400.0,384.0,-4.0000000000000036
9502.T,1917.0,1681.0,-12.310902451747518
9531.T,3477.0,3337.0,-4.026459591601961
9504.T,1069.0,977.0,-8.606173994387278
9536.T,2018.0,1825.0,-9.563924677898905
7162.T,237.0,282.0,18.98734177215189
9551.T,1952.0,1780.0,-8.811475409836067
