ticker,start_price,end_price,return_pct
6625.T,526.0,389.0,-26.045627376425852
8877.T,4505.0,4760.0,5.660377358490565
5535.T,616.75,424.0,-31.252533441426834
6620.T,2050.0,1944.0,-5.170731707317078
5280.T,1895.0,1572.0,-17.04485488126649
8929.T,1513.0,1378.0,-8.922670191672177
8818.T,1700.0,1606.0,-5.529411764705882
8927.T,400.0,314.0,-21.499999999999996
8871.T,2699.0,3245.0,20.229714709151537
8931.T,1446.0,1358.0,-6.085753803596128
3286.T,785.0,780.0,-0.6369426751592355
3237.T,136.0,115.0,-15.441176470588236
8892.T,1072.0,1032.0,-3.731343283582089
8934.T,2037.0,1758.0,-13.696612665684826
3252.T,2679.0,2097.0,-21.724524076147812
8848.T,520.0,598.0,14.999999999999991
3469.T,1031.0,1035.0,0.38797284190106307
8891.T,2328.0,1763.0,-24.269759450171826
3261.T,443.0,1464.0,230.4740406320542
3271.T,491.0,660.0,34.419551934826885
