ticker,start_price,end_price,return_pct
6098.T,8570.0,8705.0,1.5752625437572831
9343.T,840.0,897.0,6.785714285714284
6178.T,1620.0,1366.0,-15.679012345679011
9780.T,800.0,753.0,-5.8749999999999964
4658.T,1087.0,1047.0,-3.679852805887762
9722.T,1898.0,1942.0,2.3182297154899834
9778.T,7340.0,7270.0,-0.9536784741144388
2415.T,1499.0,1418.0,-5.403602401601071
6031.T,470.0,555.0,18.085106382978733
6083.T,2463.0,1950.0,-20.828258221680873
2469.T,2641.0,3525.0,33.47216963271489
9340.T,556.5,670.0,20.395327942497744
4755.T,834.7999877929688,925.5999755859376,10.876855428930288
2749.T,548.0,725.0,32.29927007299269
9249.T,1375.0,1406.6666259765625,2.303027343750008
4642.T,1190.0,1216.0,2.184873949579824
9744.T,3305.0,3171.0,-4.054462934947045
9636.T,4145.0,4015.0,-3.136308805790111
9761.T,1809.0,1744.0,-3.593145384190155
9166.T,889.0,1266.5,42.46344206974128
