ticker,start_price,end_price,return_pct
5393.T,4755.0,5690.0,19.663512092534184
5344.T,38100.0,41950.0,10.10498687664041
5233.T,4084.0,3369.0,-17.507345739471102
5288.T,1000.0,829.0,-17.100000000000005
5351.T,1999.0,1699.0,-15.007503751875939
3110.T,6530.0,5890.0,-9.800918836140893
5262.T,597.5,666.0,11.464435146443508
5290.T,1017.5,1027.5,0.9828009828009909
5214.T,3659.0,3362.0,-8.116971850232302
5216.T,479.0,285.0,-40.50104384133611
5331.T,4010.0,3905.0,-2.6184538653366562
5334.T,4734.0,3995.0,-15.610477397549637
5204.T,2950.0,2380.0,-19.32203389830508
5357.T,1816.0,1699.0,-6.442731277533042
5237.T,963.0,832.0,-13.603322949117347
5355.T,616.0,595.0,-3.409090909090906
5388.T,1128.0,1070.0,-5.141843971631211
5391.T,1364.0,1177.0,-13.709677419354838
5302.T,5220.0,4515.0,-13.505747126436784
5333.T,2097.5,1871.0,-10.798569725864127
