ticker,start_price,end_price,return_pct
7721.T,3560.0,3205.0,-9.97191011235955
6501.T,3659.0,3781.0,3.33424432905165
6701.T,2660.0,2750.0,3.383458646616533
6371.T,2086.666748046875,1879.0,-9.952080189194156
7979.T,2310.0,2322.0,0.5194805194805197
6323.T,3190.0,1970.0,-38.24451410658307
6489.T,1472.0,1265.0,-14.0625
7011.T,1738.5,2117.5,21.80040264595915
7740.T,1050.0,1117.5,6.428571428571428
6736.T,4730.0,7300.0,54.33403805496828
6278.T,6290.0,6150.0,-2.225755166931642
6351.T,2400.0,2020.0,-15.833333333333332
6454.T,3865.0,3600.0,-6.856403622250973
6787.T,7160.0,6170.0,-13.8268156424581
6777.T,8770.0,5950.0,-32.155074116305585
6762.T,1980.0,1823.0,-7.929292929292931
6363.T,3210.0,2720.0,-15.264797507788163
6794.T,1800.0,1814.0,0.7777777777777883
7734.T,4225.0,3840.0,-9.112426035502963
6239.T,1740.0,1271.0,-26.954022988505745
