ticker,start_price,end_price,return_pct
6501.T,3659.0,3781.0,3.33424432905165
6701.T,2660.0,2750.0,3.383458646616533
6736.T,4730.0,7300.0,54.33403805496828
6787.T,7160.0,6170.0,-13.8268156424581
6777.T,8770.0,5950.0,-32.155074116305585
6762.T,1980.0,1823.0,-7.929292929292931
6794.T,1800.0,1814.0,0.7777777777777883
6772.T,845.0,820.0,-2.9585798816568087
6517.T,2929.0,2574.0,-12.12017753499488
6508.T,3720.0,3345.0,-10.080645161290324
6834.T,2849.0,3085.0,8.28360828360828
6855.T,3560.0,2499.0,-29.803370786516858
6670.T,1525.0,1522.0,-0.19672131147541183
6525.T,4725.0,3180.0,-32.698412698412696
6638.T,1921.0,1365.0,-28.943258719416974
6728.T,10660.0,7619.0,-28.527204502814264
6507.T,3460.0,5050.0,45.953757225433534
6841.T,3960.0,3655.0,-7.702020202020199
6632.T,935.0,1345.0,43.85026737967914
7999.T,2451.0,2378.0,-2.9783761729906155
