ticker,start_price,end_price,return_pct
1921.T,858.0,882.0,2.7972027972027913
1826.T,832.0,903.0,8.533653846153854
1766.T,11990.0,11300.0,-5.754795663052548
1944.T,3219.0,3150.0,-2.143522833178002
1982.T,3575.0,3405.0,-4.7552447552447585
1969.T,2825.0,2570.0,-9.02654867256637
1964.T,3425.0,2613.0,-23.708029197080293
1946.T,1206.0,930.0,-22.885572139303477
1847.T,2701.0,2485.0,-7.997038134024437
1980.T,1040.0,980.0,-5.769230769230771
1941.T,3250.0,3355.0,3.230769230769237
1870.T,1678.0,1534.0,-8.581644815256261
1844.T,283.0,222.0,-21.5547703180212
1934.T,1503.0,1532.0,1.9294743845642115
1945.T,1411.0,1105.0,-21.68674698795181
1438.T,2050.0,2024.0,-1.2682926829268304
1952.T,1990.0,1732.5,-12.939698492462314
1802.T,1924.0,1813.0,-5.769230769230771
1992.T,2390.0,2703.0,13.096234309623433
1401.T,724.0,746.0,3.038674033149169
