ticker,start_price,end_price,return_pct
3431.T,2427.5,2079.0,-14.356333676622036
5929.T,2967.0,3775.0,27.232895180316817
5992.T,1304.0,1168.0,-10.429447852760731
3433.T,2070.0,1916.0,-7.439613526570044
5930.T,1762.0,1805.0,2.4404086265607194
5982.T,3060.0,3060.0,0.0
5965.T,1179.0,909.0,-22.90076335877863
5945.T,1918.0,1830.0,-4.588112617309703
5936.T,955.0,795.0,-16.753926701570677
5987.T,1856.0,1899.0,2.31681034482758
5971.T,5990.0,4835.0,-19.28213689482471
5991.T,1620.5,1818.0,12.18759642085776
5958.T,3260.0,3025.0,-7.208588957055218
2961.T,3930.0,3580.0,-8.905852417302796
5966.T,2845.0,2515.0,-11.59929701230229
5941.T,2151.0,2448.0,13.807531380753147
5984.T,913.0,736.0,-19.386637458926614
3426.T,1360.0,1413.0,3.89705882352942
5923.T,1241.6666259765625,1158.0,-6.738251977317922
5989.T,1028.0,936.0,-8.949416342412453
