ticker,start_price,end_price,return_pct
7678.T,4100.0,3645.0,-11.097560975609754
9823.T,1304.0,870.0,-33.282208588957054
5889.T,2998.0,2912.0,-2.868579052701803
7513.T,978.0,959.0,-1.942740286298572
7453.T,1352.5,1317.0,-2.6247689463955615
2790.T,3065.0,2472.0,-19.347471451876018
2664.T,2978.0,2698.0,-9.402283411685698
9900.T,1693.0,1653.0,-2.3626698168930926
8173.T,2653.0,2706.0,1.9977384093479156
3539.T,1464.0,1605.0,9.631147540983598
3199.T,1798.0,1721.0,-4.282536151279204
8163.T,1358.0,1197.0,-11.855670103092786
3048.T,1542.0,1583.0,2.658884565499342
2674.T,2101.0,1978.0,-5.8543550690147494
8214.T,1341.0,1194.0,-10.961968680089484
3099.T,3122.0,2226.0,-28.69955156950673
3092.T,1340.6666259765625,1738.0,29.63700045371187
7614.T,1597.0,1455.0,-8.89167188478397
2798.T,2949.0,2838.0,-3.7639877924720233
8242.T,2470.0,2058.0,-16.68016194331984
